raceId,laps,numberOvertaken,year,gp,reason,source
868,lap_30,5,2012,British Grand Prix,,
868,lap_16,5,2012,British Grand Prix,,
868,lap_22,5,2012,British Grand Prix,,
868,lap_37,5,2012,British Grand Prix,,
868,lap_52,5,2012,British Grand Prix,,
868,lap_16,5,2012,British Grand Prix,,
868,lap_19,5,2012,British Grand Prix,,
868,lap_18,5,2012,British Grand Prix,,
868,lap_37,5,2012,British Grand Prix,,
868,lap_23,5,2012,British Grand Prix,,
911,lap_4,5,2014,Belgian Grand Prix,,
911,lap_17,5,2014,Belgian Grand Prix,,
911,lap_8,5,2014,Belgian Grand Prix,,
914,lap_12,5,2014,Japanese Grand Prix,,
950,lap_5,5,2016,Chinese Grand Prix,,
957,lap_6,5,2016,British Grand Prix,,
957,lap_6,5,2016,British Grand Prix,,
957,lap_6,5,2016,British Grand Prix,,
957,lap_6,5,2016,British Grand Prix,,
957,lap_6,5,2016,British Grand Prix,,
980,lap_2,5,2017,Belgian Grand Prix,,
980,lap_35,5,2017,Belgian Grand Prix,,
985,lap_11,5,2017,United States Grand Prix,,
985,lap_39,5,2017,United States Grand Prix,,
985,lap_38,5,2017,United States Grand Prix,,
985,lap_43,5,2017,United States Grand Prix,,
989,lap_39,5,2018,Australian Grand Prix,,
990,lap_27,5,2018,Bahrain Grand Prix,,
990,lap_43,5,2018,Bahrain Grand Prix,,
990,lap_34,5,2018,Bahrain Grand Prix,,
990,lap_29,5,2018,Bahrain Grand Prix,,
990,lap_43,5,2018,Bahrain Grand Prix,,
