driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57
1,113819,106850,105662,105655,105532,105311,105225,105161,105235,105800,106464,120789,110310,104401,104114,104337,104363,104349,104248,105183,104783,105220,105524,120690,109850,103144,103119,103077,103801,104665,104590,104689,104592,104356,105248,103835,103860,104025,104141,104235,104283,118296,110337,104067,103643,102987,102947,103305,103515,103527,103861,103656,104023,103926,103110,103157,103467
2.0,117645.0,107932.0,107682.0,107509.0,107294.0,107234.0,106863.0,107223.0,107040.0,107250.0,123283.0,110547.0,107838.0,105977.0,108486.0,106336.0,107161.0,105727.0,105562.0,105607.0,105512.0,105653.0,105986.0,105744.0,105782.0,106215.0,123010.0,110002.0,104979.0,104738.0,104740.0,104655.0,105099.0,104756.0,104646.0,104803.0,105224.0,105055.0,105188.0,120937.0,110617.0,104282.0,104445.0,104661.0,104955.0,104337.0,105512.0,103990.0,104169.0,104947.0,103901.0,106578.0,104226.0,104159.0,104111.0,104467.0,100000000.0
3,114972,107305,107028,106938,107136,107801,106604,106249,106112,106579,106477,121287,111574,106712,106039,106355,105448,105428,105337,105736,105205,104956,105066,105298,106144,105577,106267,105929,106645,124054,110392,104184,104280,105397,104647,104277,104213,104836,105387,103950,103862,104070,104091,103963,118677,111471,103897,104132,104004,104168,103890,104162,103649,104117,104094,103890,104301
4,112612,106284,105458,105236,105191,105172,105086,105250,105164,105300,105091,105594,105678,120967,110127,104607,104128,103803,103980,104081,104277,103918,103635,103683,103739,104072,103564,104458,118760,108257,103819,102912,102736,102497,102693,102525,102628,102837,102825,102535,102665,102746,102589,102510,117542,109992,103492,102409,102308,102567,102910,102998,102696,102371,103417,104341,104328
5.0,123130.0,110949.0,109410.0,109118.0,109056.0,108444.0,108437.0,108245.0,107947.0,108180.0,108295.0,108669.0,109658.0,126590.0,115542.0,107454.0,107744.0,108189.0,107163.0,106949.0,106973.0,106833.0,107096.0,107101.0,107117.0,125009.0,112102.0,108254.0,108144.0,106019.0,105929.0,105847.0,105829.0,106033.0,107039.0,106760.0,107688.0,106855.0,106709.0,107157.0,107673.0,124335.0,112248.0,105055.0,106752.0,105699.0,105681.0,106860.0,105976.0,105382.0,105257.0,106717.0,105797.0,105174.0,109606.0,100000000.0,100000000.0
10.0,122674.0,110982.0,111002.0,111259.0,110916.0,110199.0,110439.0,109813.0,109882.0,109736.0,109386.0,109390.0,109717.0,109354.0,109917.0,110429.0,124783.0,114840.0,108396.0,112111.0,109823.0,109275.0,107726.0,109039.0,107787.0,108941.0,107616.0,107460.0,107317.0,108703.0,107578.0,107321.0,107677.0,107782.0,107729.0,107444.0,107389.0,108193.0,109379.0,107337.0,108750.0,124048.0,115369.0,113249.0,107381.0,106906.0,106759.0,106705.0,106628.0,107990.0,106842.0,107962.0,109066.0,109485.0,108109.0,100000000.0,100000000.0
13,113333,106363,105804,105485,105394,105224,105083,105066,105728,106001,105735,105931,106314,106631,121595,110506,104529,104371,104238,104654,105144,104929,104721,104391,104383,104439,104327,104278,104736,105225,125498,110132,103283,103025,103209,103459,103184,103115,102857,103174,103884,103504,103408,103800,104293,103604,104208,119174,109731,103543,103204,103508,102705,103282,102906,103147,104479
15.0,123820.0,110893.0,110276.0,108997.0,108266.0,108536.0,108323.0,108354.0,108062.0,108005.0,108372.0,109059.0,109328.0,108970.0,109096.0,109806.0,109795.0,126791.0,114399.0,107856.0,107229.0,106607.0,106871.0,106980.0,110239.0,107040.0,106419.0,106208.0,106379.0,111401.0,106894.0,106697.0,107856.0,126035.0,113905.0,107425.0,107116.0,106920.0,106985.0,107870.0,106990.0,106929.0,107230.0,106949.0,108328.0,109125.0,108497.0,111085.0,115954.0,108435.0,111120.0,109049.0,107482.0,108778.0,109785.0,100000000.0,100000000.0
16.0,116817.0,107739.0,107608.0,107092.0,107313.0,107022.0,106760.0,106686.0,107138.0,107560.0,107527.0,122630.0,112489.0,105831.0,109094.0,106290.0,105897.0,105574.0,105599.0,105762.0,105579.0,105315.0,105475.0,105565.0,105811.0,105801.0,106259.0,120623.0,111285.0,104662.0,104804.0,104896.0,104613.0,104898.0,104780.0,105043.0,104479.0,104450.0,104820.0,105325.0,105147.0,105322.0,120748.0,110865.0,104121.0,104049.0,103790.0,104032.0,105424.0,103986.0,104142.0,103560.0,103526.0,103767.0,104538.0,103952.0,100000000.0
17,111682,105931,105584,105363,105113,105111,105375,105169,105012,105317,105500,105584,114400,115536,104970,105610,104405,104241,104033,104390,105913,104032,103583,103880,103929,104073,103787,112466,113145,102993,103113,102908,102848,102582,102577,102615,102836,102771,102534,102638,102793,112072,114565,102699,103523,104819,103667,103685,102635,102574,102823,103285,106432,104598,104781,105886,109038
18,115351,107499,106889,106823,107108,106554,105866,105321,105681,105965,105778,106134,106872,122350,110050,104296,104526,104567,104585,104477,104415,104751,104635,104385,104793,104363,104291,104938,105486,119802,108716,104639,104493,103750,103908,104057,104122,104214,104104,104352,104274,104109,104169,104201,104490,104331,104293,118371,110422,103427,102842,103516,102724,102689,102535,102595,102340
20,110320,105466,105186,105488,105160,105033,104712,105150,105030,105055,105269,105315,106358,114845,115873,104558,104549,104108,104307,104123,104191,103904,103655,103399,103799,103743,103857,104036,104127,112827,114355,102491,102771,102420,102539,102359,102916,102273,101926,102651,102287,102172,102382,102237,103221,102376,111208,114443,102202,102503,102244,101952,101852,102998,103110,102659,106179
22.0,119008.0,108482.0,108065.0,107707.0,107032.0,107547.0,107438.0,107260.0,107320.0,107665.0,122554.0,111734.0,106255.0,106547.0,106433.0,106539.0,106911.0,106366.0,106060.0,105739.0,105752.0,105867.0,106180.0,106187.0,106160.0,106041.0,106507.0,121135.0,111667.0,105371.0,104778.0,104814.0,104801.0,104820.0,104983.0,105046.0,105013.0,105081.0,105440.0,120616.0,111313.0,104967.0,105104.0,105300.0,105555.0,104573.0,107677.0,104807.0,104831.0,104395.0,104430.0,104783.0,104227.0,104225.0,104131.0,104907.0,100000000.0
24.0,124831.0,111879.0,111122.0,111230.0,110754.0,110324.0,109879.0,110031.0,109871.0,109661.0,109617.0,109721.0,110128.0,111008.0,129690.0,115455.0,109008.0,110965.0,110478.0,110933.0,108952.0,110113.0,109057.0,110131.0,108885.0,108947.0,109194.0,125709.0,116369.0,108418.0,108011.0,107775.0,107678.0,110184.0,108491.0,109514.0,107418.0,108697.0,108143.0,107475.0,108409.0,108341.0,123604.0,115641.0,108294.0,108106.0,107861.0,107418.0,107649.0,107852.0,107743.0,108745.0,108928.0,108296.0,100000000.0,100000000.0,100000000.0
