driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63,lap_64,lap_65,lap_66,lap_67,lap_68,lap_69,lap_70,lap_71,lap_72,lap_73
2,85997,76135,76704,77228,77114,77133,77131,76625,77176,76611,76762,76304,76710,76423,76650,76547,76575,76084,76059,76025,76052,75767,75605,75619,75484,75386,101146,78537,75169,75376,75768,76956,77028,76829,76006,82188,80582,77593,76422,76143,75838,76074,75531,75611,75452,75492,75805,101507,79301,75661,76084,76508,76407,76592,77636,76546,76260,75822,75790,75726,76075,76063,75706,76006,75834,75753,75801,75498,75507,75548,75476,75373,75904
4,92757,78899,78732,78245,78849,78708,78369,78394,78286,78610,78116,78473,77822,78044,77991,77909,77976,77908,77736,77432,77256,77172,77067,77319,77106,76815,76807,77180,76749,76694,78848,77014,78439,76798,76910,78355,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
8,86103,111518,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
14,84570,76957,76839,77258,77147,77070,76901,76873,77085,76714,76709,76276,76863,76300,76593,76402,76356,76226,76178,76106,75815,75742,75544,75636,75567,75266,75393,75354,75193,75189,75217,75036,75393,75399,75184,75181,75809,75302,74641,75026,74972,75654,103168,78691,75380,75532,76155,76487,76615,77058,76916,76254,76362,76119,76019,75639,75495,75374,75570,75156,75099,75400,75063,75030,75118,75818,74938,74928,75013,75392,76746,74740,74672
15,88292,78146,77809,77359,77414,77582,77525,77547,78029,78070,77867,77818,77425,76993,77293,76890,77593,76754,76498,76329,76465,76336,76074,76284,76104,76359,76065,76067,76044,75902,76195,76137,76127,75911,75813,75949,106504,80841,76860,77063,77245,78067,77443,77330,77137,78086,77471,77371,77629,78235,77003,76931,77094,76852,76610,76437,76188,76053,75920,76054,77983,78177,76084,75843,76098,75754,75659,76173,79537,76278,76064,75732,inf
18,86858,78079,76735,76906,77480,77477,77438,77821,78068,79054,78255,78336,78215,78733,77932,77900,77728,77529,77242,76964,76898,76725,76652,76644,76597,76746,76331,77032,76353,76115,75870,75907,76009,76537,106888,81798,76380,75951,76597,78243,77516,77970,78371,78304,78808,78435,79139,79164,77915,77943,78733,77418,77573,77345,76897,76788,76617,76441,76006,76296,76204,76237,75955,76253,75942,75577,75605,75615,75639,75594,75252,75434,inf
21,86742,78813,77374,77296,77483,77696,77710,78225,77947,78043,77959,78001,79082,78983,78816,78363,77957,77689,77317,77087,76818,76858,76764,76625,76702,76867,76402,76451,76178,76200,76152,76293,76183,76172,76209,76485,77777,75853,75544,75457,103219,81673,76413,76524,76329,77610,77161,77101,77160,77144,77275,77397,77432,77591,78350,76912,77419,76618,76537,76269,78042,77736,75967,76558,76306,75960,75976,75963,76338,76084,76182,75525,inf
22,82691,76141,75721,75804,76268,75355,75591,75467,75671,75268,75367,75179,75267,75244,75405,75613,76087,75453,75168,75105,74767,74957,74953,75346,75349,74884,101742,78805,75111,75437,75349,75369,75738,75432,75445,75413,75433,75891,75267,75280,75443,75183,75866,75308,74921,75211,74629,74893,74688,100724,78843,75340,75420,75422,75634,75393,75421,75248,75014,75021,74948,75593,75128,74982,74863,74951,75086,77176,78467,78918,79476,inf,inf
23,83273,76591,76857,77020,77532,76724,76611,76635,76431,76356,76346,75812,76348,75788,76035,76065,75910,75739,75596,75199,75167,74706,74963,105901,78963,75155,76202,76581,76610,76902,77562,76940,77076,78660,76957,77246,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
30,81434,75995,76178,76188,77653,76405,76249,76503,76424,76191,76034,75912,76035,75920,75831,76204,75912,76366,75809,75590,75562,75405,75178,75354,75438,74925,75039,74995,75175,75022,74844,74841,75469,76391,75544,75456,77307,75276,104632,79458,75574,75843,75942,76287,76238,76966,76702,76858,77495,76434,76859,76560,76240,76414,75897,75700,75436,75379,76052,75181,75210,75319,75493,75165,75167,75371,75129,75183,75329,75890,75534,75316,75579
31,82293,76396,77690,77059,77263,76504,76720,76385,76161,76046,76284,75976,76003,75831,76145,76142,75619,75528,75461,75444,75232,75072,74998,74927,75199,75271,74968,75028,75054,74934,74834,75366,74508,74922,74448,106447,79632,78315,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
35,92177,77711,78346,78824,78714,78799,78357,77948,78497,78316,78236,77835,77852,78227,78042,77768,78217,77600,77481,77319,77373,77495,77357,77032,77231,76885,76795,77068,77021,76773,76851,76934,76708,76707,77933,77702,78412,76683,76906,76680,77872,77544,104847,114865,82654,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
37,92405,78137,78252,78787,78598,78783,78406,78266,78380,78296,78221,78259,77710,78379,78070,77868,77893,77817,77570,77238,77322,77348,77231,77018,77130,77095,77081,77051,76717,76997,76592,76883,76710,76686,77722,78722,77337,76967,76617,76857,77614,77719,84074,76120,75838,75822,75864,76315,77512,107555,79958,76182,75995,76040,75864,75959,76180,77133,76768,76619,76633,76713,76432,76461,76268,76235,76035,75758,76833,75961,75815,75853,inf
44,89720,78168,78612,78604,78332,78230,78299,78296,78568,78150,78327,77857,77972,77984,78008,78135,77736,77686,77411,77325,78314,77516,77025,76712,76586,76906,77007,76825,76960,76936,76365,76884,76864,76772,76550,77710,76027,76192,77356,76050,76230,76365,76419,106349,81836,76672,77157,77937,79394,77806,77833,77441,77578,77690,77174,77839,77033,77219,76524,76768,76546,76483,76256,76329,76112,76493,75919,76026,76078,75927,76161,75929,inf
49,90389,78197,78443,78537,78372,78382,78363,78317,78280,77990,78479,77994,77930,77840,78082,78118,77798,77719,77673,77122,76643,76605,76682,77102,77097,77108,76781,77062,77076,76699,76657,76849,76514,76645,76797,76413,75749,75296,75895,75596,75374,103903,81508,77630,78114,78926,79205,79169,78910,78182,77688,77218,77663,77302,77262,76822,76355,76511,76179,75998,76255,76394,75961,76278,76030,75949,75538,75660,75448,75467,75773,76413,inf
50,89437,77608,78863,78158,78773,78246,78173,78192,78319,78480,78110,77961,78026,77848,78012,77668,77642,77666,77505,77213,77195,77186,77077,77040,77256,77180,76801,76741,77107,76992,76636,76647,76720,76800,76342,118262,81254,77243,77458,78195,78445,78232,78348,77920,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
55,85958,78819,77643,77167,77384,77577,77372,77366,77634,77364,76637,76601,76920,76837,76906,76756,76573,76510,76345,76348,76069,76130,76116,76118,75970,76190,75831,75958,75731,75936,75881,75862,76438,76338,76124,76396,76689,76559,106857,80539,76179,76746,76429,76516,76671,76579,76747,76626,76638,76480,76653,76462,76562,76522,76187,75820,75737,75497,75515,75547,75571,76144,75199,75230,75514,75310,75474,75370,75486,75665,75824,76463,78451
56,87912,78523,79025,77808,77662,78200,77799,77761,77915,77891,77769,77732,78050,78187,78415,78633,78038,78023,77328,77277,77223,77393,76941,76872,76748,76785,76281,76729,76629,76646,76436,76626,76907,76479,76189,76178,76567,76618,76339,76387,75911,76038,75839,75516,75704,75595,76503,75776,75873,75981,76246,101232,79624,75696,76234,75320,75498,75139,75305,75280,75384,76195,76003,76040,75900,75783,75554,75614,75980,75964,75660,75871,78095
