driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51
1,112049,108039,107780,106942,106381,106860,106483,106294,106592,106312,106947,121703,179946,168029,182329,161036,143353,173687,166719,130982,190531,187932,1479873,109318,106484,105577,105659,104942,105732,106172,110858,130283,106081,106336,105294,106201,105126,105580,105600,104736,105024,106213,104605,103840,103874,103469,103733,103548,103554,103600,103523
4,126072,113730,111211,111932,111757,111106,110716,110416,110508,110183,109236,138994,160256,131011,179788,153474,148933,174817,155744,137659,189154,192823,1469181,113302,110204,108224,108393,107735,107122,106807,107371,107344,108147,107820,107422,109664,107343,106688,106635,106363,106488,107667,107969,106584,110050,110080,105346,111343,105168,109559,109585
8,116481,108823,108470,107836,107682,107560,107430,107507,107257,106716,107929,125963,167335,170290,179365,159102,146833,173632,162107,184013,1695709,114223,114517,113343,109839,107446,107201,107223,106924,106369,108105,106615,111458,117714,107472,106506,106346,107867,106420,107606,106395,106433,105934,105542,105604,111833,inf,inf,inf,inf,inf
13,117605,109350,108039,108060,107711,107665,107694,107411,107624,107340,107760,127072,165230,169651,179606,157879,144439,173909,163911,133337,189390,190393,1476855,112963,129019,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
20,113980,108369,107767,107297,107065,106873,106582,106918,106224,106266,106973,122100,177505,169467,181280,160090,143249,173930,165956,132130,189669,189496,1477892,110099,107089,106032,105865,105284,105567,105750,105866,105312,108475,131084,105345,106542,104955,105466,105165,104506,105829,104838,104692,104029,103630,103576,103441,104175,103986,103833,104040
154,123919,112122,124682,126482,109499,109234,109338,108613,111142,112970,110054,143636,147274,127056,176148,149854,151305,175083,152679,140276,187530,195202,1465701,113717,113165,111303,109569,109028,108110,107471,107495,108073,107845,108337,108980,128407,130493,108457,108039,108161,107648,107508,107523,107448,106831,106964,107501,108616,116078,109783,inf
807,120639,110274,109095,109376,109158,110010,108576,108873,108536,108888,109062,129618,150490,169750,181013,154297,146622,174840,159676,136678,189344,191359,1471745,112901,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
815,114615,108807,107962,107453,107623,107339,107068,106924,107051,106870,108853,125130,169738,170619,178976,159695,144297,173963,164962,158291,1703939,131365,115052,112167,109084,107057,106675,106533,106977,107424,107919,106270,112117,117290,106198,105670,105588,106029,116586,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
817,119527,109977,109728,109026,115515,127643,110919,107055,109391,108459,108260,135265,149987,144189,181099,153116,147444,175143,157689,135337,188817,190880,1473517,109730,107871,106430,106594,106342,106094,106011,106314,105910,106142,105917,106098,105533,105522,105375,106824,105308,105397,105254,105055,105224,105108,104882,105358,105400,106075,105705,106117
822,200105,143466,107736,107275,108000,107913,107610,107083,107317,108350,133418,158980,162968,148292,109380,107382,147236,158674,150715,144457,185285,199657,1458906,115620,112064,107257,108032,107023,106809,107097,106265,105884,107580,107091,105923,105021,106185,105874,104933,104398,104612,104315,104036,104140,104211,104109,104278,104114,104219,104257,103925
