driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60
1,99326,95036,94083,93294,93888,92746,92208,92132,91958,91712,91720,91719,91541,91629,91279,93900,109323,90514,90520,90501,90194,90590,92157,99694,114358,91064,90586,90850,90820,91347,90022,91116,89474,90081,89735,89287,89440,89757,89741,89017,89138,89610,89323,89840,91764,110490,89701,89161,89170,89103,89561,89366,89579,89461,89476,89775,88776,88721,88885,89926
3,99752,95735,94196,93827,93535,93464,92955,92752,92626,93269,92238,91969,92298,92278,92148,92308,94490,109458,92257,91397,91323,90976,91197,91400,91249,92589,91562,91063,90665,90399,90269,90450,90024,90420,90221,89965,89589,89436,89609,89407,89330,89471,89134,89327,91276,109379,89699,89339,88862,88980,89386,89793,89486,89239,89286,90140,88771,88877,88600,88713
4,97641,94618,93654,93650,93121,92621,92291,91912,91667,91380,91494,91077,91562,91316,91250,93595,110561,90728,90502,90677,90586,90190,90246,89993,90567,90767,90271,89568,89806,90227,89036,89635,89368,89557,90448,89405,90165,89763,91756,108037,89397,89181,88912,88887,88701,89291,89391,89240,88777,88410,89092,88732,88715,88739,88357,88150,88368,87953,88004,88298
5,106173,97308,96011,95490,95142,94344,94476,93758,93927,93698,93664,93354,93397,93657,93195,93346,93464,93032,93077,93458,96243,111312,92645,92925,93769,93836,92892,92270,92008,93105,93321,91682,92146,95170,91774,92700,91867,91548,91403,91982,94248,111170,92715,91758,91287,91293,93061,91062,91296,91737,91393,91212,93278,93393,90845,90623,92361,90294,inf,inf
10,116549,129008,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
13,98264,94991,93843,93471,93322,92626,92362,91953,91702,91683,91322,91350,91474,92734,90890,91208,93389,109977,90243,90512,90510,90640,92680,100202,91430,90814,90806,90388,90762,93278,105134,114957,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
15,191592,136721,98794,97392,97051,97032,96179,95843,95718,95952,97020,99914,100774,97731,99344,98748,97183,95295,97658,98121,96466,97502,95836,97837,94542,96528,102353,115198,94537,96674,95667,97071,93701,95193,92934,93984,93932,95695,94740,95256,95413,92494,96814,92364,95416,92760,93815,93369,91885,95000,92345,91691,94662,95853,124901,inf,inf,inf,inf,inf
16,101464,96529,95196,94599,93906,93889,93516,93470,93750,93231,93241,93310,93717,95294,97265,111441,92340,91827,92347,92018,92078,92031,92462,91828,92260,92006,91844,91465,91388,91322,91224,91143,91460,92002,93381,111919,91706,92706,90835,90859,91062,90402,90700,89907,90022,90324,90582,89967,89599,89708,89419,89492,90117,92374,90614,89370,89394,89549,89289,inf
17,96909,94487,93259,93206,93452,92276,91851,91542,91451,91421,91641,91270,91525,91617,91246,94486,109384,90454,90328,90456,90235,90402,90193,89916,90481,90318,90682,89985,89744,90009,89537,90302,89458,89670,89931,90406,92925,108817,89822,90311,89904,89486,89095,89164,88760,88832,88924,89473,88861,89545,88623,88994,88612,88508,88952,87920,87908,87559,87520,88486
18,96184,94478,93436,92981,93631,92133,91806,91421,91476,91275,91070,91033,91030,90926,90927,91003,90676,92967,107378,90762,90435,90031,90273,89826,89795,90490,90054,89795,89714,90094,89452,89454,89264,89437,89572,88828,88995,88940,89455,88523,89263,89044,88674,88702,88884,91206,107604,88683,88663,88547,88454,88645,88436,88641,88233,88121,88139,88937,89572,87967
20,94881,93738,92770,92377,92703,91834,91639,91308,91464,91305,91335,91272,91240,90685,90883,90636,90398,90550,93673,108712,90058,89922,90223,89977,89916,90269,90245,89780,89510,89390,89286,89012,89166,89296,88998,88607,88845,89114,88738,89914,89595,88555,89115,88807,89006,88919,92416,108141,88748,88029,88403,88306,87922,87801,87782,88394,88017,88671,87457,87249
22,129967,129277,96725,95040,94534,94008,94089,93776,93546,93824,94619,96164,95147,97083,93230,92538,92805,93047,94029,95298,93957,93010,94155,93702,94435,92382,92135,94062,91695,94683,91913,91621,92087,91531,95153,111841,90607,90184,92008,91793,91939,89981,90574,89758,89413,89762,90165,89820,89855,91030,91529,90003,89960,89634,91238,88635,90849,90712,inf,inf
153,102737,97394,95379,94932,94249,94005,93422,93552,93315,92811,92733,92597,93193,93226,92149,94750,111006,91404,91710,91677,92138,92052,91377,90775,91116,91836,91498,91001,90908,91326,93670,90785,91067,91062,90107,91369,90418,90899,90518,90039,89543,89907,89513,89301,89309,93063,111039,90396,89928,89509,90812,90224,92016,89866,89495,89621,89239,89466,91973,inf
30,100462,95876,94830,94150,93824,93398,93149,93122,92867,92832,92820,92438,92309,92820,92314,92491,93424,95283,109209,91816,90658,91143,91337,90878,90905,91339,91338,91157,90607,90420,90972,89909,90221,89603,90218,89464,89596,89366,89326,89408,89307,89605,88893,88757,88953,88564,88659,88549,89413,91145,108496,89145,88910,89255,89445,89765,88690,89115,88841,89617
39,107620,100101,97462,96529,96199,95684,96248,95542,95781,97091,95208,94979,95055,95092,94725,94916,94771,94886,94388,95538,94900,99041,116059,94049,95927,95043,94837,93859,93747,93120,93962,93141,94542,92923,92552,93010,92791,93439,93406,93175,93894,92292,92107,91988,96245,92912,94873,97471,94492,96345,115732,93434,95276,92822,94465,92886,93495,inf,inf,inf
808,105364,97359,98061,116624,92823,92590,92841,92992,93885,93499,94137,93166,92809,93544,93902,93218,92814,92125,92799,92162,92482,91461,92031,91835,92655,91565,91582,92183,91824,91231,93824,91992,95056,112269,91195,90669,90575,90778,90297,90152,90499,89836,89859,90427,89840,90449,89736,90169,89741,90330,91320,90583,90381,89527,89668,89893,89340,89289,90370,inf
811,102378,97143,95276,95109,94316,93643,93417,93767,95306,95098,94018,93456,93495,94009,93194,93062,93736,92805,93392,94263,94318,95937,110729,92007,92713,94335,91727,91536,91411,91482,91227,91227,92942,92662,90327,90676,90831,91058,90333,91688,90096,90285,90867,91124,90245,92314,90317,90127,89768,89963,89687,89765,89438,89571,89310,92168,110454,89879,89871,inf
813,104517,97527,95191,94660,94347,94287,93944,93629,93826,94049,94279,93573,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
814,103958,100167,113601,94550,93994,93960,93663,93500,94147,93384,93696,93108,93497,93447,93770,93278,95011,92661,95390,113512,92294,93286,91974,92280,94159,93642,91933,91641,94681,91439,91344,91293,91255,91540,90831,90991,90610,90553,93185,108061,89696,90165,89379,89636,89434,89908,89573,89977,89782,89635,90028,89443,89713,89324,89070,88954,88852,88709,88679,inf
815,109631,115409,94390,93761,93738,93958,93955,93176,94008,93456,94014,92937,93290,93394,94060,93208,92632,92218,92774,92122,91629,92156,91502,91868,91969,92044,92054,91187,91575,91138,91093,91295,91129,94073,112032,93548,90580,90677,90572,90858,91188,90366,90528,90407,89942,90678,89867,90240,89905,89898,89594,91396,91310,89945,89639,89905,89355,89345,90132,inf
816,108368,99964,97930,96589,96548,95860,96010,95457,97663,95667,95436,95338,95484,95213,95012,95181,94960,95089,95131,95338,95190,98049,116357,94758,95697,94298,94562,94352,93766,94501,94414,93798,94318,94350,93212,94958,94331,93529,94030,92984,93419,92936,95096,92691,95592,92470,93492,92346,92449,93146,91990,92380,92326,93412,95231,114411,94402,inf,inf,inf
817,107867,98942,96790,95859,95523,95358,95290,95134,95163,94891,94624,94661,94578,96618,94872,94861,94537,94325,94313,94079,94155,94045,93555,93736,96847,116043,94015,93781,99014,97435,96567,97714,136312,93042,94664,92772,93489,93498,92500,95331,94062,92060,92018,91955,91765,91797,93047,91818,91674,94607,91966,93190,92563,93334,94297,94838,122112,inf,inf,inf
67,103429,97431,95559,94699,94285,94071,93414,93808,94001,93322,92718,92320,92340,94111,92735,91712,92195,95196,110986,91272,91241,92079,90956,91024,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
