driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45
2,119920,109153,108342,108622,108174,108037,108055,107991,108569,108374,109491,109945,107699,108217,107499,108250,107649,107618,107545,108564,107813,107475,107140,109895,129023,111961,111696,160001,110957,113261,162559,109635,112714,133618,120418,123599,121764,121416,121369,120228,inf,inf,inf,inf,inf
14,112608,106706,106350,106091,105952,105646,105563,105752,105743,105405,105420,105227,105144,105311,105275,105145,104955,104660,105110,105087,105095,104789,104730,104579,105688,105327,175489,195109,107630,106688,172094,107184,107148,109342,118147,119207,118997,123890,138057,118030,117967,118233,118052,118609,118355
15,113754,106961,106321,106468,106678,106261,106289,106236,106434,106419,106422,106740,106824,107365,107731,106351,106685,106353,106365,106379,106179,106519,105942,105855,108962,128260,126651,188805,107503,105754,173174,106774,106599,109503,119459,137131,121930,143980,120517,119937,122143,119394,118533,118241,118538
18,123106,109551,108613,108375,109555,108399,108155,108401,108337,107804,108169,108210,108473,107909,108165,108500,108352,108875,107917,107448,107426,107408,107073,107366,107349,108417,111109,182764,108899,109420,167565,107232,107265,111854,132416,119013,120297,122001,120815,120070,119143,118825,117719,116497,116846
22,117693,108013,107074,107335,107181,106294,105331,105006,105291,105562,106637,105476,105621,107057,105067,104638,107535,123425,104824,104300,104405,104428,104888,105003,106175,107840,145731,188694,107565,106322,172589,106967,106674,109797,116126,118703,117882,119871,121314,118795,118599,117945,117497,118170,123078
23,118439,109237,108303,108206,108245,108544,108065,108080,108191,108256,108371,107242,107330,107581,107965,107851,108235,107679,108019,107945,110764,127492,106852,106685,106745,107675,107603,172948,108840,128037,154454,109660,108144,111293,118360,120813,137334,119589,120555,119200,118571,118447,116969,117173,119329
25,119218,109082,108598,108058,108202,108513,107993,108060,108303,108484,109877,107936,107795,108046,107706,107754,107847,107709,107434,109401,107389,107516,107269,108117,109198,132378,109698,163122,108899,108491,168654,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
35,116975,109496,108248,107814,107993,107585,107985,108908,108356,107945,107963,108315,108293,107788,107727,107868,108259,107749,107978,108028,108245,107831,107419,106374,109600,129121,108314,170807,107734,106637,171403,107618,107282,110186,136689,136893,117846,119394,121640,120103,119172,120973,120061,118686,120654
37,114580,107031,106540,106678,106648,106645,106447,106401,106486,106911,106740,107399,106431,106507,106927,106668,106732,106366,106759,106249,106243,106657,106674,106668,109925,128692,122139,188785,107715,106512,172396,107157,106914,109762,119875,137023,119625,128785,120004,119579,119707,117717,117553,117768,118478
41,117442,109616,108395,108305,108124,108070,108464,108209,108371,108122,110747,107840,107826,107797,107824,107741,107583,107525,108016,109257,107537,107345,107273,107549,107378,109902,129402,167788,108356,109447,168015,107828,107248,109605,119547,118837,119314,inf,inf,inf,inf,inf,inf,inf,inf
48,122105,109389,108540,108086,109721,108287,108068,108226,107920,107934,108458,108708,108198,108054,107778,108554,107897,107691,107623,107772,107692,107642,107461,107398,107674,110654,132020,162071,109107,109209,167556,107924,107158,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
49,121250,108599,107826,107674,108115,106901,106131,107361,107188,106300,106385,104929,104766,104653,104746,104849,104982,108735,126912,104614,104941,105157,104885,104681,105080,107697,133913,188221,107594,106925,171895,107326,107193,110768,117419,119534,118526,123879,130261,inf,inf,inf,inf,inf,inf
50,116666,108216,107581,107492,108193,108496,108055,108084,107975,109024,107875,107515,107516,107803,108015,108173,108201,107518,108961,108269,107780,108033,111267,132908,107156,107760,109143,166123,108889,114753,165079,108601,107794,111021,122196,138622,118731,119112,120100,inf,inf,inf,inf,inf,inf
55,122642,109308,108733,108202,109754,108142,107919,108442,108225,107971,108036,108602,108289,107954,107991,108478,108406,107229,107771,107682,108088,107750,107001,107488,110154,132669,111437,158931,109563,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
56,115531,109872,108476,107790,108135,107843,107844,108147,108752,108257,108243,108281,107793,107706,108257,107997,108073,107570,108022,108221,108298,109142,108349,111967,128981,112150,111397,160925,109501,109153,167345,109621,107903,132015,136987,140283,120561,121566,119781,120114,119400,119877,117823,119439,120694
57,112046,106501,106406,106120,105591,105637,105508,105480,105680,105209,105375,105518,105334,105248,104941,104804,104922,104983,105155,105218,104830,104825,104698,105229,104847,107959,177887,188914,106087,105638,174970,106441,105907,108458,117959,135197,115664,118654,120590,118570,118310,117989,120089,117467,119015
60,123721,109512,108890,108775,108875,108758,108806,108079,108387,108643,108662,108323,108518,107724,108039,108481,108094,107744,108149,107576,107580,107448,107633,107650,110157,133154,110811,155491,110388,110917,164074,109183,108978,113493,136745,139820,121767,122764,124292,124616,123540,124546,121220,121209,122690
63,120185,109143,108935,108324,108207,107887,108046,107962,108560,108379,109967,108191,107410,108093,107420,107953,107330,107601,107399,109477,107496,107521,107670,107522,109728,130217,110011,163548,108804,109684,167966,107129,107205,109583,121735,135505,117745,120215,119772,121087,119889,118837,119392,117847,118953
64,121007,109750,108347,108177,108099,108072,107809,108355,108156,108392,109015,107827,107515,107989,107739,108937,107227,108059,107233,109504,109460,130249,106915,106639,107805,112114,110947,160955,109755,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
65,115955,108080,107630,107625,107684,109056,108137,107788,107332,107652,108911,110515,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
