driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63,lap_64,lap_65,lap_66
815.0,105766.0,96644.0,95617.0,95170.0,95369.0,95453.0,94940.0,94833.0,94869.0,95031.0,95110.0,95006.0,94451.0,94611.0,94490.0,94475.0,94853.0,95100.0,97991.0,111921.0,93174.0,93438.0,93569.0,93739.0,94311.0,94434.0,94117.0,94292.0,93791.0,94480.0,95764.0,94745.0,94512.0,96531.0,94678.0,97204.0,111622.0,91932.0,92358.0,92963.0,92051.0,92239.0,92238.0,92453.0,92605.0,92802.0,92819.0,94436.0,92792.0,94420.0,92713.0,92555.0,92617.0,92677.0,92802.0,93183.0,93056.0,93055.0,93156.0,93181.0,93124.0,93294.0,94517.0,93718.0,94074.0,100000000.0
817.0,103028.0,95920.0,95077.0,94721.0,94540.0,93848.0,93731.0,93864.0,94122.0,93891.0,95231.0,93992.0,96742.0,111763.0,93339.0,92756.0,93074.0,93033.0,94071.0,92956.0,93140.0,92943.0,92723.0,92848.0,92961.0,93339.0,93231.0,93248.0,93291.0,93090.0,93017.0,93133.0,93228.0,93210.0,93192.0,93210.0,93188.0,93576.0,93377.0,93594.0,93220.0,96347.0,113781.0,91953.0,92252.0,92181.0,91946.0,92213.0,94292.0,93843.0,92105.0,91682.0,91402.0,91234.0,91276.0,91124.0,93980.0,91487.0,91535.0,91371.0,91574.0,91718.0,91950.0,91631.0,91559.0,100000000.0
822,99104,93075,92708,92857,92913,92989,92758,92794,92770,92871,92877,92992,92881,92940,95919,110187,91598,91408,92109,92055,91566,91873,91874,91794,91781,92181,91925,91961,92256,92098,92160,92452,92555,92607,92872,93133,92719,93017,94249,93319,93335,96366,109209,90711,90747,90956,91160,90977,91475,91303,91087,91166,91303,91110,91623,92166,91807,92048,91864,92151,91746,91829,92101,92004,91630,91701
826.0,104331.0,96381.0,95274.0,95263.0,95282.0,95329.0,94740.0,94467.0,94939.0,95121.0,98232.0,112642.0,93025.0,93222.0,94496.0,93836.0,93462.0,93170.0,93502.0,93214.0,93685.0,94141.0,92795.0,93395.0,93353.0,93398.0,93488.0,93326.0,93829.0,93477.0,93419.0,93931.0,94050.0,93936.0,93788.0,93556.0,93786.0,97516.0,112578.0,91887.0,93910.0,92113.0,94369.0,92531.0,92419.0,92490.0,92687.0,92538.0,92247.0,92184.0,94229.0,92483.0,92197.0,94050.0,92486.0,92381.0,92945.0,92860.0,92615.0,92603.0,92702.0,93055.0,94887.0,92385.0,95121.0,100000000.0
828.0,105239.0,96614.0,95561.0,95179.0,95393.0,95460.0,94853.0,94737.0,94731.0,95241.0,95120.0,94994.0,94131.0,94567.0,94854.0,94373.0,94545.0,98496.0,114085.0,92311.0,92857.0,93422.0,93422.0,93931.0,94028.0,94691.0,92977.0,93396.0,93455.0,93726.0,94098.0,93541.0,95631.0,93753.0,93692.0,93850.0,93971.0,93985.0,94091.0,93317.0,93312.0,93145.0,93359.0,95334.0,99152.0,112506.0,92288.0,92517.0,94047.0,92597.0,92497.0,92222.0,92515.0,92891.0,92696.0,92526.0,92888.0,92935.0,92866.0,93249.0,93146.0,93133.0,94948.0,93454.0,94043.0,100000000.0
829.0,108007.0,98017.0,97471.0,97192.0,97261.0,96879.0,96714.0,96974.0,96869.0,96993.0,97098.0,97814.0,97159.0,97557.0,97468.0,100618.0,120058.0,95563.0,96747.0,95955.0,97853.0,96234.0,96271.0,95944.0,96241.0,96270.0,96001.0,98224.0,96892.0,96461.0,96571.0,101514.0,117937.0,97359.0,96029.0,95529.0,95750.0,97899.0,95655.0,95562.0,97384.0,97097.0,95376.0,95361.0,96350.0,95395.0,100082.0,115035.0,93655.0,93844.0,93988.0,95139.0,94944.0,94353.0,94568.0,98147.0,98480.0,95040.0,94729.0,94796.0,94806.0,96162.0,95904.0,100000000.0,100000000.0,100000000.0
830.0,100837.0,94592.0,94404.0,95574.0,94239.0,94269.0,94422.0,95074.0,94208.0,94495.0,94865.0,94307.0,98738.0,114957.0,94200.0,94304.0,93809.0,94001.0,93887.0,93929.0,93783.0,94267.0,95083.0,94186.0,93801.0,93885.0,94052.0,93499.0,93405.0,94080.0,93565.0,93800.0,94127.0,93961.0,93841.0,93923.0,97820.0,111790.0,93972.0,93233.0,93243.0,93446.0,93004.0,92669.0,92254.0,91896.0,92337.0,92176.0,92269.0,94108.0,92852.0,93000.0,92969.0,92356.0,92302.0,91968.0,92419.0,92582.0,92293.0,92284.0,95811.0,93294.0,92405.0,92615.0,93107.0,100000000.0
831.0,104865.0,96486.0,95455.0,95198.0,95292.0,95516.0,94901.0,94437.0,94846.0,95252.0,95233.0,98232.0,112650.0,93349.0,93687.0,93371.0,93887.0,93794.0,94020.0,94201.0,93616.0,93728.0,93861.0,93935.0,93623.0,93938.0,93668.0,93815.0,93635.0,94170.0,94072.0,94426.0,94388.0,95858.0,94241.0,93808.0,94154.0,94523.0,98029.0,113445.0,91928.0,92312.0,92348.0,92228.0,92437.0,92447.0,92430.0,92955.0,93446.0,92220.0,94084.0,93104.0,93789.0,92899.0,92905.0,92765.0,93448.0,92873.0,92948.0,92720.0,92568.0,92615.0,93200.0,93382.0,93347.0,100000000.0
832.0,101484.0,95305.0,95335.0,95088.0,95453.0,95844.0,95338.0,94354.0,94526.0,94600.0,94626.0,94728.0,94685.0,97444.0,112837.0,93964.0,93925.0,95228.0,94164.0,94410.0,93732.0,93559.0,93535.0,93784.0,93496.0,93647.0,93778.0,94118.0,93951.0,93904.0,93914.0,94102.0,93821.0,94143.0,93557.0,94902.0,93836.0,93412.0,93148.0,93406.0,93472.0,96338.0,111764.0,92837.0,93991.0,92198.0,91898.0,92309.0,92560.0,92686.0,92321.0,92343.0,92691.0,92662.0,92983.0,94430.0,92094.0,92092.0,91849.0,91642.0,93413.0,91156.0,92061.0,92167.0,93224.0,100000000.0
833.0,107600.0,97686.0,97466.0,97353.0,96971.0,96753.0,96910.0,96973.0,96858.0,97335.0,99296.0,98307.0,98470.0,97894.0,98347.0,98562.0,101070.0,117525.0,96663.0,97510.0,97042.0,96470.0,96239.0,96513.0,97431.0,97872.0,96885.0,98545.0,99317.0,101955.0,117676.0,96640.0,98885.0,98252.0,96937.0,96952.0,98249.0,96677.0,96710.0,96555.0,97386.0,96786.0,96291.0,96570.0,96593.0,99358.0,97936.0,97571.0,100662.0,116689.0,94211.0,96302.0,96512.0,95863.0,95345.0,95167.0,96054.0,95044.0,95307.0,96221.0,95237.0,94742.0,100000000.0,100000000.0,100000000.0,100000000.0
