driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53
14,98080,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
22,101943,90990,90164,89471,89503,90695,91241,89618,89771,89247,89026,89131,89004,88703,88742,88652,89221,88968,88734,90120,89065,88881,88282,88278,88350,88372,88617,87856,87919,87607,108523,98753,88862,88440,88666,88387,89143,88622,88532,88660,88369,88431,88444,88410,88364,88529,88056,88358,87757,88138,87991,87557,87944
30,98484,90289,88771,89568,87838,88307,88013,87503,87896,87349,87476,87537,87545,87587,87744,87663,87710,87804,87990,87896,87595,87272,87534,87753,88113,87288,87796,87680,87834,87250,87217,86391,105485,89994,86402,86614,86549,87173,86919,87469,86522,86595,86429,86401,86703,86591,87281,86118,86226,86110,86244,87203,87911
35,97888,91601,90161,88768,92477,91263,89882,89505,89301,89256,110128,92190,88462,88462,89122,89591,90097,89592,89705,89535,89413,89059,88617,88635,108480,91380,87954,88194,90048,88127,88352,89123,88763,88151,88495,88270,88023,88428,108509,90347,87027,87030,87837,87948,87864,87601,87768,87760,87458,87307,87252,88495,inf
44,104940,92657,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
49,102326,91613,89985,90290,89945,90321,90402,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
50,102974,91382,90157,90159,90072,90144,90716,91076,88983,89300,89415,89688,89613,89791,91428,88919,110246,92257,89253,89063,89154,89151,89499,89345,88879,89132,88989,88984,88650,89400,88966,89115,89133,110185,92901,89894,89710,89905,89973,90977,89574,89708,89612,89451,89442,89572,89511,89289,89200,89188,89391,89699,inf
55,97182,88595,88970,88055,88207,89253,88191,88026,88126,87784,87791,87473,87788,87831,88019,87501,87921,87820,87927,87724,87503,87474,87703,87702,88218,87244,87847,87513,87933,87141,107958,91354,87245,87819,87432,87914,87441,87795,87850,87910,87223,87169,87182,87318,86936,87123,87017,86781,86652,87117,87358,87917,88924
56,99432,90646,90476,89313,91119,88440,88578,88181,88406,88941,88008,88018,88093,87948,88035,88034,87952,87742,87962,87964,87742,87772,87687,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
57,97441,89065,89725,115576,91403,87834,88442,87750,87723,87636,87546,87599,87689,88915,89391,88744,89096,89682,88016,88433,88309,88128,87912,88150,87769,89300,87266,88302,86827,87159,87662,86980,107969,90811,87615,87296,87623,87703,87849,88020,87844,88019,87941,87566,87659,89256,88131,87561,87405,87789,87734,87770,89236
63,104804,93678,91243,89589,89418,89515,89432,90954,89480,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
64,101532,94858,89761,89978,89581,90016,90647,91445,89394,89119,89249,89017,89404,89701,89237,88848,89322,88909,88792,88521,88217,88205,87992,87905,88133,111995,93760,89292,89083,88910,88747,89615,89614,88755,89317,88796,89087,89831,89310,88353,88226,88785,88846,88564,88338,89737,88859,88714,88557,89028,88299,88726,inf
65,100466,90932,91649,90654,90087,90310,90665,90153,89970,89630,89412,89634,89804,89430,89308,89419,89538,90055,89882,89432,89361,88944,88724,88905,88865,88938,89337,89275,109949,92351,88625,88678,88770,88755,90693,88702,89091,88798,88861,88850,88765,88721,88826,88611,89287,88560,88404,88323,88400,88223,88238,inf,inf
71,96576,88055,88120,87639,88643,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
