driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63,lap_64,lap_65,lap_66,lap_67,lap_68,lap_69
14,93280,85524,85494,85278,85276,85426,85193,85112,84837,85040,85932,86051,85853,85411,85753,85318,84964,84706,84878,85012,84919,85149,86320,85579,102869,86065,84006,84381,84268,84531,84797,86032,85088,86300,85612,85056,84542,84247,84530,84525,85622,84795,84942,86129,103076,87293,84839,84996,85515,85827,85504,85535,85692,85259,85708,85531,85369,85747,86184,85792,85530,86365,85609,85622,85683,87248,86837,86624,87399
21,100170,87974,87015,86938,86791,87676,86843,86918,86793,86963,87284,87196,87572,86624,86591,86528,86863,86383,86466,86969,86946,86522,87122,107084,88759,86331,85612,86530,86309,86233,86316,85976,86564,86131,86237,86391,86703,88597,86465,87426,87701,86637,88635,86209,85434,85868,103856,87771,85800,85446,85555,85747,85687,85722,85503,85488,85608,85787,86061,85468,86144,85750,85748,86049,86599,86530,90588,91515,inf
22,97151,87452,86394,86700,87434,87163,86605,86528,86790,86669,86339,86289,86169,86401,86990,86243,86423,86668,86569,87440,87064,87151,86643,86953,87403,87695,87778,88431,88370,94600,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
23,99611,87715,86956,86594,86933,87705,86874,87029,86904,86911,86660,87302,86503,86310,87047,87127,106129,87886,86149,86047,86242,86370,87198,86937,86997,87482,86879,86525,86712,86331,86453,86464,86252,85895,86725,86438,86500,86534,88946,87552,87553,87328,107546,88919,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
30,88764,84811,84724,84638,84765,84539,84527,84423,84280,84521,84514,84256,84816,85043,84305,84131,84306,84129,84215,85039,84773,103021,86754,85579,86757,86676,85628,85331,84701,85663,84574,84353,84578,84775,84360,84282,84491,84435,85187,85042,83980,83692,103193,86447,85445,85657,85966,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
35,91985,84848,84810,84546,84808,84424,84741,85338,84227,84310,84554,84950,84926,84715,84500,84617,84114,84223,84655,84692,84773,84787,102709,87225,83972,85229,85741,85902,84594,85536,86938,84406,84179,84278,84111,84155,84026,84402,84759,85724,84422,83906,84185,102678,88433,84093,85325,88933,89473,87234,86484,85698,86692,86238,86249,85716,86087,86122,86590,85881,85260,85773,85977,86012,88537,86547,86334,86639,90626
44,98821,87084,86424,86219,87091,87594,86910,85736,86595,86663,86389,86629,86004,86172,87147,86240,86272,86714,86459,106403,87947,87272,86436,86417,84973,84873,84682,85160,85223,85950,85223,84821,85193,85413,86513,86515,86134,85805,85906,85873,86424,87444,109257,86855,83941,84644,85176,85515,85120,85520,85689,85521,85708,85291,85603,85843,86007,86021,87297,87070,86251,86727,86467,86434,87102,86546,89496,87352,88700
49,90746,85095,84571,84664,84620,84540,84563,87653,86161,86029,86334,85977,85657,85341,84550,84368,84857,86198,84604,84779,84357,84882,86873,86455,86517,86880,84718,102072,87266,83135,84576,84893,86074,85800,85772,85260,84892,84483,84291,84713,84773,85717,84433,85670,85982,84677,84963,112897,88749,86371,84307,84433,85156,84640,84495,84662,84631,85076,86216,86547,85156,85408,85355,85518,85654,85352,85838,86395,88022
50,101510,88496,87314,87351,87128,87714,87505,87010,87128,87410,87430,87397,87343,87221,87055,87457,87206,88437,87691,87385,87608,104163,89426,86910,87738,87353,86884,87204,92763,88706,87523,87122,87037,90119,89090,86959,87989,88058,86647,86369,86550,86502,106293,89294,87195,87463,87782,87404,87525,87390,87424,87475,87327,87458,87646,87280,87282,87641,87685,88770,87185,87341,87433,87173,86943,87112,86845,87926,inf
55,97938,87029,86436,86854,87353,87122,86707,87394,86416,86612,86424,86512,86198,86128,87042,86165,86341,86788,86465,87426,87457,86132,86936,86799,106472,85403,83975,84372,84953,85485,85175,85068,85080,85291,86282,86602,85909,85963,86049,85656,86471,86728,85788,86716,107451,106044,106234,89003,86660,85712,85941,85436,85667,85346,85612,85593,86783,86747,86609,86868,85908,85163,84682,86491,86500,86217,86449,86489,inf
