driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59
2,98883,92287,91323,91480,91287,91519,91552,91128,91124,91198,91803,93670,113285,92365,92682,92321,92403,91979,91960,92214,92260,91760,92264,92087,92010,91446,92479,92855,91764,91806,94001,114942,93410,92893,93469,92956,92743,93838,92961,92823,92845,93054,93335,92116,92120,91800,91753,91841,91994,95060,112110,93156,92259,92062,93312,92568,93382,92810,94408
4,102285,94143,93490,93250,92896,92660,92758,92315,92238,92008,92306,92047,91753,91857,92080,91643,91717,92288,91747,91478,91314,90816,93580,116262,92621,92502,92517,92283,92130,92202,92435,93266,92406,93078,92852,92772,92027,91804,91876,91456,91908,91981,91603,90711,90777,97925,93723,112075,92467,91857,92252,91905,92081,92581,92263,92309,92117,92269,96686
8,96887,92073,91559,91383,91338,91344,91353,91359,90940,91299,91094,91173,91221,91291,91357,91446,92010,93857,115613,92868,92505,92517,92021,92326,92116,92333,93395,92602,91932,95678,92278,92013,92316,94565,92035,92643,91776,91871,91944,91903,92534,92134,94749,112686,92751,92624,92807,93517,94192,93305,93458,93181,93329,93051,92679,92797,92936,93409,inf
11,116071,123136,94600,93330,93352,93555,93378,93747,93937,94021,94159,94378,95023,93087,92965,92720,92278,92239,92672,92322,92316,92190,92380,92118,91969,91889,95956,115489,93274,93139,93080,93128,93726,93703,93240,93116,93497,92584,92595,92993,94376,93535,92750,92166,92181,92405,94043,92951,96117,112106,95432,93487,93425,93562,95230,94218,93294,93671,inf
13,103258,94672,93863,93726,93206,92949,92737,92967,92792,92517,93518,92380,92866,92352,92679,93169,92332,92329,94780,117879,94132,94345,93796,94719,94206,93719,93506,93083,93746,94597,93308,93104,93052,93021,93190,92837,92580,92654,92490,92715,92635,92376,92809,95100,113707,93952,93577,93740,93979,99872,95016,97054,96375,124110,131487,94312,93623,93260,inf
14,101724,94284,93441,93155,92702,92611,92445,92226,92204,92194,92068,91940,92021,91945,91801,91774,91706,91784,91306,95019,116735,94211,97348,103137,92979,94885,93591,93434,96209,93782,92609,92567,92934,92480,92648,92385,92249,92515,91969,92841,92350,91879,92805,92276,91632,91592,94537,111516,93075,92343,92624,92183,92146,91858,92756,92500,92741,92933,94632
15,101238,94056,93074,92924,92768,92566,92269,95365,103241,92333,92680,92613,92966,92859,92872,92719,92578,95373,117770,93954,93846,94046,94271,94322,94060,94105,93777,93975,93719,93166,93828,93559,93517,93015,93828,92826,93016,92971,92453,91945,92312,92920,91779,92197,95145,113412,93201,93698,93316,94134,94370,95615,93335,93141,93439,93896,94265,94913,96188
18,104519,95144,94992,93720,94129,96045,93660,93426,93919,93591,94809,93899,93453,93164,93149,92798,92289,92143,92402,91955,92648,94830,96435,116440,94322,94179,93871,93742,93872,93650,93923,93414,93347,93191,93274,93203,93216,93083,92669,92701,92520,92793,92483,92544,92662,95117,114510,94549,94577,94592,95007,95138,95822,97450,96185,95697,96423,96596,98553
21,112990,97954,94204,93975,93606,91841,91916,92141,92195,93350,94088,94253,93321,93109,93128,92853,92324,92237,92294,91955,92540,96045,117126,94867,94863,93623,93958,93783,93797,93563,94384,93105,93409,92893,93195,93299,94417,93685,92874,92286,92097,93300,92464,92172,92289,92198,91708,92887,92047,94057,110340,92434,92704,92236,92925,92889,92680,92541,93166
22,105350,94596,95029,93743,93980,92963,92291,92913,91107,91525,95371,114800,92998,92337,92606,92483,91933,91991,91908,91575,91893,92513,91826,92051,92428,91539,91349,91133,91170,91475,91466,91381,93941,112879,92903,92171,92037,92128,91923,91727,92017,91910,91733,91028,91772,91397,92124,94191,111694,92750,92459,92210,92796,92392,92970,91834,92241,92954,93293
23,136132,118399,92878,93242,92773,92827,92690,93138,92855,92473,92460,92818,93362,93464,92645,92224,92164,92146,92327,91947,92005,92033,92269,91950,91724,94846,114317,93896,93551,93060,93329,92841,93345,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
