driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53
1,93417,91131,90429,90568,90500,90249,90468,90371,90335,90630,90425,90336,90289,90194,90480,90479,90389,90391,90554,90445,90409,90412,93581,106587,90025,89441,89511,89404,89344,88908,88993,88962,88998,89622,89587,89440,89360,89500,89379,89381,89351,89281,89666,89412,89186,89427,88669,89157,89325,88729,88628,88427,89039
3,99711,93361,91639,91890,93773,91508,91528,91504,91225,91667,91474,91177,91211,94635,109768,90713,90011,90312,90474,89779,89560,91215,90121,89401,90070,89492,89472,89080,89270,89594,89221,89739,89581,89095,89002,89303,90112,93563,107037,88279,88549,88114,88434,87878,87595,88761,88522,88133,88501,88425,87460,87593,87239
4,97426,91602,91278,91396,91136,90898,90938,90700,90581,90885,90589,90474,90448,90481,90438,90532,90269,90571,90868,94045,108388,91369,90932,89378,89571,91034,89558,89346,89788,89318,89010,89182,89138,89371,89323,89458,89323,89193,89115,89073,89126,89332,88913,88835,88915,89829,89307,89724,90258,90241,90385,90137,90390
5.0,101930.0,94414.0,93584.0,92578.0,92438.0,92595.0,92580.0,92042.0,92366.0,92424.0,92065.0,92171.0,91790.0,92318.0,91905.0,92317.0,95600.0,110345.0,91722.0,92015.0,91359.0,91307.0,91447.0,91211.0,91142.0,91075.0,91072.0,90874.0,90854.0,90759.0,90797.0,90702.0,91029.0,90694.0,90806.0,90875.0,91050.0,91655.0,94191.0,108134.0,90204.0,89924.0,90032.0,89900.0,92158.0,89399.0,89628.0,90026.0,90035.0,90737.0,90032.0,90013.0,100000000.0
8,97230,92685,91640,91384,91449,91053,91318,91279,91170,91326,90955,91062,90601,91148,90973,90253,95681,108508,90630,90118,90061,90139,90235,90850,89804,89995,89547,89656,89475,90222,89796,89974,89304,89836,89529,90133,91264,91854,89338,89333,89248,89511,89156,89425,89279,89175,89157,89716,89242,89419,89310,89109,89547
10.0,103878.0,94755.0,93165.0,92922.0,92896.0,92995.0,95828.0,118134.0,92948.0,92413.0,93037.0,92456.0,92496.0,92502.0,92279.0,92107.0,92057.0,92339.0,92218.0,91901.0,92029.0,91879.0,91798.0,91918.0,91948.0,92160.0,92070.0,91982.0,91662.0,91924.0,92057.0,95931.0,113182.0,90728.0,93113.0,90790.0,91743.0,90535.0,90262.0,91513.0,91048.0,90213.0,92260.0,91697.0,91269.0,91106.0,90718.0,90116.0,89944.0,89888.0,89980.0,90044.0,100000000.0
13,94673,91279,91182,90663,90501,90611,90686,90734,90616,90643,90681,90661,90522,90619,90616,90576,90849,91035,95683,109092,91395,90858,89819,89539,89539,89514,89580,89719,90003,89211,89742,89263,88914,89260,89624,89712,89734,89917,89563,90598,89491,89577,90311,89895,89670,89952,90008,90307,90854,90684,90702,90585,91426
17.0,100781.0,93200.0,91933.0,91645.0,91888.0,91034.0,90924.0,90924.0,91257.0,91643.0,91420.0,91078.0,91321.0,90888.0,91050.0,90974.0,90765.0,90889.0,90919.0,90845.0,93987.0,109417.0,90635.0,89908.0,89888.0,89986.0,89637.0,89499.0,89521.0,89488.0,89720.0,89654.0,89514.0,89943.0,89886.0,89696.0,90084.0,90759.0,89577.0,89643.0,89575.0,89429.0,89202.0,89428.0,89454.0,89250.0,89621.0,89574.0,90568.0,96841.0,121497.0,100000000.0,100000000.0
18.0,95455.0,91554.0,91312.0,90822.0,90917.0,90783.0,90796.0,90720.0,90625.0,90656.0,90471.0,90557.0,90353.0,90573.0,90417.0,90540.0,90684.0,90421.0,90906.0,90279.0,90145.0,93698.0,109176.0,89580.0,89306.0,89434.0,89419.0,89262.0,89197.0,88935.0,88926.0,89096.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
20.0,96787.0,91564.0,91487.0,90632.0,90924.0,90632.0,90605.0,90626.0,90653.0,90763.0,90537.0,90728.0,90538.0,90557.0,90828.0,90476.0,90570.0,90684.0,90938.0,94087.0,108995.0,91258.0,90701.0,89678.0,89672.0,90651.0,89514.0,89524.0,91059.0,89634.0,89175.0,89678.0,89125.0,92863.0,100809.0,89280.0,89882.0,89894.0,89385.0,89206.0,89271.0,89081.0,89159.0,88883.0,88741.0,88713.0,88880.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
155,97831,92646,91757,91481,91484,91487,91736,91887,91519,91626,91375,91311,91030,91319,91508,91592,92058,91360,91902,94998,109434,90444,90730,90403,91388,90229,89971,89835,89845,89790,89677,89856,90091,89866,89845,89862,90356,90082,89032,89261,89408,89219,89119,89712,89804,89195,90685,89349,89335,89405,89237,89260,89487
30,96064,91938,91602,91835,91142,91116,91814,91146,91105,91752,91132,90970,90915,91202,94370,108544,90262,90544,90049,90141,90099,90978,90872,91528,89685,89921,89764,89477,89708,89895,89599,89883,89397,89718,89253,89494,92876,107338,88963,88733,88356,88295,88702,88334,88094,88146,88191,88987,88484,87896,87718,87884,88569
37.0,105383.0,95413.0,94078.0,93457.0,93314.0,93714.0,93399.0,93339.0,93287.0,93315.0,93317.0,94289.0,93794.0,93973.0,93712.0,94237.0,93657.0,93704.0,93408.0,93728.0,93538.0,97099.0,112731.0,92931.0,92517.0,91866.0,92390.0,91961.0,93656.0,92258.0,92395.0,93980.0,91611.0,93253.0,92176.0,91259.0,91203.0,92288.0,92435.0,91665.0,92023.0,91563.0,91889.0,91139.0,91066.0,91024.0,91046.0,91005.0,90809.0,90671.0,90398.0,90502.0,100000000.0
807.0,102633.0,94068.0,92669.0,91986.0,92245.0,91947.0,91922.0,93183.0,91190.0,91508.0,91387.0,91532.0,91117.0,91727.0,91386.0,90997.0,91088.0,90832.0,91003.0,90963.0,91038.0,91646.0,91680.0,91861.0,91600.0,91209.0,94368.0,108921.0,90068.0,89620.0,89437.0,89784.0,89747.0,89749.0,89608.0,89498.0,89549.0,89293.0,89557.0,89230.0,89782.0,89406.0,89055.0,89298.0,88912.0,88578.0,88694.0,89168.0,88845.0,101795.0,100000000.0,100000000.0,100000000.0
808.0,103423.0,94560.0,92929.0,92973.0,92447.0,92491.0,92165.0,92784.0,92439.0,92443.0,92176.0,92331.0,92022.0,92445.0,92019.0,92116.0,92105.0,92368.0,96505.0,109993.0,91277.0,91253.0,91323.0,91092.0,91076.0,90903.0,90864.0,90774.0,90728.0,90601.0,90756.0,90574.0,90732.0,90497.0,91023.0,90870.0,91217.0,91154.0,90810.0,93861.0,108347.0,89605.0,89199.0,92161.0,89906.0,89066.0,89768.0,89982.0,89743.0,90721.0,90070.0,89832.0,100000000.0
39.0,104978.0,94995.0,94134.0,93479.0,93176.0,93375.0,93160.0,93195.0,92975.0,93328.0,93391.0,93524.0,93053.0,93283.0,93346.0,93294.0,93347.0,93288.0,93133.0,93738.0,93014.0,94343.0,96434.0,121534.0,91793.0,91457.0,92471.0,92919.0,94157.0,92809.0,93020.0,91830.0,92023.0,91910.0,92067.0,92144.0,91810.0,92182.0,91941.0,93069.0,91283.0,92171.0,91488.0,91086.0,91305.0,91475.0,91830.0,91603.0,92020.0,92796.0,94998.0,92559.0,100000000.0
811,99018,92593,92260,92974,91018,90958,91131,93200,91330,91730,91554,91872,91293,91111,91214,91251,91266,91191,92095,91601,91454,91671,93875,96580,109752,90272,89908,89622,89795,89679,89707,89812,89608,89856,89719,89662,89689,89616,89528,89918,89732,88938,88883,89056,89298,88845,88939,89037,89687,89071,88852,88742,89902
813,102927,94167,94319,92031,91885,92458,91277,92085,91489,91749,91257,91614,94481,109733,90388,90193,90594,90273,89653,90263,89902,90619,90526,90401,90777,90823,90304,90121,90011,89843,89850,90062,89825,89949,93068,105942,88552,88589,88266,88080,88495,88590,89101,88993,88312,88322,88443,88331,88537,88383,88053,88937,89060
814,98590,92688,91845,91381,91512,91997,91675,91811,91503,91829,92423,91557,91301,91110,91266,90885,91175,91008,91911,91793,93846,108224,90645,90246,89953,90181,90024,89715,89831,89576,89625,89797,89723,89832,89659,89587,89721,89711,89641,89498,89410,89484,89232,89480,89196,89229,90088,89656,89583,89967,89068,89373,90217
815,99818,92195,91601,91174,91590,91151,90489,91281,91328,90885,90533,91362,90500,90825,91057,90254,90658,90460,90548,90321,90213,90490,90579,90714,90207,90406,90129,90179,94834,107897,89039,89046,89358,88720,89415,90027,88663,88128,87846,87753,87794,87888,88797,87705,88350,88273,88008,88062,88264,87631,87982,87588,87562
816,101438,93733,92603,92106,91684,91786,92200,92667,91835,92083,91735,91533,91478,93222,91743,91592,92364,92218,93310,92701,91552,91807,93038,91548,91988,96474,95663,108703,90138,89862,89708,90107,90704,90397,91042,90593,89898,90066,89425,89448,90318,89087,88986,88964,89318,89282,89356,89354,89012,88956,90707,88677,88873
817,100284,93348,91840,92690,92526,91680,91609,91772,91630,91668,91514,91173,91264,91229,91515,90840,91370,91152,91243,91059,91698,93216,91838,94578,109385,90526,90249,89646,89663,89597,89549,89451,89294,89774,89361,89344,89329,90190,89448,89853,89329,89118,89888,88995,88771,88621,89177,89476,89195,89194,89255,89043,94080
818.0,102212.0,93591.0,92873.0,92100.0,92406.0,91962.0,92217.0,92516.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
819.0,104495.0,94695.0,93611.0,93218.0,92794.0,92791.0,92672.0,92558.0,92734.0,92707.0,92622.0,92449.0,92429.0,92358.0,92359.0,92840.0,92809.0,96184.0,111841.0,91522.0,91421.0,91393.0,91617.0,91541.0,91491.0,91492.0,91439.0,91361.0,91386.0,91108.0,90946.0,90952.0,91085.0,90912.0,94419.0,108845.0,90059.0,89872.0,90015.0,90835.0,90016.0,89909.0,89858.0,89753.0,89878.0,89847.0,90145.0,90143.0,89783.0,89832.0,89961.0,92438.0,100000000.0
