driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51
1,120321,112852,113286,112351,112206,111829,111116,111835,111732,111223,111560,111746,110734,110952,114819,125221,108187,109003,109292,109694,109435,109564,108731,109236,109104,109047,108573,108586,108665,109092,108902,108846,109147,109356,108528,108731,109658,109013,108775,108936,107437,106822,108192,109411,109338,109248,108997,109239,109241,109758,111134
3,112772,110007,110541,110876,110251,110409,110237,110443,110107,109930,109907,109771,109689,109389,109682,109307,109160,109482,109247,109603,114200,125801,107954,108595,109023,109372,108628,108151,107955,108456,111131,107421,108539,107120,107436,107285,107157,107442,107285,107343,107250,108202,107555,107076,107543,109006,107469,106485,107023,108711,108942
4.0,122230.0,112226.0,113328.0,113511.0,119313.0,127022.0,111124.0,112129.0,110843.0,112849.0,110831.0,111560.0,111023.0,110638.0,110827.0,111645.0,111228.0,110713.0,110861.0,111442.0,111580.0,113131.0,110314.0,115663.0,126931.0,109350.0,109101.0,109434.0,109949.0,109760.0,109952.0,109367.0,109426.0,109613.0,109788.0,109436.0,109939.0,111248.0,112010.0,110000.0,112994.0,134502.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
8,116048,111220,111517,112044,111884,113437,112736,117014,126665,110721,110462,109735,109718,109093,110334,110173,109521,110776,109459,109152,108833,108883,108721,108472,108886,108471,108172,110356,108641,108676,108329,108216,108442,108387,108576,108516,108134,108709,107820,108278,107181,107548,107297,107267,107427,107545,108529,107787,107399,107920,111341
13,118109,111264,112371,112641,113016,113218,117456,125086,110648,111172,112571,110107,109881,109778,109976,110337,110418,110766,111009,113179,110977,110454,110183,109916,109882,109760,109673,114198,124774,108752,108812,108464,108377,107955,107761,107812,107957,108199,108747,108839,109359,109463,109802,109179,110542,108606,108737,109303,108907,109474,109874
18,123972,113361,112630,113482,117122,116934,126330,110131,110655,110836,110952,111395,110686,111035,110825,111498,112375,110973,110928,110958,110898,112744,110967,111713,115758,125570,109859,109565,108312,110028,109385,109173,109235,109093,109978,109294,109454,109141,108997,108588,108491,108460,108907,109023,108678,108118,107852,108148,108545,107622,108509
20,115352,110457,110901,111998,113108,111613,111190,111266,111158,111135,111017,111014,110432,110399,110275,110386,110371,110168,110228,115196,126129,108654,108152,108208,108089,107993,108269,108020,107582,107647,107852,107975,108623,107478,107998,108531,108080,107461,107692,108060,107502,107370,107806,108200,107302,107407,107062,107122,107028,107175,108931
154.0,121734.0,112106.0,113350.0,112136.0,115927.0,112052.0,112470.0,114885.0,113324.0,119656.0,128633.0,111278.0,109953.0,110441.0,109941.0,110001.0,110138.0,110110.0,115179.0,109284.0,111215.0,109923.0,110846.0,111227.0,110377.0,115246.0,130646.0,110291.0,109008.0,109002.0,109100.0,108966.0,109058.0,110698.0,108776.0,108711.0,108977.0,108837.0,108655.0,109180.0,110817.0,110361.0,108286.0,108438.0,108309.0,109349.0,108198.0,107943.0,108298.0,108625.0,100000000.0
807,123435,111573,113238,113611,114134,111642,112370,112560,112228,111801,111265,111327,112080,110658,110554,112526,110697,111262,111509,115815,126386,110697,110065,109790,109276,108592,108830,109094,109006,109018,108934,108775,108599,108309,108261,108132,108012,108499,108240,108214,108500,108703,108548,108384,108559,108620,108688,110880,109150,110141,110887
815,116369,111421,111995,111296,111953,113707,113402,113141,112484,111975,111735,110976,110584,110139,109955,114387,125680,108281,110228,109995,109355,107980,108589,108450,108324,108193,108314,108370,108368,107989,107920,107881,108370,108051,109174,107986,108929,107990,107740,107256,107589,107637,107651,107363,106990,107069,107851,107148,107957,107151,108269
817,113840,110352,111098,112768,113670,118907,126943,110140,110590,110362,110259,110364,109747,110530,110430,110969,110898,111331,112781,111567,111632,117661,126912,109510,109355,109266,109400,109016,109032,108598,108544,108569,108475,108220,108164,108225,108099,107933,108083,108033,108426,108391,108316,108237,108706,108494,108236,108246,108348,108186,107736
821.0,125883.0,113197.0,111826.0,113480.0,116633.0,114188.0,116420.0,125058.0,137939.0,110738.0,110730.0,110680.0,110628.0,110877.0,111316.0,110918.0,110341.0,110159.0,110282.0,110362.0,109769.0,109544.0,110594.0,109715.0,111226.0,111965.0,111264.0,112590.0,115058.0,129436.0,110388.0,110464.0,109996.0,110026.0,110012.0,110528.0,109714.0,109359.0,111342.0,110189.0,108573.0,108912.0,108746.0,108995.0,108716.0,108089.0,108045.0,107904.0,108553.0,107563.0,100000000.0
822,120130,112098,111880,114719,111782,110611,112587,111318,111451,112097,113258,112492,111793,111290,110713,110728,110555,110990,115864,125884,109679,109541,109343,109274,109595,109137,109209,108814,109193,109314,109387,109354,108998,108957,108949,108748,108658,108333,108190,108014,109182,108115,108185,108323,108345,108254,107979,107972,107804,107604,108562
825.0,128641.0,113297.0,112366.0,113487.0,114840.0,118196.0,129767.0,112069.0,112019.0,111491.0,111916.0,111260.0,111117.0,111119.0,111100.0,110628.0,110401.0,110409.0,111200.0,110701.0,110827.0,110770.0,111040.0,110990.0,110472.0,111163.0,111549.0,110602.0,111616.0,110613.0,110441.0,110049.0,110054.0,109587.0,109708.0,109421.0,109523.0,109558.0,109487.0,109594.0,109282.0,109481.0,110527.0,110465.0,113728.0,110439.0,111095.0,110044.0,110798.0,112784.0,100000000.0
826.0,118934.0,113167.0,114524.0,114757.0,132361.0,143198.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
828.0,128178.0,112604.0,113111.0,112520.0,115120.0,113605.0,112400.0,112799.0,112112.0,112606.0,113395.0,112416.0,112151.0,113544.0,113034.0,118586.0,127427.0,110788.0,110262.0,110438.0,112594.0,110930.0,111031.0,111203.0,117002.0,126897.0,110565.0,110263.0,109881.0,115112.0,110245.0,110587.0,110055.0,111581.0,111662.0,110182.0,109890.0,110747.0,110983.0,109573.0,109915.0,110332.0,109721.0,109695.0,109501.0,109171.0,109003.0,108898.0,108996.0,109393.0,100000000.0
830,118905,111599,113249,115010,121368,126391,110422,111824,110403,111772,110463,110546,111210,111666,110728,110892,111501,111709,111791,117874,128988,109980,109437,108987,109096,109334,109445,108805,108817,108662,108449,108487,108267,108591,108133,107872,108089,107854,107702,107588,107502,107774,107716,107611,107447,107198,107100,107636,107113,106973,107086
