driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63,lap_64,lap_65,lap_66,lap_67,lap_68,lap_69,lap_70,lap_71,lap_72
2,84246,78495,78606,78278,78237,78434,78064,78009,78266,78312,78076,78297,78052,78171,78248,78164,78147,77810,77975,77748,80812,96316,77538,77811,78016,78096,78239,78225,77758,77942,78149,78236,78235,78157,78088,78068,78429,78353,78319,78293,78401,81280,98780,78576,78436,78563,78702,78887,78894,79031,79124,79045,79259,79398,79143,78990,78767,79108,79101,79248,79127,81152,79287,78885,78986,79296,79212,80174,79283,80447,79967,inf
4,89925,81871,81442,80615,80899,81092,80972,80844,80797,80626,80772,80375,80371,80305,80257,80542,80611,80558,82292,81591,80881,80626,80678,80787,81213,81656,80209,80394,80016,80440,79783,80110,81878,80060,80793,83238,104241,81211,80182,80213,80584,80182,80850,81273,80513,80137,80908,81912,83526,80714,80605,80351,81435,80387,79989,80453,79635,79867,79940,79640,79535,79199,80708,85830,92525,inf,inf,inf,inf,inf,inf,inf
8,83696,78405,78546,78207,78302,78028,77330,77311,77704,78096,78344,78397,78083,78183,81688,98575,79141,79926,79251,78312,78375,78690,79735,80157,79502,78282,78347,78156,78064,77853,78758,78736,77946,78002,78035,77897,78143,78040,78098,81750,98729,78510,77854,78382,78467,80083,78859,80921,78867,78847,78772,78688,78882,79180,78683,78632,79038,79163,78917,78503,79131,80432,80658,79097,79240,81501,78701,78713,79034,79908,79779,inf
14,79414,77476,77173,77278,77287,77382,77546,77232,77489,77045,77099,77303,76922,77058,76832,77043,76876,76731,77099,77359,77448,77040,77679,77310,77397,80151,96624,76720,76697,76745,77585,80831,97319,77684,77022,77104,77737,77250,77364,77186,77243,77179,77294,77294,77567,77257,77446,77310,77549,77742,80697,93689,76088,76687,77240,76563,76797,77921,77710,77425,77785,77660,77497,77364,77515,78067,77953,77336,77643,77679,77272,77736
15,82030,77602,77849,77575,77384,77768,78173,77974,78158,78063,78205,78103,77992,78109,78145,78362,78085,78069,78036,77924,78268,78149,78117,78322,81719,96508,77584,77577,77369,77807,77837,78321,78186,78165,78783,78629,78526,77844,77996,78243,78603,78396,78458,78213,78214,78796,81615,96355,77417,77824,77799,78002,78392,78784,78307,78119,78107,78485,78484,78253,78422,78390,78680,78576,78791,79022,78883,78839,78663,79244,80421,81811
18,88288,79504,79308,78751,79426,79354,79195,79148,79382,79517,79525,79273,79243,79318,79322,79117,79251,79244,82012,98718,79864,81576,78548,78567,78359,79865,78887,78807,78995,80258,79205,79142,79593,81589,79985,79311,78718,79059,78770,78922,78815,80622,78983,84189,112721,79106,79034,78822,78482,79268,78607,79257,79184,79611,79555,79545,79437,79578,79813,79253,92789,79278,79641,79268,80268,78782,78803,81058,inf,inf,inf,inf
21,87824,80921,79178,79512,78988,79149,78970,79073,79814,79528,79734,79555,78962,78786,79333,79150,79250,79869,78983,81325,96228,79844,79832,79822,78177,77968,78896,79910,78626,79673,80389,79251,78871,79205,78965,78577,79745,79966,78725,79016,79529,79202,78819,81976,101307,78835,78571,78558,78791,78614,78689,79047,79028,78904,78702,78854,79240,78947,79138,80446,79589,79305,79239,79564,79813,78834,79993,78572,79486,79706,80148,inf
22,80999,77907,77708,77405,77018,77516,77604,77672,77654,77460,77610,77438,77007,77305,77605,77574,77656,76855,77349,76864,80136,93599,76181,77118,76907,76994,77836,76961,77054,76851,77252,77423,76950,77082,77704,79949,94854,76190,76408,76801,76714,77028,77257,77195,77808,77354,77770,77870,77679,77144,76960,77216,77218,80235,94649,77122,77360,78428,77434,77571,77705,77395,77626,77369,77653,78198,77681,77531,77771,77456,77498,77666
23,78661,76992,77013,76975,77219,77445,77404,77160,77056,76977,76993,76977,76870,76948,76677,76803,76842,76585,76901,77146,76742,77086,76822,79911,98487,78127,77371,77717,77080,77208,77718,77900,77789,77857,77683,77829,77995,77846,77829,78028,77674,77325,77416,81658,96662,77055,77359,77780,77498,77502,77754,78093,78437,77624,77722,77642,77418,77975,77746,78228,78368,77871,78097,77933,77516,77926,77858,76983,77179,77657,77443,77967
30,79041,77213,77163,77189,77243,77495,77265,77308,77409,77008,77041,76984,76848,77006,76808,76969,76855,76591,76789,77613,76966,77098,77419,76865,79229,93910,76286,76370,76496,76841,77346,77355,76681,76644,76702,76699,76634,77017,77859,76454,77214,76814,76658,76757,79877,97891,77075,77579,77752,78003,78045,78245,78267,78376,78389,78062,77717,77913,77732,78109,78329,78305,78131,78184,77772,78340,77940,77649,77725,77797,78079,80201
31,80471,77889,77128,77229,77117,77604,77713,77615,77479,77375,77287,77366,77171,77838,77734,77572,77176,76899,77057,76969,77073,78016,77404,77598,77283,77349,77253,77198,77969,80986,96893,76673,76453,76355,76712,76964,76657,77225,77387,77193,77764,77495,77656,77875,77559,76581,77014,76886,77052,80312,96538,84313,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
35,83105,78646,78519,78181,78223,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
