driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62
14,93957,90750,90349,90261,90403,90164,90372,90395,90192,90267,90071,89853,90045,91531,89988,89971,89835,90417,90663,90864,89684,90084,89770,89549,89398,89535,89729,89706,89840,90953,89746,90497,89625,89247,90119,114249,90694,91739,93085,91643,92072,89563,89330,89857,90301,90980,91909,92472,91045,90195,89756,89199,89307,90262,90865,89843,89269,89694,89852,90358,91148,92540
21,101765,94569,93495,94523,93263,92981,93210,92802,92683,92749,92506,92388,92218,92082,92447,92230,92776,92958,92046,91832,92575,92207,92217,91349,92227,91563,92565,92113,92267,92089,91645,91240,90977,91461,91781,117220,92333,91971,92935,93772,92501,91656,92393,91867,91976,91886,92455,92860,91643,91508,91335,91513,91466,91446,91314,91281,91379,91317,94867,94821,93488,inf
22,96408,92739,92416,92105,91650,91730,91485,91453,91199,91411,91022,90963,91113,91035,90675,91227,90925,91084,90729,90693,90564,90731,91145,92187,113302,91073,91191,91387,91146,92030,90799,91308,91034,91172,90879,90750,90743,90958,91396,91229,91422,91091,91946,113551,91988,91934,92843,92567,91897,92207,93452,92208,91980,91409,90806,90894,91275,91838,91036,91756,91535,inf
23,98405,92935,92860,92337,92140,92517,92065,92081,91671,91563,92027,92214,91654,91361,91014,91195,91382,91538,91186,91415,91157,90737,90844,90918,90865,90997,92135,90995,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
25,105654,94835,93337,93488,94222,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
30,95002,91836,90770,90738,90465,90222,90556,90453,90445,90193,90596,90349,90184,90036,89947,90278,90327,90183,91087,90332,90068,89721,89463,89503,89489,89561,89657,89435,89269,89599,89654,108806,88853,88997,90646,90063,89095,89382,89281,89044,88609,88552,88851,88638,88547,109808,91025,91488,90487,90673,90644,89671,89493,90512,90065,90153,89906,90006,89918,90405,91794,91962
37,105402,94231,93328,93711,94140,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
44,103470,94536,93629,93713,92705,92913,93297,92867,92692,92688,102263,95190,92201,92059,91927,91926,92663,91929,91779,91322,91639,91153,91218,91057,91265,91920,112130,90081,90845,90787,92380,92332,91785,93091,92825,92003,91546,92722,92236,96745,114276,147640,94414,93279,92061,93144,93161,92144,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
48,106545,96136,94739,94887,94664,95484,94995,94467,94451,95189,95060,94649,94322,93946,94905,95878,93941,94103,95357,94345,93603,93798,114434,119057,93478,93273,93813,94639,93551,94865,93582,95822,94488,97521,93259,94185,93313,93175,93285,93505,98665,117188,95437,93617,94088,94585,94760,93546,93399,93213,97963,95406,94326,93797,93713,94175,94546,94791,94188,inf,inf,inf
49,97660,92930,92632,92265,92082,92307,91886,92161,91425,91876,91234,91605,91452,91186,91591,91353,91003,91053,90748,90732,90940,90812,90937,91544,91284,91144,90686,112653,91239,91399,91933,91899,90470,90931,91365,91069,91255,90854,91048,91382,90272,90868,90409,90963,90324,90229,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
55,99616,92955,92769,92449,92391,92090,92628,91732,91955,92048,91664,92530,91388,91773,91816,114304,90620,92128,90879,90712,91058,91369,92196,91395,92630,91163,90519,90574,90682,91211,116363,91338,91605,91304,91807,93787,91091,90960,90442,91029,91230,91392,92487,92301,92958,114139,91729,91719,91413,90963,91105,91115,90933,91504,90694,90846,90784,92269,93154,94944,94407,inf
56,95852,92614,91974,91508,91325,91098,91235,90857,90806,90571,90645,90660,90591,90518,90103,90455,90603,90935,90528,90299,90431,90819,91871,92444,90174,90352,90333,90317,90324,111316,90397,91419,90768,90138,90336,90111,90380,89948,90820,90176,90400,90475,90740,89848,89726,90591,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
57,92202,90225,89643,89964,89440,89680,89635,89337,89315,89309,89486,89410,89684,89222,89145,89434,90781,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
63,103097,94562,93525,93756,94458,94624,93719,93111,93049,92619,93171,92852,92315,92136,92652,92404,92137,93656,92183,91899,92081,91543,91835,91709,115622,91612,92077,91959,92183,92179,93192,99506,92709,92254,92725,91794,91836,92050,91982,91833,92966,92537,91358,91007,91453,115395,92960,92625,92436,92614,92403,92145,92636,91892,92393,92886,91688,92282,99814,inf,inf,inf
64,102589,94290,93295,93063,92311,92286,92860,92270,92047,91764,93022,92148,91664,92207,91848,92107,91704,92928,91441,92042,95450,91364,91327,90908,90966,116355,91026,91172,94334,93674,92779,94741,91562,92329,110647,279926,92631,91683,91747,91547,115842,91841,92808,97010,93322,93369,91497,91833,91612,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
65,100128,93379,93063,93582,93092,92433,92601,92134,92153,91961,92268,92234,92064,92179,91824,91831,91865,92127,91724,91804,91660,91568,91889,91238,91650,91392,91615,91630,91458,91470,92691,118138,91785,93070,91897,92061,92084,91764,92666,92047,92099,92137,92432,92392,92620,92438,92898,93805,92388,92104,92013,91684,91799,91442,91467,91634,91956,92092,inf,inf,inf,inf
68,104742,93883,93473,93727,93862,92728,92784,92915,92448,92509,93769,91931,91798,91729,91937,92958,92662,134577,91793,92455,93367,93699,103418,115541,94272,91803,91987,91717,91587,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
69,105987,95404,93902,94009,94329,94176,93991,93779,93588,93837,93758,95529,94052,93503,93406,93784,93591,93735,93643,93233,93850,118678,96769,93206,94511,94877,96329,94000,94799,94758,94506,93165,95095,93041,92851,93470,93087,93811,93580,92972,95109,93925,118125,95252,96808,96486,93902,94395,93342,93417,94590,94845,96066,94927,97516,95197,95383,96737,98731,inf,inf,inf
70,101225,94557,93050,93076,92450,92487,92629,92305,92313,92066,92168,92392,92398,91949,92009,91778,92021,92196,91732,99927,91488,90783,91743,90893,91229,90910,90325,95074,92295,114451,92057,91376,92745,91157,91720,91265,92142,90821,91024,91129,91607,92028,92449,92262,92687,92910,113199,91198,90811,90670,90680,90672,90718,90589,90254,90733,90898,91323,inf,inf,inf,inf
71,99243,92894,92774,92384,92280,92156,92393,92011,92161,91734,91733,92095,91953,91526,91493,91672,91862,91306,90909,90764,91079,91131,91020,90797,91603,91231,91459,91310,90938,112270,90911,91508,90844,91296,90794,90465,90140,90410,90562,90314,90354,90602,90918,93938,92119,91689,95339,92878,92394,110501,90714,90385,91868,90381,90896,91838,90672,90918,90439,91613,91748,inf
