driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63,lap_64,lap_65,lap_66,lap_67
1,83180,77904,77508,76522,76546,76420,76378,76646,76404,76078,76100,76566,76543,76350,76326,76465,76039,79679,100668,77099,76994,76941,77260,76986,77028,76766,77208,77480,77353,76767,77511,77322,77223,77583,77324,79966,150859,133140,129650,129995,119199,78152,76785,76618,76505,76472,76152,76360,76274,79361,96725,76918,76407,76094,76756,76879,77566,76342,76675,76571,76303,76141,76274,76786,76595,76292,76895
2,90714,80831,79567,79495,78465,78492,78201,78178,78599,78318,78016,77890,77998,78372,77892,77776,77484,77793,77655,77757,76917,79419,78140,77308,77412,77413,80605,98525,77544,77687,78416,77791,78439,77787,77912,85601,115977,119087,127357,129904,118873,78587,77728,76968,76875,76556,76778,76645,76446,76499,76220,75987,79742,95823,77053,76818,77132,77737,77224,76958,77028,76905,77079,76857,76875,77183,77389
3,91914,82351,81061,80085,79553,79035,79561,79789,79258,78770,78717,78501,79729,78912,78411,78466,78099,78470,78146,78139,78001,77912,78408,78596,78742,78606,79081,80664,98181,77648,77737,77720,77643,77380,79253,81057,102615,119031,135804,126684,114550,81289,80112,80499,78851,79250,78783,78801,78529,78554,78604,80313,79028,78551,78331,77783,77870,79133,77731,77819,77922,78022,77863,78184,78081,78096,78253
4,88164,79230,78936,80268,78185,78187,77750,77924,77701,77290,77196,77565,77439,77395,77242,77492,77115,77243,80693,99994,77787,78857,78625,78651,78468,78322,77729,77809,77999,79336,78067,78204,77972,77844,78020,86546,115176,123447,135231,128754,115453,80927,80369,81915,78895,79210,78847,79113,78308,78716,78371,78775,77902,77875,77503,77877,78206,83904,77746,77776,77707,77625,77702,78282,78249,78069,78324
5,85896,79403,78315,77994,77573,77287,77391,77492,77331,77116,77088,77124,76963,77025,76829,77142,76747,76948,76861,76677,80927,98961,77874,77315,77445,77382,77526,77200,77344,77398,77212,77026,77381,77632,77475,85409,133905,127159,135391,129565,116782,80861,79426,78871,78315,78247,78113,78093,77785,77758,77985,79236,77819,77817,77445,77415,77989,77609,77229,77102,77125,76815,76495,76899,76784,76791,77750
6,92562,83010,80816,80400,80083,79604,79381,79107,79458,79053,79341,78913,79209,79093,78860,78813,87052,77984,77840,77927,77764,77748,77691,78054,78458,78127,77939,77979,81683,98364,80369,78439,78702,80082,84416,142172,132486,127171,89971,83633,99293,79107,79055,78655,78522,78662,78825,78718,80209,81110,80779,81916,80714,79571,78564,78045,78130,77872,77990,77796,77974,78082,77897,78486,78443,78199,78509
7,91078,81653,80581,79270,78858,78613,78329,78132,78320,77957,78233,77949,77759,78549,77859,78035,77375,77451,77592,77216,77433,78247,81868,99758,78575,78476,78153,77755,78053,77812,77830,77497,78024,78009,77579,81149,116443,121137,138191,126752,114532,80568,79779,80660,79316,79236,79189,78634,78566,78793,78552,79134,79119,78749,78265,78156,78358,79697,78083,78083,77870,77444,76969,77909,78512,78221,78041
8,88839,79653,78866,78845,78035,78051,77573,77828,77485,77390,77411,77508,77389,77378,77416,77378,77219,77233,77625,77388,77070,80679,98243,77595,77326,77382,77392,77255,77830,77637,77237,77014,77491,77561,77348,80936,131163,126663,141480,126909,113929,80091,80362,79547,78150,77543,77640,78421,77796,78088,78410,78362,78239,77784,77949,77740,78077,77498,77470,76723,77112,76398,76961,76655,76931,76342,76418
9,86949,79267,79617,78304,77912,77619,77116,77346,77218,76851,76994,77031,77136,77090,76885,77178,76610,80364,99561,77958,77992,77723,78039,77671,77561,77576,77451,77538,77620,77380,77411,77100,77520,77662,77356,81998,132007,125082,133346,130251,117879,80893,80720,79046,78449,78501,78346,78533,77981,78206,78378,78272,78197,77934,77862,77424,77923,77920,77679,79052,77785,77449,77405,77360,77550,77886,77557
10,90065,80826,79370,79132,78685,78604,78321,78187,78590,78055,78115,77868,77946,78444,77722,77933,77399,77798,77792,77409,77258,77187,77328,76712,76997,77211,77110,77046,81165,99595,78081,77882,78040,77865,80179,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
12,93369,82637,80999,80500,79995,79751,79489,79153,79570,78803,79275,79079,79265,79168,78975,78775,78503,78064,78302,78440,78045,78153,78449,78121,78286,78139,78209,78485,78977,78255,78431,77739,77770,77827,81251,105746,93242,116256,126132,129882,118489,79681,78367,78163,78146,77824,77784,77628,77559,77546,78129,77541,77741,77365,77269,77441,77675,77345,77371,78386,77169,77136,76976,76951,77046,76910,77315
13,85007,78618,78062,77199,76901,76921,77339,76968,76908,76668,76602,77642,77038,76773,76594,77115,76694,76884,76502,79856,98093,77401,77485,77257,77541,77428,77242,77924,77224,77475,77484,77445,77544,77495,77621,85122,137208,128012,135218,130243,117879,79985,78617,78206,78024,77846,77922,78045,77774,77690,77813,77843,77710,77270,77526,77122,80717,77619,77238,76917,77147,76853,76938,76846,76935,77443,77535
14,92141,81459,81175,79886,79485,79157,79548,79965,78821,78846,78300,78712,77845,77626,77664,77475,77055,76994,77122,77419,80732,100520,78045,78268,78155,78622,78484,78259,78612,78451,78472,78591,78481,78382,80677,81412,103915,119788,139653,126504,113766,81018,79851,80246,79701,79268,79523,78882,91571,79050,79389,79308,78415,78484,78390,78119,78600,78399,78607,78081,78078,77960,77841,78041,78358,78179,78002
15,87616,79370,79247,79358,78033,77979,77411,77528,77532,77323,77206,77424,77323,77063,77312,77202,77023,77190,80945,99668,78461,78173,78459,78126,78064,78047,77831,78255,78255,78304,78301,78029,78303,78150,78143,81571,121286,125342,133565,129381,116528,81189,80192,79499,79123,79818,78685,78747,78464,78504,78538,78340,78205,77996,78045,78284,78229,78362,78039,81410,78657,78213,78072,78184,78197,78001,78753
16,94472,82442,86774,79823,79278,79311,78992,79405,79378,79160,78981,79249,78742,78769,78825,78467,78446,78189,78486,78218,78264,78136,78280,78863,81895,101847,80748,78997,78783,78656,78395,78318,78623,78829,87978,136325,131514,126219,94409,101165,80140,79562,79675,79340,79220,79049,78852,79002,79442,78889,79889,80271,80641,80294,79013,78332,78578,78741,78364,80249,78339,78188,82070,78370,77990,77889,78322
17,89626,80131,79166,79122,78683,78470,78173,78180,77998,77827,77950,77897,77656,77976,77765,77855,77560,77497,77213,77206,77306,77279,80678,99287,78607,78341,78119,77872,78270,78423,78339,78158,78419,77939,77907,86433,115227,121677,137799,126711,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
18,91599,81620,81120,79925,79448,79158,79522,80039,78823,78754,78390,78742,80647,78599,78500,78507,78357,78327,78238,78007,77976,78069,78296,78681,78772,78592,81502,100102,79142,78838,78908,80960,79613,79931,86507,149585,128797,127068,129829,118996,82815,78681,78328,77969,78291,77849,77974,77748,77837,77803,77911,77802,78751,80894,96938,77636,78150,78046,78106,78350,77787,77807,77987,77770,77665,77922,inf
20,89297,79784,79181,79260,78388,78072,77979,77978,77866,77550,78108,77486,77637,77563,77962,77401,77099,77166,76914,76772,80231,99542,78728,78500,78165,77909,77844,78010,78086,78800,77864,77526,77935,77808,78080,87638,114828,124588,133806,129503,116090,81030,80294,80089,79541,79235,78729,78644,78683,78353,78610,78549,78032,78173,78157,78149,78192,78354,78137,79069,78037,77424,77474,77505,77554,77962,79236
21,93860,82660,81845,80974,80509,80245,79596,79462,79429,79677,81059,79722,79325,79480,80521,80264,79946,79114,78765,78518,78528,78560,78745,78244,78278,78613,81939,97321,78533,79016,78722,80215,79039,78479,85535,134708,127049,135371,88989,81123,84151,80927,80719,80197,80948,80147,80032,79629,79736,79139,79557,79161,79070,79198,78945,78778,78779,79518,78949,78623,80662,78862,78544,78474,78588,78448,103208
22,93072,82043,80796,80483,79966,79542,79341,79160,79500,79125,79203,79059,79197,79122,78813,78620,78254,78368,78378,78218,78109,78105,78313,78023,78155,78372,78185,79830,78565,77986,81805,99410,78497,78489,81887,151139,132875,127830,88574,80423,90371,80631,80079,80032,79961,79369,79148,79048,104071,115076,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
