driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63,lap_64,lap_65,lap_66,lap_67,lap_68,lap_69,lap_70,lap_71
1,79258,74138,73902,73784,74225,74525,74484,74616,74485,74526,74712,73814,77436,91850,74972,74833,74173,74562,74417,74157,74531,74466,74601,74038,73855,74370,75004,73558,73787,74501,74413,74049,74168,74043,73921,73535,73466,73868,76611,90875,72217,73314,73229,72981,73131,73105,72954,72813,72796,72812,72856,72916,73101,72947,73195,72982,73230,73449,73810,72682,73014,73068,72497,72471,73135,72760,72676,72730,72667,72761,74080
3,78359,74207,73802,74179,74307,74048,74691,74534,74563,74416,77649,90993,73940,74976,74832,74518,74409,74418,74291,74340,74473,74366,74190,74469,74003,74293,73706,73866,73958,75391,74324,73726,74055,73921,73677,73586,73358,73442,73438,76726,90331,73314,73515,73130,73403,73301,72724,72603,72674,72598,72958,73205,72970,73122,72905,73162,73200,73163,73269,73169,72872,72964,72772,72821,73021,73052,72731,72642,72804,72833,73308
4,79740,75098,74670,74786,74883,74837,75002,74872,75024,74998,75097,75267,75530,79262,91700,74754,74777,74671,74359,74613,74521,73963,74457,74075,73803,74287,74101,73817,73735,73968,73826,73811,73595,73852,74284,73639,73697,73806,74231,73552,73648,73748,73422,73188,73627,73854,77742,90339,72698,72680,73213,72635,72854,72845,72924,72666,72987,72595,72635,72615,72998,73263,72675,73189,73429,73446,74043,73695,73852,74285,72779
8,80807,75726,75581,75421,75167,75599,75814,75828,75832,75777,75361,75428,75660,75840,80657,93355,75531,75252,74883,75031,74852,74720,74508,74690,74531,74252,74779,74129,74163,74455,74204,74144,74083,74350,73827,73856,73871,74056,73887,74034,73884,74666,73875,77772,91166,73000,73038,73563,73036,73510,73535,73198,73798,73090,72884,73189,73324,73230,73182,73063,73602,73568,73243,72920,73501,73365,73438,73616,73564,73681,74311
13,76432,73768,74233,74377,74462,74013,74295,74210,74504,74558,74593,74702,75183,78985,93305,74640,74699,74545,74058,74180,74431,74611,74579,74262,74088,74086,74388,75060,75099,73998,74089,74000,74082,73785,74165,73686,74303,73792,74250,74144,74431,74373,77951,90407,72695,73146,72992,72772,73148,72704,73446,73124,73073,73634,73366,72739,72905,73005,72921,73351,72999,72831,72586,72667,72641,73163,73178,73687,74107,74611,75041
16.0,83754.0,76302.0,76255.0,75980.0,76195.0,76570.0,75654.0,75754.0,75570.0,75917.0,79435.0,94525.0,83441.0,75549.0,75172.0,75323.0,75341.0,75592.0,75781.0,75849.0,75520.0,75125.0,75150.0,75349.0,75700.0,75183.0,75205.0,75112.0,75118.0,75030.0,75091.0,75047.0,74904.0,74740.0,74650.0,74429.0,74468.0,74610.0,75102.0,74729.0,74547.0,74802.0,78425.0,92705.0,74073.0,73903.0,77754.0,74512.0,75880.0,76879.0,73805.0,76096.0,74080.0,74356.0,74256.0,74167.0,74019.0,73947.0,73709.0,73842.0,73965.0,73858.0,76841.0,74112.0,74146.0,74142.0,74013.0,75243.0,73836.0,74617.0,100000000.0
18,83094,75869,76568,75601,75067,75453,75433,75887,76030,75682,75405,75151,76107,75462,75384,75467,75205,74877,75012,74833,74906,74959,74599,74694,74487,74531,79027,91349,74060,74721,74750,74274,73998,73674,73827,74087,73760,73743,73788,73782,74095,74395,74143,74298,73948,73788,73590,73490,73150,73190,73601,73570,73701,73735,73745,73784,73760,77431,89930,72858,73121,73412,73379,73435,73011,72912,73264,73212,73279,73631,74481
20.0,82828.0,158714.0,75866.0,74664.0,75207.0,75256.0,75500.0,75542.0,75446.0,75600.0,74752.0,75183.0,75045.0,75148.0,75305.0,75160.0,75256.0,75752.0,75719.0,79108.0,91882.0,74331.0,74389.0,74791.0,74677.0,74513.0,74558.0,80070.0,100130.0,74254.0,74884.0,74512.0,74314.0,83752.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
154.0,87490.0,76627.0,80225.0,92845.0,75070.0,75141.0,74966.0,74734.0,75597.0,75323.0,75634.0,75096.0,75960.0,75860.0,75715.0,76059.0,76508.0,75858.0,75601.0,75805.0,75473.0,75537.0,75653.0,75796.0,76243.0,76331.0,80030.0,95256.0,74651.0,74549.0,74604.0,74696.0,74812.0,77618.0,76106.0,74310.0,75502.0,75425.0,75588.0,74311.0,74257.0,73953.0,74461.0,74818.0,74661.0,76706.0,74545.0,76001.0,76869.0,74751.0,75887.0,74532.0,74442.0,75398.0,76043.0,76415.0,75360.0,76272.0,77915.0,76630.0,75202.0,76686.0,75012.0,75127.0,76253.0,76021.0,76767.0,76437.0,76663.0,76859.0,100000000.0
155.0,85955.0,77501.0,77121.0,76597.0,77107.0,76169.0,76025.0,76160.0,76074.0,76199.0,76281.0,76449.0,76199.0,80006.0,94486.0,76273.0,76032.0,76017.0,75767.0,75709.0,76100.0,75756.0,75983.0,76473.0,76711.0,76030.0,75776.0,75697.0,75661.0,75830.0,75491.0,75816.0,76209.0,75664.0,76204.0,78614.0,76821.0,75535.0,76943.0,75274.0,75538.0,76592.0,76587.0,76941.0,77263.0,75997.0,75524.0,77226.0,75555.0,76905.0,76006.0,76851.0,75908.0,76795.0,75645.0,76253.0,77789.0,76349.0,76360.0,76446.0,76445.0,76141.0,77327.0,81571.0,80277.0,77590.0,76957.0,78094.0,77998.0,100000000.0,100000000.0
