driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63,lap_64,lap_65,lap_66,lap_67,lap_68,lap_69,lap_70
2,91754,79628,78225,77776,77936,77835,77289,77525,77222,77142,76894,76579,76753,76297,76218,76553,76615,76367,76172,75752,97342,80633,77108,76732,77036,77667,77377,76962,77108,78036,76677,77458,76756,76682,76782,76795,76420,76575,76021,76452,76614,76207,84343,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
4,84578,77703,76489,76045,75984,75935,75875,75686,76137,75688,75441,75477,75605,75302,75287,75818,75377,75205,75330,75651,75451,74864,77181,97153,77404,75919,75319,75205,75106,75345,76937,77211,76320,75936,75156,75217,75219,74727,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
8,86924,78240,77663,77211,76623,76893,76971,75831,76053,76348,75701,75564,75671,75566,75255,75288,75011,74952,74907,75000,74874,75460,74384,97367,77367,75941,76042,75744,75866,75609,77044,75679,76443,75897,75834,76068,75664,75325,75477,75191,75332,77372,75906,75222,75447,74964,76014,98025,125899,131356,121704,79316,79220,78529,77583,76422,76431,76354,75658,75723,75381,75834,75705,77558,75224,75511,75863,75463,75893,75433
11,90366,78522,78199,77750,77795,77153,77305,77024,76666,76762,76670,76777,76507,76044,76230,93792,78615,76457,77352,76152,76155,1921214,82993,82326,93801,133354,118540,80612,80554,77975,77856,77971,77376,77978,79513,77142,76364,76856,77993,77319,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
13,91091,78681,78719,77324,77845,77523,77626,77178,77115,76920,76829,76846,76785,76509,76390,77089,76443,76008,76127,76008,97409,80162,77511,77471,77164,77219,77240,77424,76902,78164,76856,77461,76816,76714,76850,76507,76555,76479,76242,76272,76520,76518,76297,76236,76598,76168,76839,99737,83354,131581,117110,84492,83054,79863,78812,78876,77942,77727,77663,77819,77573,77520,77695,77545,77907,78501,78419,78867,79200,79522
14,92251,81101,78548,78981,78409,77992,78222,77860,77696,77221,76927,76804,76992,76926,76743,77099,76414,97376,78993,77222,77144,77680,77716,78728,77431,76866,76959,77035,76705,76661,76964,78537,77160,76898,76603,77856,76904,79522,77879,76556,76507,76539,77032,76464,78495,78503,96461,126536,131818,121552,80647,80470,79973,78165,78223,77613,77269,77252,77619,77179,78461,77747,77504,77418,77501,77555,77609,80388,78244,inf
15,89657,78206,77562,77005,77317,76884,77251,77184,76822,76810,76450,76507,76489,76128,76182,76158,76038,76039,76817,75923,76445,77354,96550,78590,77023,77387,77007,77109,77935,76964,76693,76653,77445,77211,77023,76486,76689,76669,76358,76395,76244,75965,75872,76145,77310,77298,77351,98306,89524,134151,117137,81263,79103,78902,78635,77202,77014,77259,77231,76855,76558,84005,inf,inf,inf,inf,inf,inf,inf,inf
17,93672,80600,78409,78677,78412,78141,78081,78098,77773,77901,77125,76813,77706,76965,76792,76640,76875,76421,76508,75808,75858,76294,75401,75438,75810,77493,75526,94924,78119,81439,78804,76619,77055,77366,76639,76674,76988,76496,76072,76334,76031,76108,76367,76233,75941,75687,76077,96813,83369,132382,117077,87457,81370,80857,78292,77955,78197,78041,78374,77711,77363,76972,77685,77489,79571,78634,78495,78057,78175,79523
18,85329,78000,77202,76701,76726,76494,76546,76394,76228,75897,75782,75839,75578,75672,92923,78124,75711,75993,75952,76910,76258,76384,76865,77547,75542,75549,75541,75579,75280,75189,75777,75822,76052,94156,78601,76479,76444,76042,76092,75682,75883,75697,76025,76716,75624,75534,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
21,83872,77249,76323,76254,76068,76002,75455,76241,76022,75631,75539,75169,75115,75314,75311,76186,75827,75140,75730,75091,75282,75060,75040,74890,95840,77913,77031,76223,76143,75892,77089,75971,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
22,98492,80871,79701,79078,78938,78627,79909,78721,77518,77870,77437,77236,76937,76676,76659,76764,76538,77600,76110,76201,76784,77312,75897,75830,75821,75972,76081,75563,76312,76631,96391,79983,76647,77169,76451,76224,76677,76624,77364,76522,76033,79038,76029,76444,75769,75480,96334,85679,80956,118128,116058,81929,83663,78327,78039,77720,77571,77409,76842,77027,76930,76609,78861,76991,76874,77562,77729,77644,77404,78556
23,92501,80052,77621,77804,77573,77945,77769,77049,77192,77112,77073,76653,76643,76256,97661,79269,77308,76774,76892,76702,76626,77688,76636,76534,76982,76819,76581,76600,76692,77907,77055,77238,76868,76833,76709,76487,76678,76702,76582,76797,75947,76016,76531,75827,95461,79678,84707,137585,130778,122557,80213,80477,78753,78851,78143,77269,77069,77122,76809,76583,76396,77179,77250,77815,78592,77653,77247,77342,77508,inf
27,95185,81104,79585,80112,79869,79277,79806,80179,80052,79330,78808,78478,78526,78492,78462,98102,80918,78467,79373,79396,82602,80154,79048,79513,80878,78737,79260,80735,79098,78503,79576,98093,81375,78919,84413,79396,78988,80283,80054,78857,79385,80163,79384,79303,82144,101013,90921,132293,117728,85628,86274,82853,81753,80331,80038,80157,80277,79815,79261,79634,79767,80310,80579,82812,82704,80044,80137,inf,inf,inf
30,87739,78002,77815,77184,77314,76780,77148,76598,76471,76200,76125,94643,78518,76919,76711,76775,76478,76436,75957,76023,75925,75722,75754,75682,76158,76061,76282,75235,75375,75285,74930,74868,75247,93030,77419,75907,76132,75824,75719,75710,76556,75414,75205,75599,75702,75320,75926,91835,107697,132608,119945,80183,78584,77408,77405,76165,76239,76406,75771,75934,75561,75664,75527,76497,75507,75599,75742,75812,75305,75210
31,86320,78136,77621,76835,76661,76604,76242,76153,76095,76247,76003,75587,75781,75343,75421,75320,75502,74749,74665,74865,74937,74918,74644,74576,96025,80568,75939,75649,75413,75412,75596,75533,76189,75399,75447,75277,76260,74969,75969,75219,76123,75373,76644,76575,76022,75850,75283,88396,142977,127895,121726,79795,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
32,94282,80843,78233,78607,78574,78122,78242,80839,78846,77151,77033,76820,77161,76869,78129,77386,76860,78012,76790,77506,96638,82726,79389,78180,78008,77858,77173,77109,77667,77966,78415,81742,78827,77109,77476,77606,77324,76914,77626,76679,76464,76482,77196,77325,76629,76299,97188,110351,132198,120558,81371,81501,79081,79958,78066,78083,79343,77252,77427,77679,77415,77493,77702,77765,78206,77565,79189,78180,78261,inf
33,98995,82488,81146,81117,81406,79727,79398,80458,78869,78818,78876,78041,78342,77618,77653,77826,77592,77375,77344,97621,81916,79017,81042,78386,78707,78869,80325,78303,79109,77470,77989,78196,79549,77525,78139,95358,81855,79916,79228,78289,79784,78553,79248,78451,77919,97331,114642,131728,121744,87959,87780,83669,81427,79896,79856,79063,79289,79524,79353,79290,79924,78901,80072,79653,80376,81256,79951,inf,inf,inf
35,93354,117208,80217,77516,77930,77349,77046,77128,78541,77080,77433,79349,77000,76841,76380,80512,76294,76098,77845,79499,76005,76653,76434,78269,75985,75945,97861,81330,77022,77243,76652,76991,77613,76760,76698,78392,81152,76803,77245,76768,76722,76999,76494,76898,76633,77767,96214,94195,133512,118279,83889,80841,79533,78297,77453,77544,77710,77314,77422,77368,77537,77449,77884,77595,79217,78204,77805,77907,78262,inf
39,97864,80985,79180,79200,81086,80600,79657,89013,80532,78630,78301,78055,77748,77553,77687,77565,77621,78620,77510,77015,79113,96555,81930,77761,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
40,97414,83608,81155,81130,82528,81331,81014,81385,80589,80017,80094,80921,80301,80923,83486,79046,98785,83586,80300,80973,83024,80070,82685,79560,79370,78966,79146,78912,88576,80850,79859,79630,78709,78823,101037,84921,81207,80727,80428,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
