driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44
2,135766,175135,176405,172607,111915,110826,108836,108728,108283,108146,107962,108208,107738,111740,128567,109361,110452,109709,109169,109183,108922,108573,108452,108329,108314,108315,108433,108119,108003,107756,107798,111278,125563,107541,107371,108502,107779,107963,107863,107586,108090,107443,107727,107815
67,142611,174187,175449,169873,114143,112375,111003,110515,110523,109763,109973,109750,109609,109498,109094,109227,109281,109083,108838,108927,112632,125656,108435,108474,108981,109377,111738,110310,109528,112942,125256,109120,108840,108344,108782,108526,108588,108685,108963,108230,107942,107763,108475,107792
4,139667,173910,176184,171192,113809,111990,110373,110087,109677,109697,109228,109047,108674,108915,109251,109243,109070,108847,108957,108770,108725,108685,108634,112105,154163,126859,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
69,146414,172962,174705,169447,115082,112395,113781,112541,111906,111105,110997,111141,110926,110392,110361,109920,110185,109988,110574,110056,109874,110231,109938,113919,138370,111370,110263,112088,110802,111204,111347,110451,111181,110056,111224,111261,110154,110803,110502,110610,109803,110913,110088,111842
5,141004,174399,175894,170152,114325,112198,110912,110620,110562,109688,110033,109620,109512,109668,109025,109102,109221,108906,109040,109004,108864,108628,108597,108348,108568,112495,130170,110249,109481,109490,109480,109322,109597,108875,108917,108673,108757,108896,108945,108816,108808,108681,108704,109512
3,137397,174001,176279,172574,113349,110962,110000,109865,109269,109060,108936,109023,108627,109092,109023,109085,108937,112260,127750,109905,109848,109930,110330,109873,109691,109387,109277,108980,108489,108716,108597,108364,112178,125766,108963,108684,107970,108027,107800,107784,107766,108165,108549,108675
8,126299,177912,177133,175398,109555,108090,108233,107749,108062,108053,108106,107806,107753,111459,127406,108892,108886,109447,108879,108589,108699,108782,108710,108479,108614,108296,108528,108459,108106,107928,111654,125425,108353,108262,108054,107885,108038,107877,108007,107900,107979,107674,107733,107846
9,129127,177150,176882,174355,111142,108920,108203,108129,108283,107973,108109,111396,127188,109195,109011,109332,109197,108932,108729,108569,108505,108732,108666,108878,108754,108502,108572,108543,108359,111976,125016,108405,108790,108681,108331,108742,108478,108261,108046,107823,107664,107757,107756,107902
10,132223,176579,176994,172552,111630,109436,108749,108283,108511,108650,108220,111944,133809,110185,109713,109749,109409,109046,110520,109971,109802,109931,110523,109564,110048,109179,109245,109494,108302,108820,108601,111845,125495,109006,109478,108823,108338,109733,108754,107736,108272,108343,108417,108563
6,143623,174421,175256,169649,114095,112475,112801,111397,112088,111185,111065,110857,110768,110657,110651,110515,110097,110202,111297,110161,110090,110205,109784,109655,109911,109660,109355,114339,126607,109317,109462,109454,109152,109099,108933,108842,108721,108890,108726,108560,108404,108205,108340,108265
15,133077,187956,175552,167751,115032,112894,113285,112106,112215,111219,111099,110864,111061,110667,110231,110029,110056,110089,110317,114010,138096,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
16,147886,174850,176728,166187,114068,111580,112208,110489,110066,109807,109716,109420,109421,109979,111282,110362,109858,109958,109462,108891,108966,113580,109474,108790,108891,112594,129077,108706,108916,109340,109085,109306,108968,108904,109261,109348,108595,108855,109450,108334,108176,107859,108465,108473
17,133900,175852,176853,172603,111510,109506,109026,108556,108724,107979,108336,108286,107973,111091,132881,110222,109520,113089,114923,108902,108751,108980,109720,109575,110106,109403,109503,108951,108712,108680,108626,108590,108630,111405,124991,108830,108117,108013,107783,107800,108006,108112,108518,108420
20,138772,174150,175841,171942,111972,110853,109468,109025,108980,108259,108193,108150,107740,107646,107771,111451,129535,109096,108909,108618,109013,108230,108480,108334,108352,108332,108052,108169,108010,107727,107948,107740,107790,107680,111104,123402,107331,107263,107565,107627,107685,107891,107308,107466
21,124719,178581,177294,175849,110832,108545,108248,107983,108331,107994,108017,107827,107886,111377,127255,108737,108770,108958,108907,108635,108869,108453,108626,108479,108683,108516,108398,108520,108217,108089,111384,125413,108055,108265,108039,108063,108037,107891,107968,108111,107786,107756,107737,107834
22,145412,176790,176067,166545,113312,111757,110878,110191,111070,109905,109773,109753,109575,111032,110277,109597,109744,109875,109163,109100,109309,108656,108458,108508,108980,108594,112352,126961,108582,109550,108599,108727,109642,109042,108961,109310,108257,108476,109003,108811,108729,110604,109038,109491
