driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45
4,119106,106758,106067,105908,106342,106876,106174,106060,106158,106208,105951,106752,108851,130178,106856,106370,107289,106464,107773,106989,106525,107242,106935,106822,109695,131692,106908,107318,107626,107299,107186,108293,107701,107805,107578,108883,109194,107717,109753,107502,107394,107810,108694,108963,inf
8,113031,105155,104521,104944,104911,104959,104755,104475,105004,104365,104748,104752,104936,104788,104665,141749,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
14,112572,104231,104355,103823,104224,104508,104215,104146,104268,104436,104134,104306,104387,104091,104042,104280,104056,104110,104239,105682,104337,104565,103665,103665,103881,103571,106669,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
15,113842,105871,105439,105311,105132,105593,105491,105578,105816,105652,106491,118669,106979,106020,105712,106775,105940,106184,105520,106006,105651,105685,105279,105802,105393,105739,109139,133439,104447,104178,104105,104125,103740,103821,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
18,116556,106078,106101,105432,106361,106058,105942,105450,104927,105142,105097,105466,104844,105216,104897,104672,105222,104656,104187,104368,104523,104341,104708,107642,129231,105268,105808,104680,104425,104280,104051,104313,104533,104404,104707,104822,105027,105056,104997,105825,104570,104187,104602,105523,105132
21,117280,106879,105953,105329,105676,105913,107966,105185,105199,105571,105210,104912,104501,105140,104603,104605,105562,104448,104307,104668,104979,104458,104463,104172,104180,105793,126532,104576,104076,104187,104055,104305,104383,103999,104203,104200,104664,104934,104838,104827,104575,104489,111978,104755,104822
22,111690,103596,103522,102812,102891,102804,102942,102728,102691,102638,102699,102769,102641,102828,102774,105040,123931,103554,104141,104349,103197,103141,102796,103285,103103,102762,103022,103281,104359,103344,103562,106785,136240,104087,103750,105176,104931,105238,105504,106074,106702,106580,107058,107578,109395
23,107836,103355,102863,102723,102812,103371,102972,103284,103147,102586,103219,102957,102879,102468,102224,102112,102048,102253,102299,102517,102696,102200,102150,105914,125272,102971,103303,102956,102979,103611,103668,103064,103473,103791,103678,104015,104671,105578,105092,105468,106044,106391,107553,108408,113002
30,108970,104122,103878,103330,103501,104729,103822,103808,103547,103566,103481,104062,103549,103764,103108,103347,103248,103348,103399,103240,102853,103064,106132,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
31,106364,102722,102422,102290,102346,102595,102464,102515,102443,102670,102538,102259,102295,102141,102248,102089,102068,102176,102228,101808,102336,104748,145655,103381,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
