driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44
64,133049,123476,119878,119710,119121,118665,119274,118822,119214,119444,122095,119876,119736,124502,148493,149595,190120,122167,122197,121089,122701,130348,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
35,120634,115976,115472,115095,114821,114840,115980,114410,114978,114626,114713,114430,115314,115620,166417,197478,198311,117843,114990,115222,114858,114999,114900,114938,114516,114367,114383,113928,114143,114513,114655,121182,129696,114032,114308,114094,114198,113587,114372,114607,114919,114546,116001,117815
71,123188,117084,116003,116274,115674,115621,115631,115502,116343,114787,115058,115130,117615,121931,146372,204845,198419,119806,118188,117306,116998,116183,116067,116339,116875,115234,115079,116396,116937,115122,115773,114988,115514,122527,128276,113847,113738,113992,113498,113441,114335,113486,114147,114735
73,136535,121681,120587,120358,119768,119391,119183,119118,119126,119110,118877,119709,119700,133890,177773,119911,181928,121257,120284,120454,118514,118271,119088,118156,118197,119061,118702,118366,118125,124986,138875,118366,117809,118503,118563,118238,118378,119350,118950,118334,118433,118495,119574,inf
77,124744,117453,116337,115585,115947,115682,115603,115590,115934,115364,115480,115328,116138,118754,151686,196881,198759,120769,136431,116326,116085,115058,115795,115185,116678,114907,114200,114400,115379,115517,123371,128523,115182,114146,113896,113354,113601,113592,113405,113399,113263,113067,114257,113970
14,122556,116486,116063,115814,115423,116526,115281,115236,115321,115006,114978,114808,115056,115091,157215,196719,199147,115748,115141,115340,114655,120690,134398,116193,117022,116651,116485,116654,116182,117737,116558,116423,116071,115463,115602,115046,115028,inf,inf,inf,inf,inf,inf,inf
79,131573,120930,119650,120394,118729,118504,117919,118082,117812,117618,117307,117306,117944,126611,129968,175176,197694,120260,119947,119359,118016,118108,118049,118409,117935,119247,117762,117711,124073,135624,118208,117639,117829,117855,117763,117564,117549,117364,117449,117200,117149,117581,117791,118694
50,133446,120731,118759,117912,117304,116841,116704,116882,117224,117005,127477,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
83,137417,121609,120510,120331,120496,120166,119307,118724,119174,119172,118743,119385,119645,133287,137508,140999,197649,122180,119229,119308,118891,118609,119016,119833,118988,119143,118496,118123,118159,124659,138037,118122,117871,118105,117703,117468,118535,124945,133033,117951,119391,120432,118693,inf
84,126878,118568,117818,116995,116674,116459,116533,116600,116184,116597,116232,116571,117048,122902,137121,195510,197840,120257,120301,117354,116857,116226,116157,116409,119168,116595,116578,116241,116123,116092,122762,133312,115616,158004,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
22,148031,309896,118818,117745,119576,118543,122919,118387,118784,120330,121038,122038,127887,195521,199246,130292,139855,116943,117184,118214,117675,117787,117931,117909,117506,117781,117520,118249,130089,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
55,125513,117324,116445,115794,116195,115474,115419,115937,116912,116255,115738,115842,116558,122127,143158,195414,198845,119049,115824,115920,115285,114981,115500,115393,115194,114764,114778,114857,114737,121115,130451,115166,115654,115420,114816,114777,114685,114764,114809,115101,114714,115960,116030,115556
56,127947,118669,117683,117485,117010,117307,116644,116123,116229,115753,116089,116475,124334,142350,122716,181244,197805,119945,120247,116900,116563,115816,116776,116788,123315,134134,117490,118051,119617,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
57,124114,117428,116358,115696,116044,115602,115562,115391,116066,115606,115282,115209,116180,119198,147714,196819,199036,116986,114951,115457,114478,114986,114198,121348,132546,115056,115516,116754,115326,114876,115425,115228,114941,114686,114919,114397,114819,114421,114805,114787,115389,115752,115291,116192
30,121517,116602,115151,114990,115177,114691,115147,115022,115022,114906,114502,114885,115204,122010,157893,196054,199052,116906,115223,115931,115257,114730,114722,114466,114559,114681,114164,114407,114523,120616,129996,114722,114581,114422,113986,114020,113922,114215,114331,114071,113905,114611,115101,115232
63,129947,119376,118686,118333,117614,117237,116995,116815,117009,116662,116757,116898,117469,123807,134530,183404,198852,120872,117075,117507,117016,116904,116410,116355,116656,116464,116376,117098,117448,123647,132153,116217,117024,116411,116304,116385,116425,116520,116258,116804,116209,115854,115975,117121
