driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55
1,134661,168297,156051,164238,103982,104686,128384,147462,104895,105144,104924,105192,105021,104767,105363,104884,104974,105155,104263,103988,104186,104119,104384,104524,104250,104437,105065,104006,103479,103245,103300,103460,103463,103183,103805,103199,103137,103597,103410,102976,103646,102870,102677,103129,103071,102388,103611,102785,103451,102093,101370,101896,101357,101786,102696
4,160620,159334,155297,155935,108819,108315,135505,130450,106648,107209,107419,107284,107560,107653,107721,107635,108324,107816,107634,106987,106810,106579,106459,106905,107727,108962,109095,124097,103722,105182,106961,105786,105414,105763,106157,104925,105103,104752,104712,104695,106476,104698,105958,107351,104769,105399,104976,104544,103777,103158,103281,103030,102393,104485,inf
8,144723,162354,156265,162815,105198,115382,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
20,144248,160620,157771,163017,104870,105497,129512,135199,104412,105055,105372,105257,105338,104921,107097,125214,103602,103385,103775,103897,103818,103704,103848,103918,103949,104513,104762,103465,103017,103027,103435,103025,103269,103368,103441,103498,102648,102768,102858,102948,103067,102761,103100,102738,102580,102750,103732,102768,102787,102008,101450,102233,101488,100867,101296
154,149795,160774,157212,160062,106573,107177,133568,144915,107035,107875,107224,107494,108093,108047,107581,107796,107730,107326,107373,107370,107771,107456,107773,106902,106911,107024,108081,106421,106299,108670,107451,105296,105377,104722,105137,105154,104973,104935,104952,104962,104455,104119,103918,105029,107019,104960,106518,108486,104553,103664,103782,103791,103364,103195,inf
815,153936,159877,156867,158542,108054,107897,133849,131883,106079,106885,106673,106904,107239,107342,107530,107428,106562,106275,106040,106065,106188,105853,105992,106238,106301,108456,124774,103911,104354,104667,105093,104413,104665,104795,104987,104445,104362,104784,104899,104669,104216,104214,103873,103824,103983,105063,103722,104225,103794,103563,103020,103307,102816,102819,103445
817,148804,160671,157203,160519,106167,107416,132377,132129,103861,104593,104670,104602,105117,104794,105042,104631,104607,104467,104294,104358,103983,103868,103881,105311,105227,104839,106698,104304,103406,103267,103493,103202,104613,121418,101249,102691,102945,104590,103206,102492,101895,102428,101920,102412,102336,102622,103432,104245,103260,102294,102252,102863,102453,103023,103321
822,142875,161312,156431,163770,104776,105632,128859,135002,105111,104981,105034,105128,104854,104579,104858,106227,124439,103095,103615,103929,104397,104100,104090,104154,104162,104577,104825,103436,103029,103158,103526,102975,103093,103357,106799,104818,103196,106366,105475,105486,122431,100953,102311,101955,102241,104055,103931,104538,103102,103650,102813,102802,104739,104727,104565
825,163596,159880,154431,154265,108778,108618,135634,129753,107010,108250,107849,107603,107559,107798,107694,107721,108017,107762,107735,107378,107035,107011,106418,107281,107609,107402,107599,105396,105132,104714,104965,104863,105094,104704,105487,104832,104763,104915,105112,104967,106505,123475,103786,103828,105513,107521,105528,105296,104473,103593,103837,103400,102822,103468,inf
828,157243,159882,156508,156602,108535,107975,135068,130011,106208,106898,106910,107093,107927,109302,107725,107638,108629,107769,106543,106577,106346,106077,106308,106633,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
