driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44
1,184094,189166,1300461,167891,161967,162678,162651,162987,163556,115106,113592,112563,113021,115396,134049,112685,113149,113446,113557,114138,114061,114160,114032,114504,114372,114991,114278,114060,113763,113347,113887,114261,114247,114571,116748,133755,112170,111667,111600,112542,112977,112525,113374,140976
3,182649,188879,1300684,166773,163979,162527,162356,162027,165191,114110,113134,112607,116222,133308,112551,113041,113675,113700,113488,114002,114303,114238,114192,114732,114430,114642,114527,114281,116164,115245,114770,115095,117444,134248,112886,113207,115406,112880,112926,113309,113708,113699,114883,136083
4.0,189504.0,189739.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
8.0,201047.0,190050.0,1293400.0,165395.0,162099.0,162129.0,163062.0,160732.0,162037.0,120448.0,121388.0,138333.0,116281.0,117455.0,119151.0,116827.0,116436.0,116639.0,116005.0,116555.0,116398.0,116587.0,119217.0,145755.0,113164.0,115402.0,115116.0,115690.0,115969.0,115988.0,116726.0,116620.0,115837.0,120016.0,134615.0,112426.0,112998.0,112981.0,114433.0,117278.0,115519.0,116423.0,139211.0,100000000.0
13,187652,189538,1298972,167307,162560,162897,161789,162462,163876,119956,117775,119599,137602,115698,116369,117922,117406,116342,116536,117775,116366,116542,115840,116215,115803,115880,115835,115811,115055,115645,116004,115668,115379,115923,116231,116649,119884,135265,113450,114530,115318,115612,132683,146526
16.0,206407.0,193316.0,1289377.0,165769.0,162567.0,162114.0,161628.0,160733.0,160402.0,121674.0,119132.0,120227.0,140386.0,117619.0,117340.0,117027.0,116449.0,117015.0,116879.0,117467.0,117256.0,120120.0,139879.0,116429.0,115753.0,115890.0,116334.0,115946.0,117935.0,116399.0,117592.0,122731.0,136232.0,117703.0,119107.0,116677.0,120294.0,117345.0,117379.0,116995.0,100000000.0,100000000.0,100000000.0,100000000.0
18,195346,190581,1293442,168360,161968,161644,162375,162291,165339,137975,115522,114905,114973,114873,114196,114297,114296,113819,114067,114171,114249,114608,114104,113991,113727,113931,114076,113752,113562,114021,117281,138057,111721,113157,113220,114015,114555,114856,113752,114340,115014,120121,135599,150422
20,197003,191493,1292793,167563,161602,162295,162940,160718,163202,119814,118228,117511,137453,115952,116256,115643,114434,115373,114158,113677,113607,112998,112923,113404,112890,113675,113740,113629,115455,131522,112191,111915,112323,112853,113100,113475,113851,117593,113299,114074,115182,113965,114578,141793
154.0,211231.0,194442.0,1287500.0,165246.0,161759.0,162249.0,161715.0,160548.0,158972.0,122742.0,121593.0,140231.0,118183.0,118714.0,116518.0,116506.0,116920.0,116756.0,118537.0,117237.0,119551.0,136065.0,117022.0,115548.0,115731.0,115371.0,116066.0,115302.0,115672.0,115753.0,116854.0,117462.0,116611.0,118962.0,138428.0,118028.0,116643.0,116284.0,115963.0,118081.0,117138.0,116776.0,145870.0,100000000.0
155.0,216255.0,193952.0,1286537.0,166267.0,161851.0,160901.0,160738.0,160721.0,157704.0,123231.0,122313.0,145107.0,119040.0,119321.0,119067.0,117908.0,118215.0,119129.0,118039.0,118391.0,117704.0,119516.0,117482.0,119965.0,120026.0,124819.0,143021.0,116167.0,115641.0,115644.0,116074.0,115819.0,120225.0,116718.0,116506.0,117020.0,116662.0,122948.0,148235.0,139512.0,116127.0,136988.0,141615.0,100000000.0
