driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63,lap_64,lap_65,lap_66,lap_67,lap_68,lap_69,lap_70,lap_71,lap_72,lap_73
2,85429,74803,74940,76001,77468,78106,75458,74043,73394,73380,73274,73171,73085,73567,73300,73268,97545,79861,75210,76633,124899,84739,79453,78818,78451,78162,78528,78084,79774,80277,81459,80107,79320,79844,80614,78466,82269,78109,77928,77182,77867,77855,76152,76102,75365,77105,76066,75238,75671,76397,100755,82570,74620,74508,74359,74111,74296,74115,74255,74418,74614,74265,75779,74272,73551,73427,74368,74081,73779,73711,73311,73441,73557
4.0,83014.0,73799.0,72970.0,75655.0,77564.0,79537.0,76580.0,72076.0,71525.0,71780.0,72322.0,72783.0,72016.0,71977.0,72565.0,72080.0,72560.0,95905.0,78795.0,73080.0,83777.0,117550.0,87631.0,81998.0,81449.0,81643.0,80382.0,78884.0,79248.0,78847.0,79498.0,80121.0,82737.0,86447.0,88100.0,111477.0,100893.0,85523.0,80726.0,80367.0,76987.0,75958.0,74893.0,73701.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
8,77739,72723,73367,75579,77982,77614,74581,72716,71617,72828,72464,72178,72247,72199,72317,72561,72715,73009,102009,79560,84059,115043,87800,82504,80199,79434,78864,79520,80465,78916,78535,78895,78895,79992,80860,80280,80152,80387,81291,78676,106441,86311,76780,75273,74848,74505,74904,74359,74040,74493,74325,74720,74163,74450,74214,74228,73853,73271,74262,73492,73970,73839,73139,72958,72876,72957,72863,72825,72787,72458,72358,72577,72944
14.0,82020.0,73250.0,73714.0,76169.0,78258.0,78497.0,74215.0,72634.0,72222.0,72550.0,72336.0,72009.0,72228.0,72417.0,74735.0,72774.0,99680.0,78556.0,73736.0,74275.0,86999.0,93948.0,99060.0,103475.0,97574.0,97135.0,96406.0,96212.0,97112.0,128785.0,98779.0,91543.0,89504.0,87751.0,100858.0,94447.0,81182.0,79384.0,77973.0,75814.0,74665.0,73743.0,73348.0,74077.0,73371.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
15,83366,73664,73726,76025,77999,79078,76384,73001,72624,72706,72071,72624,72127,72015,72287,72252,73083,72852,73909,98965,106079,126179,90602,82320,81682,79833,79134,78630,78317,78584,78801,78924,78956,78702,80394,79196,81035,81565,80018,79250,78468,102648,84468,75650,74608,75523,75801,75737,74873,73762,73633,73989,73946,74091,73833,73487,73291,73186,72431,72681,72912,72541,73784,73167,72617,74106,73648,73070,72775,72527,72272,72599,73243
17.0,86208.0,74992.0,74866.0,76492.0,77564.0,77124.0,76134.0,73735.0,73316.0,73127.0,73336.0,73099.0,73372.0,73616.0,73322.0,73560.0,73702.0,73440.0,74011.0,73585.0,82666.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
18.0,84630.0,74708.0,74704.0,75891.0,78177.0,78323.0,76965.0,74782.0,73075.0,73038.0,73203.0,73201.0,73324.0,73465.0,73464.0,73452.0,73688.0,73549.0,74068.0,73994.0,122953.0,86686.0,80783.0,78394.0,79485.0,78384.0,78330.0,78966.0,78847.0,78856.0,79060.0,79498.0,79399.0,80481.0,80074.0,79756.0,79733.0,80769.0,77742.0,76967.0,77301.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
21.0,88844.0,75532.0,75513.0,77481.0,80851.0,80434.0,78473.0,75317.0,74237.0,74064.0,73883.0,73801.0,73630.0,73747.0,73964.0,74070.0,74363.0,75354.0,75273.0,77316.0,137948.0,89970.0,81817.0,81289.0,81636.0,80694.0,79501.0,78849.0,78900.0,78997.0,78922.0,79032.0,79463.0,79093.0,79935.0,78775.0,78215.0,81163.0,80258.0,78890.0,78519.0,78430.0,76871.0,113900.0,92028.0,78423.0,76433.0,76012.0,76329.0,76488.0,76312.0,76130.0,76787.0,77348.0,75985.0,76260.0,76194.0,76074.0,75861.0,76194.0,75777.0,75727.0,75459.0,75435.0,75663.0,76331.0,76720.0,76144.0,75812.0,75557.0,75201.0,75535.0,100000000.0
22.0,81848.0,73905.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
23.0,79856.0,73262.0,73507.0,75008.0,77162.0,78613.0,75460.0,72848.0,71900.0,72003.0,71682.0,71969.0,71655.0,71973.0,97507.0,77022.0,73705.0,73837.0,74197.0,74652.0,84110.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
