driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55
1,185275,169083,180400,2941051,162862,161407,161417,159664,160106,160437,158707,158740,159101,157404,157678,158861,162121,121895,121590,131898,124782,166417,160339,116450,115992,115253,114663,113914,114651,114219,119261,138206,146116,163737,116856,113347,112282,111199,110710,110780,111300,110430,110925,110621,110682,110672,111104,111810,111882,111437,111317,112897,115912,116402,119547
2,199207,166413,185509,2936793,161880,159904,161251,158591,161041,158866,158533,158858,159752,156740,156743,158765,160726,125918,127732,147099,125195,149159,156376,127130,122928,121372,117611,116544,117908,116600,121060,127035,123183,158064,119949,117065,115596,113777,113443,113903,114167,113263,113524,113413,114091,116247,116327,115002,115796,114182,114370,114953,116655,117081,117627
3,186221,169027,181256,2940781,162137,161766,160936,159730,160656,159777,158789,158655,159336,156901,157573,158954,162283,120652,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
4,184125,169365,178681,2942253,163057,161874,160692,160019,160161,160489,158893,158690,159247,157336,157640,158439,162810,120308,120339,133893,125691,166446,160055,115479,114885,114659,114765,114479,113480,113268,114020,128208,167170,163238,114846,112445,111968,111032,111770,110794,111410,110257,110390,110455,111842,110701,110623,111686,111667,110868,110516,111040,111318,114111,116917
5,211215,168415,194696,2924654,161147,161850,160213,158117,163802,158940,157202,158200,159650,156736,158089,155681,156120,126476,126875,127088,125277,161791,157101,123549,120868,119191,119930,119205,125154,118224,129693,146219,118942,132865,120457,118736,119273,122190,129847,120302,116998,115640,115018,115979,115499,119021,118165,121307,118162,120861,117155,118218,126932,134632,inf
9,192592,168354,182655,2938379,162081,160392,160297,160087,159660,160121,159417,158615,160718,155606,157235,159297,161676,124344,121898,130930,124922,164605,160393,118966,116728,118375,116499,116123,115606,114678,118814,153378,123847,161166,119012,115775,114149,113271,112949,112849,112976,112710,112318,112871,111604,112031,113827,113316,112893,114128,114137,113248,114125,115353,116548
10,208398,167180,189263,2931537,160976,161549,159480,158962,163378,158467,157968,157662,160299,157160,157659,155709,157947,125559,124538,127386,127440,162313,157876,123405,120498,119183,119869,119203,118102,119267,136234,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
13,188780,169198,179471,2941237,162111,161821,160040,159494,160913,160036,159254,158205,159381,157205,157059,159180,161984,122791,119977,132469,124456,166542,160168,118133,116049,115596,115409,115147,115644,114317,119483,140361,139653,163272,117137,113586,112130,111671,111894,110673,110780,111448,111993,110502,110769,112934,111454,113955,113178,113429,114183,115313,115539,116499,117775
15,206388,167342,189295,2931179,161116,161903,159404,159022,163406,157428,158179,158462,159960,157515,157026,157036,158518,148266,126505,125161,130683,148965,152315,141123,259359,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
16,199978,166745,186895,2935508,161287,159946,161389,158174,161465,158830,158376,158981,159843,156723,156425,158842,160419,122965,124568,130156,125109,162969,160303,119232,117700,117095,117117,121647,149969,115975,118373,118314,121617,157923,119997,116922,113386,116741,115430,112601,113643,112674,113372,113379,114136,113310,inf,inf,inf,inf,inf,inf,inf,inf,inf
17,182227,169155,179677,2942501,162756,161799,161089,160410,159954,160471,158840,158694,159324,157377,157687,158163,162794,120025,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
18,190385,168711,182488,2939572,160686,161557,160236,159636,160656,159604,159811,158385,158918,157295,156835,159778,161480,123283,120046,132094,124923,166048,160225,118434,116420,116500,118354,121806,139663,116340,120624,127150,123205,158690,119638,120852,114962,116137,115332,114201,115275,112193,112662,113423,112942,114080,115034,115374,116195,114195,121988,115640,115884,116861,118043
20,181220,168942,180388,2941672,163574,161940,160241,161182,160186,160302,158577,158930,159069,157636,157566,158214,162640,117805,116224,129412,137175,166803,159684,114438,114537,114275,114098,114095,113523,113474,113056,127164,171089,163729,114634,112694,111909,110852,110914,110788,111044,110606,111604,110375,112429,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
22,195644,166973,184337,2937417,162466,159488,160575,160052,160435,158974,158838,158715,160471,155789,157434,159062,161158,125754,122705,129603,125605,163430,160258,119021,117630,117383,117000,116144,115520,115013,121190,141194,128298,162584,118236,114552,113753,112861,112612,112534,112149,112724,111856,112425,111564,112971,112921,114442,114494,114268,115624,123027,118378,119372,123144
24,203410,166782,185904,2936290,160286,160727,160992,159047,161388,158286,158708,158689,159643,157008,156441,158024,159800,125541,123387,128366,125963,162951,158898,119774,117670,117393,116981,116896,117696,114931,121837,146918,123144,159456,119704,116129,113804,113765,113391,112859,112703,112362,111807,113495,111371,111829,113159,113971,113865,113147,113761,116516,114049,116155,117312
153,200877,166885,186659,2935531,161153,159947,161867,157796,161534,159220,158247,158940,159797,156735,156936,158200,160437,125907,124760,128444,125837,163108,159082,119447,118292,117186,116739,116728,115366,115342,121926,156711,119547,156586,120577,117161,114968,114526,113126,113065,114141,117730,111962,113022,113432,114349,115985,115400,115949,114333,114206,114823,118220,116595,119617
155,197644,167003,184323,2937181,162793,159498,161280,158851,160927,158762,158820,158833,159864,156528,156557,159500,160669,125285,131113,149422,125123,145368,156053,124504,124737,118334,117324,117113,118723,116953,121334,123664,124394,160432,119559,118015,113973,115643,113487,113529,113336,113086,113088,114584,114365,114127,118461,113931,114737,114765,115375,116016,115075,117014,117624
29,212439,170542,195972,2921062,161491,161021,160681,157799,163638,159181,157284,158172,159816,156810,157526,155805,156179,128492,130443,132300,128183,148581,157139,124988,123339,132077,156886,125213,122321,131172,128905,129131,122681,121959,120128,118313,120553,119799,118677,118929,120106,125695,129062,120997,126438,120815,120559,120103,119666,119454,134349,123571,121395,inf,inf
30,193396,168299,183003,2938682,162086,159528,160302,159937,161342,158878,158834,158716,160721,155400,157417,159674,160998,122952,120366,131869,125117,165326,160669,118662,116527,116194,115783,115176,114801,114672,119851,142653,134878,163084,118059,114099,113013,112940,112668,112701,112250,112615,111835,112359,112007,112003,112626,113071,112808,115139,113952,114708,114615,114661,116576
