driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63,lap_64,lap_65,lap_66,lap_67,lap_68,lap_69,lap_70,lap_71,lap_72,lap_73,lap_74,lap_75,lap_76,lap_77
2,97822,86107,85909,85389,84872,84494,84083,85051,84674,84301,84523,84895,85045,85137,84664,83644,84137,84246,83978,84544,84278,87899,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
14,87910,83428,83225,82519,82033,82096,81681,81845,81953,82120,82017,82897,81587,81796,81657,81695,81720,82202,82183,82469,82444,81190,81190,81062,81152,82214,81146,81347,80641,80823,80782,84556,99034,80979,80700,80857,80968,81571,82152,81210,81081,80920,80821,81149,81050,81911,82853,80693,80740,81847,84561,99859,82076,82265,82210,82395,82985,82430,82510,81767,82290,82623,82410,81817,82831,81433,81321,81843,81602,81680,81600,81278,81611,81468,81794,81520,82029
15,95595,85867,85627,84514,84298,84056,83794,83898,83859,83849,83833,83959,83878,83765,83172,83573,83735,83369,83221,82960,83139,83346,83142,83435,83550,82619,82931,82756,82953,82589,82649,82443,82586,82528,82498,83288,82914,83000,82921,83269,83749,85511,89718,103848,81994,82313,82267,82184,82491,82372,82592,82705,82649,82732,83130,82851,83314,85706,82864,82737,82599,83464,83600,83381,82727,82609,83344,81696,81824,81963,81483,82345,82943,82816,83291,83088,inf
18,92627,83867,83892,83776,83492,83363,82941,84821,82994,82497,82488,82531,82477,82731,82542,83213,82273,82097,82174,82078,82495,82360,81994,82791,81616,83509,81602,81847,82144,81692,84601,101101,81423,82190,81599,82278,83531,82582,82307,82710,82999,82978,83017,84371,85009,83668,83573,83716,85335,82878,82840,82861,82992,82783,85774,102296,83566,83763,84086,84670,83499,82906,83541,85778,82891,83234,83160,82939,82713,82460,82672,83199,83339,84548,84700,85565,inf
21,91849,83934,84012,83678,83560,83111,82933,97933,84333,83032,83587,89161,84885,84734,86896,106950,85223,85689,86968,85259,87312,85279,88090,86184,85137,88939,294917,83955,85915,86378,89133,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
22,90195,83794,83881,83376,82600,82213,82367,82313,82663,82705,82374,82060,82252,82717,81942,82020,82035,81635,81939,81765,82154,82309,83197,81975,81931,81842,81828,82657,85352,100037,81342,81777,81567,81477,81250,80583,81136,81879,82757,80922,80589,80520,81397,81707,81013,81338,84487,103998,83028,82493,82786,83477,81966,82487,82247,82027,82369,82061,82126,82325,82153,81997,82038,83694,82359,81841,82523,82372,83356,81901,81854,81349,82657,82104,81714,82107,82748
23,89682,83578,83381,82898,82676,82406,82302,82351,82298,82580,82667,82205,82324,82271,82145,81953,81647,82083,81934,81966,82774,82649,83069,81762,81723,82037,81934,85267,101811,82949,83077,81918,82469,82613,82062,82251,81904,81689,81879,82327,81656,81832,82810,81610,81211,81341,83110,81790,81394,84255,102332,81448,81664,82285,81928,81782,82023,82130,82554,82024,81934,82462,81600,83045,82489,82589,81795,82105,82703,81895,82344,81589,82340,81525,81923,82513,84765
25,93833,85047,84118,84087,83762,83439,83399,83655,83772,83386,83412,82834,82788,82850,83477,82979,82989,83023,83255,83151,82804,82731,82494,82604,82631,82709,82926,82687,83196,83077,83332,86470,101717,81483,82024,81945,82370,82449,82456,82540,82643,84203,85389,84109,87310,103034,83762,83839,83384,83084,83484,83550,83443,83207,83510,83506,83564,85072,83049,83091,83406,83835,84176,83703,84052,84151,85852,87035,85612,84149,84624,84531,84350,86205,85531,85510,inf
30,87123,83718,82756,82125,81959,81844,81855,81770,82207,81991,81921,82061,81463,81424,81838,81858,81351,81733,81785,81309,81240,80762,81042,80931,80980,82116,83928,99822,81259,81204,81275,81260,81846,82168,81303,81380,81752,81773,81792,81059,81008,81013,80892,81510,81109,81989,81565,80990,81152,85221,100511,82204,82145,82069,82130,82502,82934,82553,82320,81698,82423,82782,82071,82090,82736,81357,81342,81876,81564,81786,81395,81396,81629,81539,81631,81567,82104
35,112841,122593,83422,82804,82617,83424,84468,84153,82313,82930,82177,82188,81846,84844,82279,82216,83803,84895,84403,83213,81960,81990,82297,82153,82018,82130,83174,84240,86711,105212,82472,82399,82651,84037,81529,82433,82867,84156,85526,83720,83140,83378,85230,82672,83356,83340,84413,81163,81394,86963,101681,82201,82280,82141,83861,83357,84546,84415,82741,81613,81732,81908,82895,84134,82288,81846,81880,81876,81707,81240,83542,81726,82527,83828,82566,inf,inf
37,121163,109191,83937,83820,84677,84563,84450,84241,85778,86388,86587,84999,87966,84986,88445,84772,84326,85051,85976,86069,86397,84680,84376,86551,84415,84524,85379,85926,85526,84674,86036,85465,84851,85089,85280,91603,108192,84027,85985,87464,85021,85522,85310,87479,85490,84969,84899,88109,85156,88103,85235,85172,86090,91182,84988,88207,85117,84792,84594,84340,86458,84953,86214,85128,84978,85489,86142,85644,87211,87787,85358,86225,85369,inf,inf,inf,inf
41,97131,86381,85842,85301,84929,84460,84085,85119,84669,84200,84389,85213,85092,85052,84384,83921,84088,84189,84161,84501,84322,84937,84539,85700,86236,85492,86886,88221,103377,82633,83268,84646,85088,85352,85453,83831,86061,84549,84513,84216,83980,84203,84205,84377,85791,84786,84979,86784,85905,85131,86423,84118,87244,105313,85173,84444,84675,84455,86202,86690,83565,83745,83446,83971,84331,86496,84185,84992,83537,85311,84230,84673,83788,84407,85062,inf,inf
48,100887,84962,86028,85464,85368,84923,85191,85259,85200,85237,84639,84937,84753,84960,84424,84179,84754,84281,84180,84384,85560,84344,85273,84681,85580,84550,84729,88027,103948,85544,83696,84435,86527,84484,84193,84393,84158,84564,84530,84160,86481,85638,85242,89715,91593,105876,84992,84114,83475,88265,103782,85078,83388,83639,84637,83592,85519,84521,83873,83935,84135,84126,85811,84630,84278,84046,85969,84702,83740,84552,83863,83946,85168,86411,inf,inf,inf
49,91044,83864,83801,83636,83039,82832,82683,83061,83092,82869,82886,82689,82533,82571,83054,82712,82036,82131,81850,82007,82016,82154,82446,82359,82756,81565,81678,81704,82440,82244,82729,85893,100938,81425,81668,83026,82094,82454,83091,83558,84103,82730,83016,82469,81958,81919,81996,82077,81891,82195,82909,83075,81934,82059,82343,85232,99720,80640,81590,81167,81326,81384,81613,82945,82651,82363,82288,83055,82432,82973,82137,82746,82626,82714,82909,83570,84585
