driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63,lap_64,lap_65,lap_66
1,103509,134363,131678,84373,83353,83607,83263,83335,83275,83229,83072,82956,82943,82968,83044,82690,82194,82719,82185,82017,84987,108874,95122,104858,143950,138521,137500,134323,84655,83580,83261,82706,82642,82566,82710,83025,82701,82776,82646,82189,82043,82313,82609,82365,82570,82067,85317,106338,82646,82717,83542,82966,83249,83013,83435,82965,82649,82712,82788,82701,82667,82916,83008,83408,82801,83068
2,106732,133667,130615,85828,84835,83840,83593,83874,83672,83560,83713,83722,83576,83256,83018,83008,82910,82859,82743,82539,82519,82761,99272,115909,148805,138516,137238,133901,85457,84360,84068,83454,86868,109306,82988,83035,83448,83107,82858,82876,83200,83124,83341,83390,87190,107133,83611,84608,85207,85401,84756,85002,84990,84481,83004,82756,82669,82654,82821,82658,83041,82871,83159,82738,82560,83453
3,110407,133996,128497,86334,85301,84777,84585,84455,84506,84205,84351,84240,84191,84216,83974,83972,83539,83552,83441,83319,83431,87007,162313,102160,94444,128839,135907,132608,86235,85109,84848,84528,84056,84081,84089,84046,83786,84021,83636,83399,83945,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
4,102487,134526,131966,84044,83471,83666,83192,83219,83092,83024,82963,82893,83450,83043,82683,85470,109455,84059,83993,84009,84006,84981,142777,90835,104651,138467,136828,133490,86168,84271,84167,83672,83454,83267,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
5,104543,134951,131014,85200,84243,83670,83484,83768,83287,83331,83429,83297,83402,83358,82767,82756,82763,82770,82453,82559,82614,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
6,114148,133693,127296,86456,86100,85777,85208,85158,84798,84794,84723,84762,84826,84201,84404,84350,84544,84451,84123,84220,83791,85123,142910,94624,100682,139819,136248,132147,86817,85414,84723,84579,84317,84191,84457,84356,84380,84400,83874,83697,83654,83831,83975,83848,83817,83808,83694,83549,83773,83905,87455,107943,83887,84042,84406,84593,83876,83991,83851,83843,83588,83634,83567,83842,84288,84054
7,118509,132257,126439,87449,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
8,97226,136765,133523,83594,83035,82934,82703,82947,82526,82508,82716,82518,82178,82336,81971,82036,81827,82010,81842,86004,107857,83718,101352,106857,143826,137444,138702,135151,83927,82909,82510,82560,82371,82306,82384,82362,82239,82131,82215,82216,82197,82310,82101,82051,81964,81670,85908,107744,83385,83545,83071,82860,82906,83141,83305,82967,82758,83135,83284,82402,82508,82701,82997,83306,82974,83625
9,103971,134822,131338,84790,83336,83538,83479,83420,83251,83176,83379,83187,83047,82932,82925,82709,82642,82658,82264,82106,85480,107658,94103,105011,144145,138616,137481,134257,84875,83635,83416,83143,82874,82698,82584,82907,82790,82647,82671,82301,82259,82364,82532,82463,82752,82192,85002,106636,82692,82843,83519,83029,82843,83089,83137,83122,82636,82884,82903,82881,82767,82840,82664,82728,82901,82805
10,117798,132197,126840,87153,86438,85851,85647,85738,85597,85442,85720,85055,84956,84768,84564,84544,84650,84202,84028,84140,86346,85502,141153,101842,98186,130320,138320,129640,86891,86678,85229,85326,84951,85143,85201,84836,84881,84226,84330,83845,84137,84161,83986,83886,83707,83434,84575,83745,83765,83950,87063,105847,92751,112718,83336,83264,83007,83885,83447,83284,83598,83283,83100,83737,83214,inf
