driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58
2,104263,96104,96852,94621,98140,146648,155112,151923,152520,154710,153347,151189,159864,151424,145909,94491,92847,92634,92286,91751,91693,91547,91377,91364,91420,91376,91264,91044,90987,90780,90811,91767,91813,90594,90317,90416,115496,97064,91260,91436,92682,92357,91868,91572,91321,91344,90904,91165,91113,92068,91435,92761,92135,91218,91705,90778,90581,90544
4,113029,97315,97689,95996,99577,140340,155852,152257,152877,154648,152957,151315,160217,152163,141510,98120,94709,94379,93807,93382,93043,93033,93331,92773,92669,93380,92927,92465,93310,92567,92245,119618,104029,95582,94809,93843,97198,94614,94057,95121,122639,101766,92609,92880,92318,93181,93456,95541,94091,95789,92810,92750,92386,92891,92208,92043,inf,inf
8,111396,97373,96258,96130,98717,141839,155299,151753,153205,155052,152894,151147,158756,152274,143642,94592,94027,93181,93358,91925,92721,92737,92813,92156,91853,91256,90907,91372,90826,90861,90763,90677,91572,90719,90229,116404,98340,92305,92557,91811,93271,91950,91621,91508,91272,91468,91219,90926,91240,91245,91028,91702,91020,90916,91128,90928,91532,91005
14,102832,93344,93152,92915,95282,154036,155123,152600,152998,153436,154577,151334,160032,152760,146316,94106,91866,91114,90877,90945,90531,90514,90239,90113,89968,90111,90009,89911,89940,90352,89441,89441,88973,90618,89153,88877,89680,89506,88965,88838,114269,95676,90217,90356,90188,89496,90647,89116,89376,89474,89337,89573,89239,89154,89132,89225,89327,89624
15,102350,95085,93765,93641,94263,154068,155861,152087,152589,154691,153588,150935,160354,152032,145887,94518,92308,92206,91695,91806,91234,91279,91121,91164,90776,90939,90754,90595,90432,90693,93824,95369,127975,105643,97133,99423,95571,95272,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
18,109720,95021,94947,95051,100205,144491,154625,151699,152580,155343,152756,151956,158994,151057,145960,95617,95192,120892,98279,92489,92156,92928,92249,92001,92103,93888,95820,95272,95216,96283,97254,123022,109258,96231,96284,97069,95376,97682,95523,98042,97092,95801,98992,96669,95539,97103,95031,94865,94229,94943,96938,95668,inf,inf,inf,inf,inf,inf
21,107456,95144,95276,95137,98198,146329,154870,151773,152565,154897,153179,151353,159591,151486,146015,95842,94793,93041,92787,92516,92574,92974,92407,92489,98006,124641,102694,97649,100520,96321,96641,102918,99551,102422,98422,96099,98451,96028,97722,95463,95772,99758,97161,99580,95219,95000,96368,95133,94339,118513,103903,97395,95808,95888,94424,inf,inf,inf
22,101450,92853,94303,92090,92852,157117,155053,152618,152878,153223,154677,151835,159518,153115,146521,94135,91549,90781,90397,90382,90484,91511,90341,89965,90060,90306,89971,90087,89812,89755,89342,89361,89060,93647,89203,89328,89939,90215,115388,96514,92093,91099,90256,90673,90143,90123,89459,89462,89852,90277,89873,91981,92597,91796,92208,92110,91774,92612
23,101300,98018,94406,94737,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
30,97197,93098,92377,92153,92436,160112,155319,153554,152211,153669,153998,152812,159520,152873,147975,92910,90728,90452,90019,89682,89444,89572,89582,89294,89213,89128,90185,90831,90081,89441,89013,88650,88745,88214,89356,88380,114327,96107,90377,89916,90551,90706,90488,91988,90214,89300,89376,90086,90094,90105,89941,89152,89412,90338,89759,89419,90690,91963
31,108476,94892,95214,95477,97944,146288,155221,151549,152600,155452,152517,152043,158850,151136,146094,94230,93987,91537,91859,91787,92201,92479,91513,91249,91133,91470,91121,91180,90993,90838,91004,91146,91585,90508,90443,90000,90360,91288,90596,89606,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
35,103367,96364,94432,94611,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
44,104690,95906,94727,93808,95273,149784,155514,152147,152500,154746,153427,151094,160263,152056,146114,94189,92489,92432,91882,91608,91709,91389,91381,91360,91240,91646,91364,91412,90836,90637,91101,91876,91207,90526,90241,90199,90744,90676,90384,116621,97567,91665,91647,91042,91069,90862,90976,91017,91370,90997,90698,91215,91663,90846,90698,90759,90960,117334
49,99631,94128,111893,95891,100203,140547,155437,151671,153743,154664,152662,151660,159403,151281,143385,95963,93482,94156,92336,91801,92514,92962,92401,91907,92662,91037,91242,91364,91651,90407,90516,90383,91175,91010,90266,90386,114852,95901,90645,90781,91685,91244,90708,90757,90992,90616,90306,90626,90802,91519,91515,92754,92495,90873,91793,90797,90507,91352
50,105674,95780,94818,94116,98426,146970,154854,152019,152312,154901,153425,151009,160060,170345,133651,97948,95146,94565,93713,93780,93208,93705,93245,92783,92863,93292,92986,92612,92517,92391,92242,92605,92949,92534,92798,92583,92962,119473,99780,94444,94225,93750,94977,93022,92950,93096,93063,93590,92697,93178,92381,92805,92677,92242,92057,91999,117062,inf
54,112236,97696,97429,96065,99676,140044,155599,152241,152922,154610,153180,151284,159896,151270,143006,96654,93805,93657,93348,93289,93314,92562,92453,92292,93435,93454,91859,92028,91736,91395,90903,91607,91663,92337,91593,118772,101956,93714,94170,95686,94146,93257,95603,93427,93274,93641,92230,91834,92405,91822,91938,92426,91828,92112,92587,92234,92794,inf
55,110855,96926,96826,96145,97967,142039,155070,151625,151890,156784,152175,151750,158320,150822,145943,99655,94535,93540,93036,92927,92991,92896,92487,92435,92852,93851,92268,91616,91552,91341,91030,91456,91564,93147,117985,98929,95999,93920,94936,97146,95215,95693,94919,95289,93575,92731,93024,94653,94690,93139,92614,92133,92038,91890,91817,92097,92146,inf
56,115454,97767,97125,96220,99011,139075,156021,152152,153004,154690,152898,151347,160334,152534,140474,97266,94423,93664,93192,94250,92428,92280,93140,92214,92430,93627,92748,92169,91267,91407,91274,91444,91636,92027,92607,91781,91379,92373,119404,97049,93709,93748,94940,92847,92888,93145,92953,93369,94490,124408,97519,95121,92996,93710,94112,95403,95915,inf
57,98408,93047,92486,92243,92600,160721,154742,153165,152456,152666,155090,152563,159118,153647,146838,93388,91052,90503,90309,89961,89987,90263,89911,90128,89612,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
58,114193,98249,102522,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
59,112274,96689,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
