driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60
2.0,96337.0,89862.0,88769.0,87247.0,87698.0,90426.0,91171.0,90308.0,90725.0,89057.0,91036.0,97717.0,124531.0,126260.0,97955.0,97822.0,100386.0,99312.0,95844.0,95633.0,95181.0,94643.0,95370.0,94921.0,94533.0,94339.0,94412.0,96828.0,100731.0,102293.0,102741.0,100324.0,96787.0,95396.0,95181.0,94106.0,92611.0,99053.0,119603.0,91353.0,89673.0,88418.0,88277.0,87208.0,87125.0,87033.0,86416.0,86092.0,86025.0,86255.0,85820.0,86282.0,87443.0,86009.0,85522.0,85264.0,84996.0,85397.0,86046.0,100000000.0
8.0,91501.0,87916.0,86908.0,85678.0,85409.0,88332.0,87485.0,87815.0,85908.0,87313.0,88509.0,89740.0,113917.0,148029.0,95781.0,100045.0,97769.0,97891.0,94537.0,94569.0,95428.0,94687.0,96153.0,104110.0,122614.0,96915.0,95207.0,105924.0,124445.0,100140.0,100108.0,98877.0,97873.0,95519.0,95710.0,95938.0,104651.0,119760.0,91696.0,88914.0,88221.0,87319.0,86572.0,87072.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
11.0,98777.0,90011.0,88985.0,88980.0,87817.0,89261.0,90100.0,90429.0,89353.0,89472.0,91645.0,110518.0,120596.0,150501.0,122090.0,97338.0,96624.0,96445.0,95029.0,94916.0,94486.0,94022.0,94165.0,94697.0,92710.0,95008.0,95568.0,97696.0,101436.0,110969.0,104792.0,101364.0,96969.0,94740.0,93832.0,93051.0,98776.0,123962.0,91910.0,89473.0,88460.0,88323.0,87580.0,87622.0,86659.0,85804.0,86203.0,86207.0,87259.0,86434.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
13.0,105812.0,89124.0,87387.0,87347.0,89891.0,90200.0,89346.0,88591.0,88820.0,88776.0,101216.0,111816.0,121268.0,100317.0,96923.0,98529.0,98283.0,98102.0,96731.0,96473.0,95563.0,96442.0,93892.0,92950.0,94356.0,94393.0,95432.0,97020.0,104896.0,111375.0,121518.0,96653.0,95020.0,94837.0,95702.0,94151.0,93782.0,93732.0,93817.0,98291.0,112658.0,88666.0,88265.0,87292.0,87020.0,86362.0,86175.0,85871.0,85695.0,86078.0,85823.0,85698.0,85682.0,85570.0,85448.0,85540.0,85058.0,85387.0,85617.0,100000000.0
14.0,92224.0,87875.0,88090.0,86428.0,86182.0,88226.0,87856.0,88028.0,86734.0,87490.0,88445.0,89785.0,108081.0,122014.0,124027.0,121022.0,98848.0,98725.0,96933.0,96353.0,96240.0,96911.0,103556.0,143142.0,96954.0,98943.0,117523.0,118256.0,119046.0,98078.0,97150.0,95870.0,94205.0,93321.0,93458.0,99802.0,135307.0,91904.0,88974.0,90092.0,88595.0,88317.0,87414.0,87099.0,86823.0,86781.0,86374.0,86331.0,86130.0,85897.0,87591.0,86553.0,85931.0,86168.0,86427.0,85492.0,85504.0,92427.0,100000000.0,100000000.0
15.0,92819.0,88002.0,88029.0,86601.0,86519.0,88573.0,88052.0,88153.0,87007.0,87987.0,88642.0,91014.0,111116.0,119380.0,99591.0,100671.0,100653.0,101132.0,99887.0,98746.0,99669.0,98977.0,100467.0,103177.0,110822.0,130388.0,106196.0,118391.0,125247.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
17.0,100485.0,90060.0,88983.0,88752.0,90039.0,89184.0,88321.0,89311.0,89285.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
18.0,93446.0,88460.0,87863.0,86783.0,86074.0,88673.0,88062.0,88042.0,87308.0,87775.0,88964.0,90718.0,112855.0,135449.0,98140.0,101314.0,99396.0,98672.0,99002.0,97573.0,97968.0,98636.0,98581.0,99486.0,109222.0,140074.0,110701.0,122812.0,99802.0,98442.0,99220.0,98033.0,99592.0,100401.0,102909.0,104395.0,117043.0,90961.0,90052.0,90310.0,88467.0,88052.0,87634.0,87355.0,92216.0,87658.0,86758.0,86878.0,86634.0,86281.0,87535.0,87243.0,86481.0,115886.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
21.0,99296.0,90138.0,89028.0,88840.0,91426.0,89760.0,88659.0,88657.0,89266.0,89866.0,90188.0,99861.0,121722.0,124690.0,98247.0,98649.0,99572.0,98741.0,97113.0,95755.0,95185.0,94533.0,95383.0,95969.0,94086.0,94771.0,94161.0,98993.0,100184.0,102628.0,102207.0,100909.0,97806.0,95000.0,94137.0,93611.0,92806.0,93343.0,99276.0,117775.0,90045.0,88135.0,87503.0,86977.0,86621.0,86366.0,86248.0,86467.0,85960.0,86036.0,87533.0,86357.0,86276.0,85430.0,85532.0,85271.0,85213.0,85104.0,85468.0,100000000.0
22.0,98214.0,89190.0,88212.0,86831.0,85273.0,87875.0,86385.0,87491.0,85720.0,87434.0,88899.0,91273.0,116970.0,120614.0,94519.0,93653.0,93754.0,93169.0,93697.0,92229.0,92654.0,92616.0,91645.0,91676.0,90654.0,90279.0,91950.0,92266.0,95814.0,97315.0,98616.0,109442.0,105816.0,116472.0,91470.0,92186.0,92323.0,93990.0,93855.0,98945.0,114942.0,87735.0,86265.0,86841.0,85440.0,86397.0,85841.0,85463.0,84946.0,84287.0,84050.0,84848.0,85346.0,85537.0,84501.0,85261.0,83740.0,83083.0,86259.0,87425.0
