driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63,lap_64,lap_65,lap_66,lap_67,lap_68,lap_69,lap_70,lap_71,lap_72
14,328467,80526,79310,79517,79713,79438,80614,82513,80052,79714,80082,80050,80095,79653,80087,79697,79416,79855,79964,80741,81272,130205,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
15,93867,83165,82023,82103,82047,81784,81646,81314,82276,81922,81312,81342,83481,81663,80969,86765,81546,81101,81850,93113,155479,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
21,89161,82365,81654,81400,81193,81224,81272,80921,81279,81365,80758,81090,80955,80993,81399,81480,80874,81328,80886,81047,82789,81158,81615,82263,81218,80958,80756,81009,81178,81044,80843,80584,80996,80985,80484,80791,81006,88621,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
22,86331,80607,80020,80125,79625,79681,79757,79485,80039,80393,79994,79790,79642,79644,79630,79981,79772,79541,79862,79665,80127,80231,79777,80099,79477,79757,86726,103284,79841,80655,80052,80250,82106,81478,82183,80512,80503,80307,80966,80772,81160,81248,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
23,92914,83255,82171,82028,82084,81646,81657,81254,81001,83279,80835,80833,80833,80719,81209,80561,80203,80171,80196,80137,80573,80352,81015,82455,81439,80946,80706,80815,81252,81293,80863,80687,81261,80515,87451,106283,80724,81368,80926,80436,81584,80662,80974,81200,80612,81134,80866,81162,80814,80737,80591,80749,81952,80721,81158,80683,82275,79844,80002,79869,80093,79717,80037,79910,79843,79669,79395,79492,79683,79446,79640,inf
25,91555,82608,82011,82209,81813,81541,81346,81230,81570,91414,82214,82249,81916,82258,81714,82109,82323,95968,81581,81518,81736,81673,81590,81581,81433,81708,81546,81715,83557,81784,81607,82726,82353,82593,82222,82108,82058,82269,82355,83970,88355,105854,81065,81193,81243,81485,81142,80722,81041,80913,81105,81108,80634,80771,81244,80549,80245,80360,81883,80439,80381,80165,80562,80191,80145,81913,80450,80437,81473,81222,inf,inf
30,87092,81375,80380,80859,80352,79797,79736,79510,79987,79812,79884,79859,79734,79933,79823,80347,79717,79409,80341,79554,79524,79912,79631,80388,79564,79206,79428,79398,79628,80126,80689,79539,79130,79093,79198,79529,78975,85860,104021,79618,80109,79195,80113,79944,79673,80538,79503,79664,79725,79507,79426,79735,79161,79442,79358,79309,79847,79675,79116,79009,78764,78667,78886,78744,78616,78781,78819,78687,78651,79386,79257,79445
35,97868,84828,83892,83015,83239,82524,81708,82102,82559,82939,82453,81513,81983,81692,81175,81384,81669,81829,82620,82026,81969,83573,81440,81807,81897,82031,82613,82356,82359,84146,81862,81737,82922,82921,81124,81218,81036,81084,80727,80959,81245,81259,90722,108584,80947,81207,80980,81231,100514,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
37,96372,84230,83030,82639,83280,82036,82139,81811,82644,83208,82314,82042,82020,82501,81718,81940,82047,81824,82733,81724,82362,82267,82362,81760,82187,82182,82234,82707,82068,82388,83319,82346,83145,84484,82428,81698,82564,82110,82324,90871,106436,82482,81883,82617,81943,81703,82485,83718,82626,82493,82114,85151,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
44,92226,82607,82149,82321,81749,81725,81683,80938,81336,80449,80103,87172,106281,80986,80586,79986,80171,81218,80027,80146,81449,81759,79779,79529,79946,81553,87994,109986,79386,80115,80442,85210,80844,79781,79680,79893,79514,80517,79902,82739,82029,79645,80837,79870,79541,79976,88114,103018,79734,79946,80122,80005,80072,80013,79757,80122,80030,79756,79944,79960,80000,80139,80083,80029,79991,80259,80399,81089,80960,82018,82033,inf
