driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63,lap_64,lap_65,lap_66,lap_67,lap_68,lap_69,lap_70,lap_71,lap_72,lap_73
1,79304,75361,74329,73991,73681,73991,74188,74161,74344,74516,74551,73972,74277,74287,74072,73873,73721,73579,73324,73222,96601,77626,73589,73749,74201,74819,74924,74226,74262,74104,74444,74317,74580,74110,74197,74456,75163,75658,74718,74214,74990,74177,73831,73875,73879,73499,73282,73482,73238,73420,95207,77700,73517,73559,73958,73964,74077,74380,74226,74370,74688,74582,74332,74084,74156,74315,74079,74106,74148,74323,74931,74142,74746
2,81401,75230,75031,74760,74390,74912,74539,74701,74694,74689,74544,74685,74623,74619,74492,74349,73940,73891,73826,73414,105835,78394,73777,73970,74094,74632,74348,75544,74228,74278,74494,74697,74921,74185,74213,74187,74439,74721,75229,74312,75024,74122,74362,74183,73780,74259,73955,95278,79378,74730,75107,74647,74687,74618,75347,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
3,85259,75860,75979,76094,75782,75928,75870,75882,75969,75874,75734,75655,75797,75996,75749,75598,75420,75308,75091,74880,74862,75231,75131,75023,75059,75443,74923,74591,74510,74645,74574,75124,74571,74066,74076,74403,74602,75339,74256,102163,79691,75178,75274,75341,75186,75449,75597,75452,75560,76045,75884,75196,75181,75148,75064,75319,75452,76426,75102,75528,75427,75269,75106,75192,75068,74345,74424,75245,inf,inf,inf,inf,inf
4,79783,75516,74648,74386,74105,74141,74343,74320,74233,74611,74474,74247,74390,74638,74134,74152,73755,73537,73551,73758,73257,95561,78692,73378,73667,73955,74460,74063,74228,74094,74220,74182,74358,74183,74358,74624,74865,75009,75189,74420,74732,74321,74306,73999,73795,73568,74553,73429,73281,94265,77739,73520,73613,73726,74019,74189,74142,74094,74188,74245,74835,74743,74355,74333,74045,73957,74016,74326,74452,74267,74801,74059,74085
5,81970,75498,75225,75055,74832,74910,75011,74966,75096,75095,74889,74990,75177,75054,74706,74897,74529,74377,74353,74195,74800,74050,74385,74068,74821,74148,95779,80748,74305,74229,74634,74675,74871,74309,74371,74606,74613,74744,74787,74910,74407,74211,74589,74411,74004,74068,97259,79487,74428,74571,74391,74993,74583,74717,75038,75367,74719,74957,74963,74951,75032,74902,74489,74412,74477,74386,73998,74007,74258,74950,74449,74201,75014
8,82250,75905,75090,75250,74689,75077,74758,75061,75268,75003,75020,75015,74997,75117,74680,74705,74632,74544,74090,74189,75424,73754,74016,97050,78763,73549,73969,74022,73569,74181,74726,75125,74807,74052,73999,74132,74408,75451,74514,74403,73929,73615,73849,74113,73986,73378,73341,73585,73117,73345,94756,78268,73495,73572,73556,73752,73929,74177,74107,74080,74307,74236,74310,73910,74772,74079,73797,73662,74118,74488,74097,74351,76056
11,88977,77302,77141,78152,77445,77036,77428,76680,76957,77072,77244,77804,77759,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
13,80434,75388,74967,74570,74401,74304,74280,74452,74328,75039,74763,74320,74530,74510,74217,74174,73951,73849,73787,73641,98378,79788,74142,74453,74561,74840,74782,74551,74517,74926,74370,74665,74460,74311,74312,74352,74477,74619,74294,74489,74482,74362,74408,74795,73965,74111,73804,73795,73456,73380,73405,94748,78857,73726,73835,73821,74087,74028,74224,74163,74247,74340,74177,74137,74725,74095,73820,73638,74033,74248,74394,74030,74279
15,83404,75706,75864,75913,75404,75471,75290,75114,75377,75518,75297,75052,75641,75719,75395,75124,75048,74744,74689,74441,74369,74946,74698,75482,74544,74466,74685,75450,74107,74016,96840,80136,74671,74507,74776,74665,74969,75570,74991,75255,75711,75216,75050,74752,74716,74739,74665,74876,75065,74585,74682,74557,74461,74832,74451,94976,79670,75030,75323,77175,75339,75800,74776,75209,74836,75442,74586,74674,74613,74902,74625,74887,75093
16,87497,77246,77736,78018,77174,76985,78312,76542,77131,76829,77516,77819,77996,77554,78263,76599,76868,76803,76402,76225,76433,76420,76720,76424,76450,76419,76427,99723,80816,75051,75741,79172,75128,75596,75464,75310,75677,75512,75502,75611,75514,75541,75387,75635,75430,75248,75045,75086,74858,98264,80307,75184,76444,77042,75713,75856,75808,75890,76430,75878,76392,75588,75673,75841,77639,75288,75416,75447,75588,75402,75451,inf,inf
17,84445,75502,75438,75879,75636,75694,75709,75669,75756,75716,75777,75894,75855,75716,75533,75279,75167,75133,74661,74838,74533,74521,74721,74549,74765,74636,74471,74155,74270,96900,78974,74434,74564,74395,74873,74879,75346,75391,75601,75215,75414,75371,75175,74907,75186,74989,74539,74513,74671,74568,75207,74354,74413,74530,74808,74339,74004,74152,94436,82365,75058,76099,74725,75167,74906,75249,74945,74860,74732,74711,74690,74764,74959
18,89015,77848,76983,78524,77108,77713,77560,77140,78289,77760,76834,77174,77195,76897,77208,77094,76910,76966,76749,76165,76267,76270,76428,76426,76171,76769,75751,76566,75540,76220,75994,76159,75846,75989,76001,77965,75872,75374,75084,75060,74892,74703,106257,80268,76869,76784,75812,76838,75730,76108,75827,75927,75833,75843,76019,75945,75674,75933,75888,75967,75908,75584,75682,77204,78633,75577,75283,75472,75616,75502,75536,75279,inf
19,90138,77882,77693,77752,77127,76988,77928,77691,77564,77924,77233,77299,77227,77538,77038,76995,76732,76805,76463,76055,76280,76309,76635,76296,76266,77270,76185,76107,76314,76050,75568,76148,76406,76334,77086,75355,75736,75572,75355,75143,96071,79980,75236,75790,75498,75272,75086,75032,74997,74925,74373,74814,96678,79204,74066,74901,74935,74500,74706,75885,76030,75389,75712,76886,74648,74310,74562,74795,74751,74566,74817,74532,inf
20,85799,75739,75985,76149,75890,75929,75856,75796,76066,75808,75887,75569,75666,75923,75864,75671,75359,75407,75066,75011,74713,75138,75088,97218,79677,74442,74564,74513,74289,74544,74545,74705,74612,74607,74678,74583,74929,74932,74709,74590,74807,74930,75471,74484,74179,74469,74205,74208,74729,74619,96020,79034,73862,74039,74440,74797,75177,74732,74783,75090,75198,75772,74691,74883,74889,75245,74833,74895,74866,74772,74802,74777,74534
21,84010,87607,75947,76462,77828,76427,77351,76501,78035,76530,76395,76864,77456,77184,76918,76456,77096,76726,76656,76232,76132,76506,76451,76033,76456,76420,77021,75803,76091,74656,74844,75617,74684,74459,74556,98152,81035,76885,77754,75590,75426,76267,75547,75625,75664,75563,75451,75596,75245,75121,75814,75968,75277,75104,75067,75263,74983,75103,75479,75523,74957,74888,74740,74841,74381,74294,74009,74415,74829,74730,74705,74581,inf
