driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63,lap_64,lap_65,lap_66,lap_67,lap_68,lap_69,lap_70,lap_71,lap_72,lap_73,lap_74,lap_75,lap_76,lap_77
2,91260,81846,81046,81084,81119,80764,80949,80534,80287,80867,80471,80027,80253,81957,79761,80109,79785,79919,79615,79695,79930,81640,79606,79301,79473,79540,79367,79363,79390,78872,79319,82695,100197,78222,78185,79208,78815,78937,78871,78678,79142,78852,79112,79198,78836,79350,78951,78790,78720,79117,78530,79126,78797,81719,101593,79369,80899,79857,79231,80461,81089,80803,80989,82053,81513,79920,79616,79327,79508,79038,79161,78873,79034,79057,79008,78564,inf
8,89703,81454,80749,80811,80377,80848,80572,80544,80225,80333,80178,80450,80259,79953,79811,79729,79846,79842,79775,79636,80296,80049,78271,78963,79711,79636,79499,79520,79514,79481,79739,77378,77106,77149,81352,100530,78204,78190,78900,78970,78870,78807,79417,79276,79326,79436,78658,79053,78661,78877,78717,78515,78265,76926,77433,77135,77606,77301,77242,77010,80170,98491,77558,77347,77955,78561,78233,78840,78536,78183,78549,78892,79191,79629,77632,78185,78444
11,93953,82337,81493,81427,80573,80874,80808,80855,81248,80433,80554,80466,80242,80688,80258,80130,80433,80506,80013,79897,80109,79975,79890,79374,79719,79149,78990,79175,78800,83512,101780,79010,78759,78834,78878,78861,79161,78879,79199,78501,78625,78989,78660,78598,78482,78247,78659,78403,82364,106742,79539,79538,79559,79360,79108,79082,79511,79483,79642,79838,80224,80290,79725,80282,79956,80751,80181,79230,79227,79175,79535,82590,80215,79362,79454,79199,inf
13,87586,80260,80382,80285,80337,80445,80662,80149,80142,79837,79842,79713,80054,79697,79576,79887,79670,79624,79658,79424,79263,79346,79362,79509,79569,80105,79369,79511,79347,79075,82490,99682,78596,78806,78534,79122,79004,79348,79302,79316,79299,79433,79499,79133,79513,79236,78781,78900,78856,78830,78690,78458,81851,102376,79373,79715,79134,79617,79701,79930,79898,79880,79871,79522,79820,79597,79333,79589,79327,79442,80443,79445,79371,79427,79579,79930,81928
14,91457,80854,80995,81164,81059,80929,80629,80484,80050,80168,80138,80077,80255,80255,79956,79936,79806,80012,79675,79547,79671,80878,79495,79236,79648,79552,79571,79588,78805,79031,79393,77398,77290,80638,99086,78490,78148,78119,78331,78804,78801,79421,78776,79143,82257,78986,78172,78261,78383,78183,79255,78398,78147,78144,77618,77334,77953,81411,99237,77962,77774,77867,77616,77767,77967,78322,78732,78499,78378,78356,78916,78392,78396,78595,79492,79202,78070
15,90643,81269,80990,81139,80955,80540,80663,80159,80348,80139,80246,80131,80470,80207,79932,79785,80033,79871,79656,79613,79755,80913,79317,79386,79745,79449,79536,79416,78928,79041,82443,101182,78606,78902,78993,79133,79012,78999,79181,78858,78847,79030,78642,78700,78712,78901,79437,79162,78684,78571,78438,78759,78651,81609,100573,79564,80475,80766,84077,80949,80984,81023,80997,82054,81360,79761,79292,79029,79113,79149,79146,79098,79173,79019,78915,78945,inf
17,95949,82981,82126,81890,81921,81841,81669,81520,81227,81715,81083,81245,81256,80963,81074,80826,80615,80656,80172,80436,81145,80450,80586,80606,80196,83844,110309,80570,80308,79567,80039,79850,80193,82204,80216,80417,80861,81768,80690,80867,80647,81508,81015,83847,82580,82059,81008,81639,83357,116007,80556,80650,80530,80867,82078,81845,80900,81426,80750,83131,81734,81401,82970,81448,83507,80774,81406,81320,82260,82073,82151,81695,81375,83199,81598,inf,inf
18,88737,80769,80490,80777,80489,80836,80608,80329,80530,80265,80599,80172,80016,80117,79786,80055,79948,79822,79931,79653,79484,79514,79455,79846,79715,79632,79530,79503,79478,79615,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
19,96877,83411,82276,83253,81349,81442,82121,82141,81394,81662,82016,81420,81879,81409,81042,81801,81126,80442,81071,80147,79961,80655,85994,84844,106109,79784,79922,80387,80995,86586,85489,81217,83096,81063,91680,80739,80321,83098,85046,80668,80366,80932,80354,80206,80367,89554,81332,80592,80502,81108,80898,84436,103528,79347,79573,79589,80025,80236,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
21,86594,80330,80631,79745,80244,80186,80053,79732,79900,80080,79965,79776,79686,79517,79806,79563,79640,79363,79445,79293,79176,79326,79134,79053,79047,78926,79112,79391,81743,101624,78928,79152,78975,79899,79273,79494,79380,79701,79400,78970,79114,79478,79598,79174,79513,79080,78893,79097,78578,79062,83189,100703,79164,79609,79677,79230,79423,79563,79980,79710,79907,79640,79445,79490,79436,79651,79711,79274,79316,78900,79349,79147,79587,79799,79842,79957,80266
22,83604,79065,78977,78550,79203,78744,78892,78396,78727,78317,78389,78697,78380,78631,78440,79017,78482,78646,78314,78371,78254,78736,77666,78142,77748,78128,78473,77883,78221,77164,76891,81080,101437,77871,77873,77912,77934,78011,78205,78254,78475,78695,78271,78329,78754,78172,78077,78374,78369,78734,78672,77784,77747,77570,77370,80508,100560,79460,78712,79242,78641,80222,78979,78542,78759,79022,79025,79889,79472,79776,79742,79474,80360,80106,79951,80199,81242
23,86006,80022,79821,79771,79978,79657,79682,79380,79107,78916,79187,78909,79130,78636,78614,78711,78627,78504,78488,78381,78227,78592,78214,78346,78621,78217,78097,78655,79879,77783,77922,78683,82296,101062,78762,79383,79571,78108,78309,78207,80044,78441,78079,78390,78328,78165,78226,78704,78825,78051,78054,77976,77950,81594,100273,78062,78736,78412,78389,78824,78318,79324,78737,79068,79185,80577,79011,80511,79179,78722,78350,78888,79043,78061,78483,78187,78729
30,84144,79306,78957,78613,79273,79041,78556,78415,79060,78196,78170,78656,78943,78572,78377,78628,78601,78574,78296,78305,78505,78363,78328,78443,77674,77906,78207,77582,78122,77335,80484,98999,79898,78130,78284,77981,77779,77809,77763,78442,78270,78563,78273,79350,79153,78310,77825,77741,78127,78160,78853,78145,77410,77650,80413,97897,80507,79756,78926,79166,78673,80181,79628,78437,79657,80195,79286,78697,79564,79801,80275,76207,80884,79679,80911,79191,80957
31,89517,81389,80731,80808,80134,80844,80362,80390,80388,80408,80238,80565,80158,80120,79574,79961,79782,79894,79861,79689,80289,91769,102802,84610,79896,80012,81170,82287,80318,79693,80309,82562,80032,79987,79929,80066,79136,79639,79219,78952,79531,78956,79035,78580,79005,78616,78581,78691,78608,78653,78163,78367,78351,78274,81783,100120,78198,78610,79974,78535,79156,78885,79623,79619,82677,80041,79783,80653,78796,79920,78478,78680,80131,79336,79411,79343,inf
