driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63,lap_64,lap_65,lap_66,lap_67
14,88214,82374,81743,81006,80922,80977,80804,81304,81100,80878,81321,80613,80560,80198,80310,80405,80545,80781,80780,80693,80472,80423,79920,80096,80376,80556,80414,80611,81150,80448,82535,98746,80691,80305,80298,80338,80831,80541,80223,80289,81030,81655,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
22,91043,82941,82373,81823,81881,81843,81834,82034,82048,82224,81946,81748,81406,81702,81476,81268,81127,81765,81323,81173,81227,80920,81674,81410,80737,80930,80952,81067,81801,81275,81179,80943,81246,82356,81515,81180,83398,104496,81555,81094,81211,81319,81595,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
30,94829,89314,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
35,90217,81895,81749,81426,80989,80874,81046,81197,81098,80659,81044,80819,80404,80264,80527,80554,80355,81228,80232,80526,80568,80122,80398,81199,80131,79981,80272,82606,102415,80296,79838,80462,80988,80162,81422,80293,80391,81017,81118,80513,80869,81000,81427,81685,82606,80612,80530,80520,83152,103646,81602,82569,82716,81500,81214,81705,81582,81408,82067,82405,80888,80901,81086,80540,80193,80395,87730
44,95167,84414,81873,82475,82530,82457,82664,82493,82536,84810,82916,82136,81840,81850,81931,82354,82551,82303,82099,81973,82028,82320,81981,81980,82711,81469,81157,81155,81086,81560,81614,81460,81600,81519,81756,81915,81952,82733,82491,83309,104455,81937,82663,81873,81801,82001,81491,81980,81581,81843,81801,81720,81473,81580,81325,81997,81646,81395,81440,81863,81874,81767,81606,81991,82014,81622,81686
49,96476,84722,82525,82406,82678,82750,81877,83638,81822,82154,81720,81649,81773,82248,82829,82017,83022,82456,81985,81809,81969,80006,80127,81635,81357,81099,81759,81753,82283,83254,99501,78805,79578,79719,79902,80591,80863,81215,81701,81173,80839,80874,80983,82457,81344,79558,81332,102249,80409,80451,80831,81173,80779,81527,81517,80827,80593,80371,80087,80000,80100,80192,80712,80329,80072,80051,80820
50,99746,86301,83685,83232,83147,83522,83620,83339,83499,83346,83223,83207,82675,83033,83691,83250,83092,82920,82980,82699,82790,82536,82512,84594,102659,82550,82684,82645,82584,82455,82766,84285,83152,83911,83008,82871,83912,82985,82766,84261,106156,82602,82928,82823,82740,82582,84309,84811,82736,82749,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
55,91681,82903,82351,82080,81582,81814,81992,81935,81869,82333,81952,81785,81268,81719,81585,81303,81168,81667,81467,82992,102557,80112,80503,81343,81161,81305,81477,81448,81285,81634,81600,81586,81434,81538,81833,81789,81905,83019,82280,80616,80865,80827,81040,82658,102051,80587,80990,82280,80981,80579,80833,80877,80991,81612,80662,80499,80624,80527,80509,80101,80242,80528,80742,80245,79716,79932,80244
56,95470,84609,82379,82412,82120,82426,83004,84824,83415,82028,82445,81896,81793,82000,82126,82239,82449,82418,81988,82181,81963,82407,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
57,86895,81990,81406,81022,80652,80437,80245,80319,80048,80078,79979,80069,79824,80032,79844,79995,79924,80202,80280,80521,79993,79919,80545,80192,81819,79944,79576,81922,100995,80245,80324,80183,80487,80643,80205,80143,79986,80244,79925,80660,81499,81960,81730,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
