driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63,lap_64,lap_65
1,89086,84260,83962,83791,83817,83541,83501,83663,83678,83434,83311,83356,83019,83029,83741,83199,82951,83540,83428,82876,83088,86901,107788,83796,84187,84857,84590,84009,84740,84857,84201,84638,84130,84012,83847,83752,84012,83732,83804,83840,83831,84216,83549,83475,83977,83428,86966,105316,83568,85009,83608,83868,83965,83973,83780,83673,83625,83694,83456,83262,83814,83503,83504,83696,84300
2.0,91982.0,85347.0,84618.0,84615.0,84713.0,84298.0,84266.0,84134.0,84463.0,84089.0,84109.0,83807.0,83622.0,83702.0,83857.0,83664.0,83625.0,83641.0,83601.0,83491.0,83522.0,83483.0,83607.0,86843.0,160680.0,108254.0,84565.0,85965.0,84169.0,85354.0,84455.0,84026.0,84096.0,83695.0,84042.0,84003.0,83721.0,83730.0,83817.0,84024.0,84218.0,85661.0,84381.0,84897.0,84761.0,113894.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
3,94278,85795,85575,85434,85278,84926,84755,84928,84961,84852,85120,84866,84517,84564,84533,84643,84408,84233,83979,84081,84167,84077,87665,108090,84948,84593,84504,84368,84489,84456,84336,84298,84456,84456,83975,84165,84214,83883,83822,84043,83919,84508,87555,108724,84714,84749,85184,85020,84676,84512,84676,84565,84535,84252,84697,84502,84174,84168,83784,83693,83972,84092,84288,83906,84172
4,90137,85234,84178,84264,84102,83734,83795,83872,83950,83507,83224,83336,83189,83374,83235,83193,82966,83149,86436,109990,84315,84354,84743,84910,84532,84600,84933,84174,84875,84654,84822,84751,84614,84454,84307,84133,84173,83994,83674,83956,83901,84127,84198,84357,84224,83843,84218,87571,105676,83153,83164,83485,83459,83709,83654,83514,83535,83121,83241,83882,82974,83126,83080,82988,83653
5,93207,85637,85200,84932,84872,84699,84568,84554,84660,84080,84281,84078,83847,84155,83973,83838,83684,83978,87139,106893,83430,83560,84012,84563,84087,84360,84980,84180,84206,88390,105895,82980,83052,83204,83262,83484,83186,83310,83075,83051,83211,87100,110465,84415,84528,84400,84684,84600,84380,84537,84440,84660,84558,84746,84305,84451,84132,84308,84030,84200,84286,83738,84061,83619,83962
8.0,89601.0,85134.0,84095.0,83916.0,83661.0,83582.0,83475.0,83525.0,136639.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
9,91039,85032,84750,84470,84559,84120,84190,84058,84513,83967,84234,83617,83338,83514,83688,83730,83462,83335,83256,83129,86851,107992,83716,84528,84810,84519,84702,84642,84808,84828,84759,84944,84706,84281,84091,84369,84078,84183,83750,83813,84158,83923,84171,84147,84259,83847,87312,106775,84164,84183,83753,83833,84089,84049,84033,84050,84218,83930,83565,83594,83755,84387,84274,84414,84591
11.0,96793.0,86526.0,86166.0,86043.0,85808.0,85536.0,85822.0,85975.0,85647.0,85301.0,85449.0,85052.0,84961.0,84815.0,84858.0,84563.0,84686.0,84637.0,84358.0,84632.0,84518.0,84347.0,84110.0,87646.0,111063.0,84997.0,85413.0,85294.0,85248.0,85212.0,85281.0,85389.0,85245.0,85408.0,84773.0,84698.0,84971.0,84875.0,84690.0,84816.0,84617.0,84325.0,84408.0,85260.0,84832.0,87665.0,111814.0,85137.0,84813.0,84694.0,84546.0,84747.0,84681.0,84586.0,84690.0,85199.0,85606.0,85522.0,84592.0,84754.0,84647.0,84743.0,84767.0,84674.0,100000000.0
13,87479,83751,83561,83017,83109,83016,83053,82978,83036,83059,83368,82710,82882,82680,82919,82752,83213,82751,86056,109089,83537,83426,83461,83488,83732,83822,83696,83601,83742,83791,84011,83645,83370,83523,83301,83090,83408,83432,83346,83408,83099,87291,109020,84233,84304,84707,84493,85344,83969,83935,83869,83704,83765,84034,83846,83978,84404,83594,83708,83845,83747,83775,84211,84879,85167
14,92704,85439,85012,84744,84893,84476,84493,84245,84407,84409,84033,83946,83763,83551,83598,83832,83678,83524,83534,88397,107437,84084,84267,84442,84490,84641,84787,84144,84301,84461,84084,84083,84528,84151,83920,83871,83918,83719,83566,83807,83968,87287,108103,84328,84537,84724,84676,84687,84675,84535,84636,84688,84946,85195,84585,84252,84389,84102,90925,85875,85683,86322,85242,84360,84462
