driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59
1,119387,116779,116271,115777,116142,116783,116574,116876,117220,117514,117845,125090,134778,115541,115702,116051,115719,116029,116048,116607,116188,116958,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
3,127940,119434,118645,118480,117980,117898,117795,117963,117409,117176,117457,125065,137804,116683,116530,116064,116320,116995,116686,116594,116599,116564,116193,116146,116495,116673,116725,116793,116463,117377,117716,116922,141718,160859,148328,167532,160486,162562,118456,143769,156682,160632,116881,115051,115337,115112,114984,114859,114378,114391,114397,114199,114499,114197,113897,114606,114855,114726,115951
4,124729,118511,118202,117600,117152,117014,117264,116787,116944,116559,124339,136112,115836,117403,117844,117128,116229,115465,115032,115012,115155,115239,116109,115492,116224,115901,115624,115248,123064,135391,117755,117924,137248,148621,156600,168949,160361,164399,115657,147624,156495,161565,116087,114766,113954,114130,113806,113463,113344,113987,113399,112828,112709,112790,113092,112957,113825,113662,114765
5,132024,120577,119510,119191,118898,119174,119077,121083,119150,119646,119764,129380,139185,118207,117194,117103,117259,117339,117427,116963,117332,117270,118583,117840,118253,126431,138253,116393,116769,116335,116518,122907,142620,120356,124131,165887,160242,159945,119457,143790,155990,159077,120231,121132,125648,137243,115106,115233,116560,116877,115697,115594,116535,116180,115976,116907,117630,122062,116970
8,129239,119744,118687,118191,118361,118296,118252,118637,118472,118653,119063,117625,126309,135842,116756,116311,116253,116497,116475,116878,116555,116511,117376,116444,116277,115991,116376,117104,117269,117270,118004,125174,159600,141817,138406,165487,160233,160872,119594,142927,156182,159795,116996,115879,114863,115123,115132,114320,114455,114412,114461,114560,113785,114634,114134,114154,114664,114665,115861
10,132614,120780,119731,120220,119166,119324,119228,122696,121186,120592,119732,120376,127938,140559,119860,120237,121095,120923,118431,117669,117976,118000,118567,119304,125994,142442,116850,116464,116393,116057,116508,131102,142374,120466,119502,136341,161971,157351,119119,144223,156018,158243,121315,119414,118645,118484,117474,117292,117747,118347,117192,117366,117013,116926,117047,117144,117111,118045,117878
13,174254,140684,116867,115664,115782,115767,115825,115732,116041,116696,118616,117177,118890,119351,119293,118161,117752,118106,125925,135139,114481,116071,115635,116801,114787,114541,115196,114505,114802,116010,114130,116411,149844,141861,122004,165657,160297,159929,117954,143733,156279,158926,118062,114831,116470,114787,113997,114510,114417,114705,114859,114595,114236,114726,114462,114921,114875,115541,117403
17,126507,118892,118335,118105,117350,117317,117289,124268,137124,116771,118291,117281,116823,116639,116502,116709,118655,116725,115724,115752,115592,116035,116343,116066,116081,116811,116710,123886,133963,114439,115096,116884,141135,144279,152203,167879,160147,163435,117365,151313,160518,157185,118614,115224,116608,115609,116445,116274,116298,115487,112778,112955,113404,113950,113463,114804,115114,115109,116759
18,122589,117827,117430,116896,116717,116279,116480,116557,116309,116835,116857,116865,116447,124240,135829,115277,115920,115965,115913,115829,116347,116504,115924,116424,116452,115709,115527,115261,115442,115347,115399,116673,133358,182657,162078,168632,160730,163612,115115,145763,159291,161544,114777,113378,113592,113060,112625,113068,112848,112900,112945,113187,113377,113491,113482,113237,113486,114125,114675
20,120608,117079,116187,116090,116255,116466,116767,116886,118218,125061,137073,117044,115495,114941,115695,115843,116136,116013,116319,116135,116297,116745,116006,115877,116067,115583,115881,115565,115380,115342,115169,115224,132532,186454,162638,168587,161024,163746,114542,145346,160476,161335,114106,113302,113152,113129,112949,112853,112776,112134,112731,112785,112800,112594,112511,112713,112850,112540,114092
154,127314,119168,118312,118127,117596,118758,117407,117406,117153,117374,117499,118203,117146,125198,138914,117304,115495,116153,116584,117060,116268,116815,116309,116774,115904,116552,116665,116640,116890,116692,117763,116931,142588,161067,147331,167796,159818,162853,118440,143738,156914,160681,116543,115109,115396,115261,117024,114519,114432,114815,114450,114549,114134,114370,114393,114123,114335,114495,115294
155,133781,120995,120126,119547,118871,119308,119362,120852,119719,118605,118650,121274,119600,128628,140328,118781,117810,117260,117599,117972,117284,117029,118081,117078,117268,118095,117637,117719,117298,124880,139679,126325,142223,120203,116873,158681,160620,159083,119064,144121,156307,158215,118561,116143,116655,115883,116337,116279,116409,136174,142319,111690,113978,113570,114807,116344,115130,115349,114826
30,128550,119670,118926,118110,118443,118279,118223,118512,118307,118824,125997,136959,117956,116776,116657,116861,116533,116720,116689,116736,116479,116535,117219,116438,116193,116047,116575,117379,117124,117458,117859,118154,145578,160338,139871,166210,159894,161766,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
