driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51
14,108373,103364,103556,103706,103520,103764,103972,103711,103213,103823,103729,103582,103500,103558,103726,103761,103898,103216,103147,101404,103516,119148,102204,101555,101602,101850,101581,103385,101440,101391,101779,104096,102531,101949,101136,100957,101037,102826,120726,102656,101487,100905,101621,101235,101629,101168,101414,101436,102080,101505,103830
15,119909,107636,106697,106340,105799,106058,105988,106517,107101,109792,105217,105473,105499,106143,107426,106528,106577,106898,124756,107087,106732,104114,104106,104380,104507,104484,107303,104194,104531,104915,109417,104054,103870,103807,106742,122314,103244,103338,103772,103341,103308,103164,103757,103557,103939,103951,103901,110485,inf,inf,inf
21,112245,104465,104805,104365,104497,104544,104123,104150,104091,104161,103969,104644,103881,106199,105101,120787,103551,103447,102913,102335,102689,102672,102392,102681,102560,103351,102458,102602,104066,123645,104070,103817,103129,103322,103528,103240,104748,103450,103454,103113,103010,103067,102996,102865,102982,103340,103013,103817,107781,107646,110060
22,114833,106055,105558,105364,106046,105307,105119,104947,105874,123845,105827,106689,106781,106181,106157,105953,106341,105760,105479,105300,105724,112478,125491,106933,107342,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
23,110605,103995,104310,102965,104337,103670,103656,104120,103428,103409,103412,103809,103746,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
25,111592,104257,104202,104717,104371,104142,104352,104272,104637,104061,103952,104353,103972,106708,121692,103670,103960,103447,105133,103618,104154,103555,103616,103494,104342,103859,103848,103768,103865,105665,126881,104185,103727,103989,103829,103906,105404,105349,104251,103858,103912,104180,103843,104116,105486,104023,104053,103850,103860,103697,inf
30,114446,103100,102818,102433,102128,103975,103949,103783,103603,103267,103592,103972,103410,103783,102221,103695,117077,100279,100190,100596,101905,101655,101410,100908,102067,101559,101004,101320,101088,101013,101498,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
35,109426,103651,103667,103631,103752,103896,104014,104007,103298,103364,103550,103964,103652,103687,104897,103709,103784,105840,119712,102761,103104,103113,103158,103607,104308,104028,102963,103467,103096,103442,103050,103704,104900,121187,103042,102602,102574,102380,102415,102273,103101,103010,102995,103536,102343,102983,104129,103433,104239,103555,104404
44,113822,106566,105437,104624,105217,104674,104627,104796,104621,104402,104187,104644,104432,110246,106579,104411,106275,123847,103353,104154,104693,104157,104615,104109,104443,104501,104206,104841,107811,114500,124772,105053,106350,104473,104357,104092,104611,104460,104584,106019,104668,104513,104564,104317,104186,104016,103407,103159,103073,106863,inf
49,107942,103422,103390,103802,103662,103711,103843,103727,103167,103897,103571,103885,103419,103429,103949,103741,103743,103281,104457,122375,102865,103543,103564,103921,104100,103593,103370,103114,103253,103072,103171,103221,103229,104156,119505,102331,103068,103408,103181,103045,103009,103129,102645,102708,103046,103080,103604,103864,104005,103441,104739
