driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52
1,139816,3698495,100284,99533,99345,98786,98861,99012,99079,98794,99012,99433,98954,98763,98969,98554,98680,98708,98837,98935,98718,98792,98877,97583,119839,97176,97307,97622,98703,98855,99350,99329,98809,99176,98277,98595,98979,98750,98695,99025,98232,120060,97722,97483,97554,98114,98555,98191,97857,98094,98145,98780
3.0,135166.0,3700256.0,98609.0,99011.0,98934.0,98750.0,98857.0,98857.0,98988.0,99169.0,99464.0,99767.0,99267.0,99024.0,99139.0,99250.0,99039.0,98122.0,118481.0,98615.0,98309.0,98331.0,98454.0,98315.0,98530.0,98091.0,98288.0,99705.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
4,162541,3679776,103758,101381,100988,101295,101659,100959,100672,100291,100576,100303,100388,100789,100514,100402,100404,100680,100914,101180,100689,100564,101306,101001,100083,125327,99638,99446,99333,99692,99569,99074,99277,99181,99149,99248,99615,98684,99385,99361,99239,99465,99012,99173,99278,98927,101526,99625,99486,99234,99396,98587
16.0,157495.0,3684123.0,104226.0,104313.0,103906.0,103545.0,102426.0,102606.0,101940.0,102110.0,103422.0,102362.0,101982.0,101932.0,101759.0,101815.0,101613.0,101755.0,101699.0,101761.0,101721.0,102169.0,100818.0,123443.0,101088.0,101148.0,100365.0,101916.0,101592.0,100986.0,102374.0,100823.0,100963.0,100041.0,100057.0,100558.0,102274.0,101147.0,100848.0,100583.0,101301.0,101092.0,100703.0,100362.0,100837.0,100658.0,100787.0,100890.0,100982.0,101527.0,103747.0,100000000.0
18,136405,3700606,101050,101612,101226,101129,101472,101339,101165,101114,101409,101299,100807,100904,100821,101402,101335,101431,101463,100855,100625,100722,101055,100997,101101,100466,101071,99555,119422,99743,99597,99128,99176,99238,98670,98879,99049,98620,99203,99000,98677,98584,99292,98795,98895,99173,99077,99215,98529,98473,98329,98284
20,143937,3694951,102113,101545,101807,101138,101348,101283,101235,100027,119757,99530,99754,100055,100215,99351,99594,99758,99816,99668,99564,99752,100005,100177,99915,99823,99874,99918,99340,99817,100089,99612,99419,120138,98825,99228,99767,98702,99491,99382,99034,99572,98944,99216,99293,98837,99915,98449,97785,98452,99260,97481
154.0,174789.0,3670560.0,103765.0,102927.0,103827.0,103065.0,103005.0,103086.0,104739.0,103306.0,102519.0,102822.0,101899.0,101859.0,102134.0,101713.0,101864.0,102900.0,102309.0,102371.0,101699.0,101765.0,101788.0,101715.0,102112.0,102121.0,102001.0,101691.0,102130.0,100936.0,121493.0,99644.0,99993.0,99712.0,99906.0,100177.0,100068.0,99681.0,99683.0,100021.0,99624.0,99322.0,99255.0,99656.0,99347.0,99209.0,99456.0,98919.0,99125.0,99116.0,98996.0,100000000.0
155.0,3698698.0,148434.0,104193.0,104304.0,105301.0,105290.0,104471.0,104203.0,104178.0,103921.0,104583.0,104289.0,104152.0,104409.0,104180.0,104353.0,105256.0,103691.0,125614.0,103384.0,103055.0,104500.0,104379.0,103816.0,105778.0,105178.0,104455.0,103696.0,103432.0,124256.0,101462.0,101875.0,103365.0,104940.0,102475.0,102282.0,102808.0,103520.0,103925.0,102745.0,102658.0,102370.0,102438.0,103787.0,104130.0,102777.0,104319.0,104203.0,104836.0,105931.0,100000000.0,100000000.0
807,145216,3694017,102878,102368,102390,102372,101983,102719,102715,102698,102579,102111,101823,101750,102164,101437,101092,101833,101402,101424,102290,101456,101488,101812,101774,101568,102746,102954,101273,121017,99842,99520,99480,99116,99327,99534,99497,99291,99584,99470,99195,99182,99204,99348,99376,99406,100056,99387,99077,98987,98933,98625
813.0,165180.0,3677567.0,104049.0,104580.0,103764.0,103187.0,102890.0,103271.0,105785.0,102824.0,102881.0,103803.0,104470.0,103855.0,103448.0,102517.0,102582.0,102498.0,102324.0,102189.0,102163.0,101935.0,102115.0,102122.0,101953.0,100357.0,120096.0,100352.0,100325.0,100926.0,101053.0,100875.0,100851.0,100909.0,101009.0,100867.0,100927.0,100833.0,100780.0,100907.0,101055.0,101086.0,101753.0,100927.0,101091.0,100708.0,100877.0,100314.0,105659.0,100000000.0,100000000.0,100000000.0
