driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63,lap_64,lap_65,lap_66,lap_67,lap_68,lap_69,lap_70,lap_71,lap_72
14,84121,80458,80837,81073,80788,79997,79496,79227,79371,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
15,86773,82568,83002,82060,82132,82086,82186,81874,82236,82280,81839,81643,81561,81450,81330,81701,81655,81568,81774,81375,85501,109404,118952,101381,113337,137495,145955,154459,148909,148389,145824,147977,144935,145068,147683,99310,96115,95211,95239,94517,94351,95655,95339,94655,95213,94083,94886,94200,94877,94612,93976,94201,93665,93935,94938,93804,93630,93642,97230,109879,93031,92300,93412,93495,92963,93218,94507,94761,95751,97028,97615,98508
21,87274,83231,83191,82412,82447,82579,82215,81896,81801,82139,81869,81792,81562,82062,82260,81825,82526,81476,81423,82216,96252,125991,100499,100842,113137,135870,136820,153783,149073,147816,146100,147677,145293,145098,147276,99767,96229,96195,95278,95190,94718,94740,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
22,82482,81471,80982,80878,80938,82315,81294,81170,81510,81601,81314,81129,81105,81231,81048,81265,81146,80961,81111,81127,84226,105241,124532,100900,108562,141859,156986,155378,149465,147914,146326,146408,147155,145592,148569,97005,95561,95428,94582,94021,94482,95819,94598,95143,94706,93927,94151,93901,94096,93855,94916,93994,93867,94004,93458,93213,92925,92803,93148,93722,93285,93023,93438,92630,95747,110607,91869,93622,94517,96575,99744,100202
23,90849,82750,82488,82564,83386,82923,81736,81755,81245,82304,81209,81038,81250,81594,82334,81782,80940,80591,80313,81113,85236,107611,124168,99641,113958,139606,142049,154148,148855,147974,146170,147660,145422,144995,147406,99776,96161,95248,94602,94780,93864,93958,93456,93709,94444,94213,94034,94081,94125,94220,94015,97556,112285,92818,94193,93738,94036,94591,94846,93114,92340,92356,93090,91860,92395,92017,92347,95032,95638,96047,97281,98489
25,88750,82839,82903,83267,82945,82564,82576,82117,83240,82654,82156,81865,81889,82093,81863,82652,82273,82269,81409,81702,91852,151694,100697,103084,116963,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
30,85292,81938,81934,81575,81728,81458,81246,81458,81730,82850,81191,81014,81432,81607,81260,81457,81586,81352,81587,81214,84487,109129,118753,100465,111507,136901,155524,155215,149384,147543,146357,146380,147094,145512,147798,97522,95652,95067,94082,93156,94067,95872,94745,92731,92287,92894,93610,93563,92747,92715,102831,92526,92725,96415,117642,92281,92923,93212,93200,92802,92953,93244,92704,92932,92798,94851,93187,94812,95073,98579,97972,98894
35,90481,84905,82829,82986,82734,82421,82875,82031,82173,83181,82328,82355,82768,82437,81499,82041,81729,81461,81999,81758,94452,124077,99155,99233,118657,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
37,93223,86398,85220,84102,83820,83355,83327,83341,83339,83376,83177,82798,82948,82666,82957,82680,82935,82919,82535,83408,98269,129995,103511,105095,117824,132995,122407,126115,148379,147896,147296,147048,145917,145380,145238,105307,100904,99543,98320,97988,97840,97539,97368,97418,96858,97152,96350,96494,96166,96010,96020,95858,95941,95138,94923,94811,94662,95578,95985,124637,120437,94885,94064,94738,96077,96257,96560,97070,98775,100625,102769,inf
41,91290,86582,82717,82514,82859,82529,83036,82497,82598,83532,82626,82598,82678,82221,82551,81778,81281,81413,80881,82172,90279,117058,125503,103198,117258,128838,122151,149204,148463,147821,146998,147478,145580,145165,144722,101072,97130,96810,95898,95429,94930,94765,95759,95286,95254,95622,94918,96756,95441,95327,95127,95323,95910,94832,94397,95999,96125,95398,94684,95037,96900,115998,90125,89681,88740,87572,89413,91897,93823,99734,105076,110850
