driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63,lap_64,lap_65,lap_66,lap_67,lap_68,lap_69,lap_70,lap_71,lap_72,lap_73,lap_74,lap_75,lap_76,lap_77
14,90040,81505,80698,80619,80356,81068,84561,80392,81203,81611,83353,82770,82168,82762,80590,80418,80848,80710,80329,80557,80541,80721,80785,85859,100592,80492,80415,80397,80506,80783,81954,82156,81757,81276,80626,80770,81519,81944,82674,81966,81118,81362,81854,81962,81219,82663,81655,81882,83045,86725,100986,85817,82424,81961,81751,81284,81881,80988,82123,80692,81659,81363,81563,81477,80956,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
15,93909,82148,81785,81688,81223,81817,82143,83614,82936,82226,81877,81958,82091,82410,81916,81739,81980,82314,82465,82411,83033,82342,81563,82047,82906,86713,103272,81288,82241,82115,82485,82363,84154,82862,82114,82455,82158,82213,82876,83490,82964,82816,84212,82916,86286,102795,81808,82164,82498,83236,86134,84480,83403,83042,82567,83238,82442,82757,83374,83602,82968,83062,82602,83569,84133,82626,82934,82524,82570,81587,81074,81249,81908,82277,83107,84646,83791
21,94910,82905,82139,81878,81750,81739,82202,82067,84318,81860,81640,81948,81683,82232,82186,81928,81974,81666,82148,82536,83360,83656,81060,81901,82155,81332,79561,85208,101450,79424,80510,81790,80866,81275,82161,79698,79366,80220,82305,82742,83790,83299,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
22,94657,82731,82175,81802,81757,81722,82145,82201,84182,81825,81778,82021,81597,82138,82079,81773,81886,82253,82104,82527,82918,83755,81409,81809,86578,103058,82546,82968,82058,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
23,95582,82948,82181,81945,81929,81739,81968,82158,84125,81930,81808,81803,81752,82068,82173,81973,82018,82027,82016,82461,83446,85270,82185,81866,86555,100948,81246,83792,81838,81380,80741,82039,83707,82893,82237,82306,82243,82138,82890,80534,80093,79844,81572,80270,80438,81887,80612,79651,80172,80920,86800,101558,82772,81034,81362,81136,81766,82074,82029,83057,83322,81923,82303,82698,82567,82879,82083,81983,81512,81273,81835,81344,81722,82298,82898,82885,86434
30,84350,80805,79751,79893,80817,81555,82751,83050,83527,83335,83346,82497,83091,86785,98641,81303,81127,80836,80365,80979,81996,85090,83418,81086,81985,80361,80233,79684,80165,79766,80057,80689,84337,99145,80453,79994,80706,81618,82881,82922,83710,83537,83510,82374,82838,82420,83175,81526,81655,81569,86438,101537,82750,81508,81048,81238,81914,82128,82234,83011,82967,82263,82314,82572,82624,82614,82369,81843,81365,81600,81624,81353,81697,82399,82893,83076,86567
35,88902,80910,80347,80300,80137,82585,81466,80703,82306,83095,83401,82573,82220,79700,79066,79132,79315,79189,79919,80999,80874,82158,80629,86307,104204,80781,79302,80931,81373,82994,83390,81993,81724,81091,80813,80928,81508,81955,82624,81747,80896,81547,82048,81761,81302,82750,81747,81817,83077,82743,86911,103826,82570,81527,81900,81425,81895,80556,81741,81516,81480,81533,81216,81370,81062,82640,83204,82707,82585,81938,82495,83397,82329,83499,81689,80448,86411
49,89762,81310,80631,80283,80330,81418,82279,80663,81840,82941,83340,82608,82022,82869,79030,79147,78875,78941,79653,80812,80463,80663,80993,81462,78372,78607,82093,78948,83076,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
50,96294,83358,82082,82389,82039,82265,81986,81960,86399,84015,84781,84881,84334,84248,84092,89544,103286,82168,81748,82287,83003,82089,85412,82278,82057,82918,83007,82937,82746,82628,82618,82805,82244,84234,83411,83261,86206,87239,84658,84481,88374,101976,81676,82106,81986,84131,82228,82815,82708,82098,84084,83064,82910,82792,82997,84884,83596,88565,85326,88192,114481,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
55,91548,81735,81532,81475,81513,81786,82529,82282,83287,82290,82449,82793,83012,82368,82135,81946,82084,82247,82624,82441,83514,87603,89254,86677,92551,104715,80885,81085,80874,80847,80696,80746,81260,81515,81859,81972,82137,82531,82091,82149,82436,82526,82915,85667,83735,83586,83741,84957,85377,86504,92086,111529,82041,84867,80997,80716,80573,81180,81449,81054,81731,81527,81217,80820,81633,81169,81103,81836,82130,82284,81715,83026,82898,83058,83826,89576,inf
