driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59
1,85489,82487,82032,81898,82210,81955,81847,82171,81984,82045,81675,81692,81861,82821,81999,87389,105310,82127,82323,82690,82846,82628,82659,83094,82918,82581,83068,82880,83088,82882,83397,83524,83208,83704,83398,83501,83400,88912,105063,82580,82733,82917,82758,83051,82919,82943,82905,83027,83352,82498,83179,83689,83151,83437,83169,83627,83134,83090,83532
2,91345,84320,83249,83014,83053,83060,82731,83310,82993,82975,82683,82651,82463,82408,82483,82303,81991,82336,87055,106072,83126,83134,83361,83391,83111,83381,83343,83448,83112,83289,83351,83380,83472,84133,82790,82895,82923,82868,82846,82435,82112,87716,105171,82920,83551,83777,83198,83015,83197,82848,83273,82834,83166,83139,82986,82729,82579,82407,82508
3,95652,85433,83585,84094,84533,84129,85940,86002,84465,84289,84179,84138,83676,84292,89311,107848,84089,84798,85542,84635,84473,84447,84475,84407,84242,84383,84653,84918,85590,85385,85658,85131,84500,84743,84878,85999,84831,90914,105089,83207,83365,83342,83339,83129,83319,83236,83303,83288,82896,83094,83060,83043,83498,82963,83063,82985,82928,83366,inf
4,87029,82798,82402,82102,82219,82167,81993,81946,82085,81959,81873,81753,81845,82097,81867,81769,81588,81459,81459,87302,102048,81657,81804,82071,82168,82193,82236,82348,82435,82329,83498,81645,81727,81657,81117,81383,86653,105507,82975,82291,81966,81993,82125,82211,82387,82572,82481,82481,82654,82605,82749,83191,82624,82498,82310,82066,82663,82298,82205
5,89762,83512,82627,82703,82793,82659,82885,82867,82723,82803,82552,84505,82636,82630,88206,109051,83247,83179,83418,83826,84084,84121,83794,84023,83937,83984,83492,83176,83489,83363,83470,83601,83067,83009,83348,83061,88733,108257,84004,83162,83075,84074,83505,83296,83074,83279,83125,83257,83418,83462,83801,84078,83989,86076,83686,83836,84963,83868,inf
8,86198,82461,82188,82093,82030,82078,81988,81845,82256,81980,81688,81511,81490,82698,82222,81605,80638,86162,106063,82289,82739,82446,82458,82458,82321,82112,82332,82188,82793,82110,82822,82576,81658,81686,81885,81484,81428,81540,81671,81287,81023,80998,86528,102463,81486,82327,81536,81844,82285,82472,82067,82825,82419,82664,82564,82730,82631,83151,85584
9,88421,82988,82666,82610,82837,82436,82432,82521,82691,82441,82324,82331,82163,82105,82313,88148,105748,83379,83254,83239,83167,83095,83125,83280,83311,83155,83157,83323,83210,83637,84076,83720,83130,83039,82836,82888,83240,82854,83011,88550,104432,82726,83252,83024,83275,83485,82979,83390,83781,82938,83203,83655,83177,82981,82708,82661,82560,82512,82803
11,99534,88499,87052,86807,86062,85898,85653,86710,85699,85635,85587,85663,85510,85260,85046,84947,85029,84922,85608,84540,84353,84376,84383,84295,84087,84251,84678,90374,107729,86065,85065,85014,86153,87228,85069,85308,84969,84807,85171,83749,83605,83413,84243,83762,89327,108249,85101,84667,84296,84593,86083,84262,84121,83851,83786,83441,84117,inf,inf
13,98185,85255,84285,84016,83297,82779,84757,85128,82071,82110,81894,81450,81266,81332,81302,81165,80858,80989,81078,87182,107421,83569,83525,84037,83359,83219,83505,83235,82944,83030,83502,83376,83265,83711,84542,81989,82454,83297,82281,81961,82743,82055,81967,81867,88035,103541,82167,82757,83940,82861,83198,84007,82835,83063,82816,82439,82582,82450,83193
14,94466,85149,84509,84357,84374,84016,85382,86868,84316,84170,84298,84039,83870,84138,84243,83872,83670,83805,83882,84315,84238,83906,84027,84262,83731,89409,106917,84125,85350,85517,83877,83878,84426,85164,84127,83811,83973,83673,83597,83118,83822,83344,83273,84066,88627,106020,84256,84271,84013,83988,85909,84968,84440,83826,83877,83467,83689,83773,inf
