driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61
1,118445,114891,126544,157952,160912,114538,113537,113326,113567,113177,113072,112781,113085,112660,112757,113138,113016,112774,113008,112815,113111,113102,113596,114321,114135,113723,114197,121345,134609,111815,110750,129586,123859,163425,160437,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2,158466,163513,139591,115350,116322,119040,119790,116398,115948,115037,116168,117491,117202,116602,116044,115870,115669,115363,114950,114151,113934,115405,115638,115810,115980,116243,115433,114019,112475,113099,118434,117409,116408,139380,155112,119894,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
3,121621,116023,125151,157223,159971,115627,114687,114203,113879,114206,113547,113193,113519,113398,113333,113331,113475,112959,113191,113273,113440,113336,113246,113470,114153,113276,113874,113662,113721,120842,134766,130131,120739,155161,159157,116775,113028,112267,111519,111226,110794,110232,110265,110202,110342,110931,110779,110685,110957,110323,110328,111057,110723,110159,110125,110371,110571,110529,112634,113567,113800
4,116343,114285,126905,158313,161259,113462,113117,113204,113606,112625,112160,112149,112177,112101,111709,111520,111900,111317,111769,111641,112382,111204,111310,111761,111666,111814,111606,112647,118968,133811,111013,126879,152868,163166,162919,111559,110735,111436,109745,110108,109603,109698,109328,109564,109902,108867,108966,108822,108918,109050,109135,108897,108535,109016,109006,108922,109663,107976,108591,111068,110893
5,129367,119142,131654,153788,154159,119052,118334,117187,116697,116974,116774,116904,116637,116770,116936,117062,116469,118149,116628,116417,116165,116730,116244,116111,115782,115800,119699,115481,115989,115514,122885,122498,117914,125367,142012,118166,116516,115610,114277,113998,113777,113711,113839,113947,113808,113814,113441,114154,114228,113336,113301,113595,113051,113480,113690,116195,115022,153259,inf,inf,inf
9,122249,116038,125212,157393,159714,115650,114892,114308,114056,114186,113562,113887,114424,113544,113701,113344,113634,113056,112956,113827,113300,112868,113247,113802,113626,113984,113761,114053,113598,113619,115827,135581,141275,152609,158676,117077,112787,112663,111341,111229,111485,110647,110271,110362,117476,132570,111455,111906,113908,112069,112950,111751,112349,112107,110241,109255,109789,110374,111565,111127,111925
10,129976,118931,125697,151278,157576,118563,116740,115923,116238,115473,116366,116031,116393,116441,117912,122115,117179,116285,115501,115754,115664,115544,115827,115793,115578,116396,115760,116721,116226,116038,130497,176342,163149,161496,128310,115983,115786,113559,113584,114019,114095,113831,117879,116715,117412,118395,117864,121462,159275,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
13,137088,135230,128831,130750,154251,117834,117026,115327,115858,116134,115983,116803,115789,116147,117262,115586,114277,113784,113600,114368,114112,114051,113980,113503,113460,113647,113924,113674,113663,114293,119248,130859,117475,147287,156905,118276,114433,114101,113665,112764,112758,113142,112977,113982,112079,112743,112883,112954,112746,112899,113247,112809,114702,112736,113336,113917,114271,114265,114496,114486,114200
15,129608,120236,139408,147051,152371,181323,143284,122160,121899,122013,116836,116396,116869,116930,123466,118016,119023,116847,118129,116386,116398,116710,121190,116619,132060,344180,144870,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
16,127182,117685,132750,153421,154870,117755,116185,115471,116067,115584,116234,116310,116283,116327,115745,115196,114625,114064,114133,114343,114099,114141,113724,113489,113490,113548,114056,113721,113618,114428,118878,130640,117914,147732,157439,117807,114016,114159,113301,113057,113140,112990,113238,112987,112473,113124,112906,112734,112970,113227,113007,112928,113046,113219,114838,113919,114102,114184,114579,114414,134483
17,120834,115429,131491,159216,156716,116267,115039,115173,114775,114681,114454,114166,114032,114410,113663,114525,113754,113575,113446,113278,112879,114315,113939,112667,112367,112773,114895,113645,112976,113671,112999,130704,126890,163260,160665,116002,111855,111430,111220,110826,110186,109939,109813,109908,110667,109976,110692,110060,110100,110128,110248,110743,110189,109706,110361,109984,110156,109904,110043,110253,110762
18,119870,115647,124806,158532,160530,115409,114499,113890,113791,113795,113100,113330,113200,113125,112942,113011,113804,113214,112912,113150,113036,112834,113475,113932,114644,114321,113695,113325,121084,134268,111821,128711,117398,163056,160356,115948,112445,112094,111127,110732,110510,110362,110179,110000,110231,110231,110188,110602,110010,110303,109976,109885,109997,109771,110110,110079,110128,110033,110157,110641,109711
20,117389,114395,126841,158142,161042,113999,113269,113150,113670,113055,112416,112360,112512,112023,111962,111862,112054,111442,111537,111685,111973,111856,111274,111684,111382,111386,111958,111475,119073,133158,110582,126962,153284,162550,162780,112955,110905,111342,109535,109652,109314,109736,109897,108920,109730,109335,108855,108850,108985,108747,109137,108950,108466,109059,109053,109072,109356,108262,108141,110483,110953
22,123705,116173,124952,157207,159210,116404,115789,115450,114551,114928,114875,114087,114320,113928,114290,113799,113623,113642,113624,113407,113343,113271,112833,113422,113148,113391,114776,113447,113072,113092,112908,133878,140430,153126,158366,116961,113477,112920,112357,111316,111427,111449,111512,111331,110686,110731,110815,111039,110945,111089,111679,110334,110491,110822,110856,110758,110521,110472,112146,111874,111205
24,128218,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
153,132562,120082,138094,146229,151920,116939,117611,115702,115487,116076,115888,116394,116072,115959,116964,118109,114323,114160,114218,113721,113933,114560,113751,113930,113217,113440,113692,113755,114026,113983,118182,129566,117785,146933,155879,119462,113801,114111,113615,113521,114658,112527,112333,113290,113813,112522,114425,112454,114152,112559,113290,112711,113748,112761,113473,113781,113463,113871,114675,117588,inf
155,125355,117303,126266,154397,159245,116997,116654,114975,115048,114813,115639,114263,114221,114216,114475,114778,114621,114179,114298,114427,114272,113957,114289,114505,114547,114673,114862,114544,114632,115574,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
30,124294,116335,124782,157144,159668,116104,115847,115401,114828,114814,116344,114337,114238,114401,114623,114482,114615,114224,114425,114089,114437,114120,114461,114277,114844,114654,114812,114436,114614,129013,144686,116967,117051,136035,154669,119846,153483,140376,110335,110569,111089,110716,110400,109948,110332,110026,109867,110067,110557,110212,110082,110071,109801,109680,111848,116126,111389,110161,111064,114397,inf
32,131855,120698,138885,155095,144645,119500,118927,118431,119423,118661,117963,118608,118056,118229,118149,119019,118211,117975,118443,117883,119581,119335,117766,120833,119488,122099,120851,119357,121425,125920,141209,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
807,126583,117318,133225,152713,155163,117997,117508,115264,116117,115842,116003,116505,116125,116200,117227,115179,113984,113861,113899,114322,114117,114125,113933,113529,113529,113280,114301,113575,113694,114295,119341,129689,118504,147195,157455,117979,114285,114197,113231,112959,113131,112986,113197,113607,112213,112708,113025,112693,112920,113058,113210,112916,113039,113855,114062,113846,114096,114296,114450,114380,134434
808,124974,117048,132755,154478,155234,117927,119877,115201,115837,115891,115921,116638,116011,116086,117090,115986,115382,113961,113761,113687,113701,114761,113759,113276,113432,113350,113729,114813,113325,113505,119081,130772,118392,147294,155471,119032,114253,114125,113535,113236,112569,112777,112922,114233,113491,111903,112388,112957,112915,113192,112672,114083,113428,112959,115514,112022,113370,114353,114694,118590,inf
810,132283,121191,138531,153266,144530,118572,118057,117578,116995,117156,117068,117223,117458,118957,117006,117045,116859,116908,116843,116451,116262,116273,116179,116845,118605,119217,116388,116264,116380,116372,129508,153301,162917,162569,129941,119633,117946,116353,118850,118059,124390,140202,117764,113518,114911,118458,116334,113342,117878,115404,113796,113954,113819,112592,112513,115631,116473,116353,116890,inf,inf
