driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56
1,0,0,0,0,26094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24595,0,0,0,0,0,0,0,0,0,0,0,0,0,24179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,33689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24336,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,25222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,27285,0,0,0,0,0,0,0,0,0,0,0,24744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,25831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24788,0,0,0,0,0,0,0,0,0,0,0,0,0,26971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,33027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25581,0,0,0,0,0,0,0,0,0,0,0,0,0,25846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24377,0,0,0,0,0,0,0,0,0,0,24621,0,0,0,0,0,0,0,26014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25047,0,0,0,0,0,0,0,0,0,0,0,0,35351,0,0,0,0,0,0,0,0,0,0,0
813,0,37289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
817,0,0,0,0,26714,0,0,0,0,0,0,0,0,0,0,0,0,0,25604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
822,0,0,0,0,30154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
826,0,0,0,0,30463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
830,0,0,0,0,29516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
831,0,0,33918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25741,0,0,0,0,0,0,0,0,0,25331,0,0,0,0,0,0,0,0,0,0,0,0,25204,0,0,0,0,0,0,0,0,0,0,0,0
832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
833,0,0,0,0,0,27540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29202,0,0,0,0,0,0,0,0,0,0,0,0,0
