driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63,lap_64,lap_65,lap_66
2,,[],[],[],[],[],[],[],[],[],[45],[],[],[],[],[],[32],[],[],[],[],[],[],[],[],[45],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
4,,[],[],[],[],[],[],[],[],"[8, 17, 43, 31]","[18, 14, 23]",[],[13],[],[],[],[],[21],[],[],[],[],[],[15],[],[],"[11, 31]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[15],[],[],[],[11],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
8,,[],[],[],[],[],[],[],[],[],"[18, 45, 14]",[],[],[],[],[32],[],[],[13],[],[],[],[],[],[],"[44, 23]",[],[],[],[],[],[32],[],[],[],[],[],[],[],[],[],[13],[],[],[18],[],[],[],[],[],[17],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
11,,[],[],[],[],[],[],[],[],[15],[],[],[],[],[],[],[21],[],[],[],[],[],[],[15],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[15],[4],[22],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
13,,[],[],[],[],[],[],[],"[43, 4, 44]","[8, 17, 31]","[18, 14, 23]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[17, 43, 44]",[14],[18],[8],[],[],[],[],[],[],[],[],[],[],[],[],[],[14],[],[],[8],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
14,,[],[],[],[],[],[],[44],[4],[31],[],[],[],[],[],[32],[],[],[13],[],[],[],[],[],[],"[44, 23]",[],[],[44],[],[],[32],[],[],[],[],[],[],[],[],[],[13],[],[],[],[43],[8],[],[],[],[17],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
15,,[],[],[],[],[],[],[],[],[],[],[11],[],[],[],[],[],[22],[],[],[],[],[],[],[4],[],[11],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[4],[],[],[11],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
17,,[],[],[],[],[],[],[],"[4, 44]",[],[45],[],[],[],[],[],[32],[],[13],[],[],[],[],[],[],[],[],[43],[],[44],[],[],[32],[],[],[],[],[],[],[],[],[],[],[14],[],[],[8],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
18,,[],[43],[],[],[],[],[],"[8, 17, 4, 44]",[31],[],[],[],[],[],[32],[],[],[13],[],[],[],[],[],[],"[44, 23]",[14],[],[],[8],[32],[],[],[],[],[],[],[],[],[],"[13, 21]",[],[],[31],[],[],[8],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
21,,[],[],[],[],[],[],[],"[8, 4, 44]","[23, 31]",[14],[11],[],[],[],[],[],[],[13],[],[],[],[],[],[],[23],[31],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[13],[],[],[18],"[23, 31]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
22,,[],[],[],[],[],[],[],[31],[15],"[11, 30]",[],[],[],[],[],[],[],[],[],[],[],[],[15],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[11],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
23,,[],[],[],[],[],[],[44],[4],[],[],[],[44],[],[32],[],[],"[13, 21]",[],[],[],[],[],[],[],[],"[44, 14]",[18],[],[8],[],[],[],[],[],[],[],[],[],[],[21],[],[],[31],[],[],[21],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
