driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63,lap_64,lap_65,lap_66,lap_67,lap_68,lap_69
14,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[71],[56],[],[],[],[56],[57],"[49, 77]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[57],[],[],[77],[49],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[56]
21,,[],[],[],[],[],[],[],[],[],[],[],[],[],[63],[],[23],[],[],[44],[],[],[],[],[79],[],[],[],[],[],[],[],[58],[82],[],[],[],[],[],[],[],[],[23],[],[],[55],[],[],[],[],[55],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
22,,[],[],[],[],[],[],[55],[],[],[],[],[],[],[],[],[],[],[76],[44],[],[],[],[],[55],[],[65],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
23,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[58],[50],"[58, 82]","[21, 79]",[],[],[],[],[],[],[],[],[63],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
30,,[],[],[],[],[],[],[49],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[35],[],[14],[57],[],[49],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[14],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
35,,[],[],[],[],[],[],[57],[],[],[],[],[],[],[],[],[],[],[],[],[],[30],[],[56],[14],[57],[],[49],[77],[],[],[],[],[],[],[],[],[],[],[],[],[],[14],[],[],[],[],[49],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[14],[],[]
44,,[],[],[65],[],[],[],[64],[],[],[],[],[],[],[],[],[],[],[76],[],[],[50],[],"[82, 21]","[75, 79]",[],[65],[],[],[22],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[75, 76, 55]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
49,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[30],[35],[],[],[57],[],[],[77],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[56, 57]",[14],[],[77],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
50,,[],[],[],[],[],[],[],[],[],[],[],[],[],"[58, 63]",[],[23],[],[],[82],[44],[],[],[],[79],[],[],[],[],[],[],[],[79],[],[],[],[],[],[],[],[],[82],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
55,,[],[],[64],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[65],"[76, 44]",[],[],[],[],[],[],[63],[],[],[65],[],[],[],[],[],[],[],[],[],[],[],[65],[44],[],[],[],[],[],[],[],[58],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
56,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[76],[],[],[71],[],[],[],[],[],[],[77],[],[],[],[],[],[],[],[],[71],[],[],[],[],[],[],[76],[],[71],[49],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
57,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[14],[35],[],[],[],[],[],"[56, 77]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[71],[],[77],[49],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[56],[],[35]
58,,[79],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[50],"[82, 79]",[],[],[],[50],[],[],[],[],[],[],[],[],[],[],[],[],[82],[50],[],[],[79],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
63,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[58],[],[],[],[50],[],"[82, 21]","[75, 79]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[82],[50],[],[],[58],[55],[21],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
64,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
65,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[23],[],[],"[44, 21]",[],[],[],[],[55],[],[],[],[],[],[],[],[],[63],[],[],[],[],[],[],[],[],[23],[],"[44, 55]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
71,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[22],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[56, 76]",[],[65],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
75,,[],[],[],[],[],[],[],[],[],[],[],[],[],[63],[],[23],[],[],[44],[],[50],[],"[82, 21]",[],[],[],[],[],[],[],[],[],[63],[],[],[],[],[],[],[],[],[23],[],[],[55],[21],[],[],[],[63],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
76,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[44],[],[],[],[21],"[75, 55]",[],[65],[],[],[22],[],[],[],[],[],[],[],[],[],[],[],[44],[],[],[],[55],[],[75],[],[],[63],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
77,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[76],[],[],[22],[],[71],[56],[14],[57],[49],[],[22],[],[],[],[],[],[],[],[76],[],[],[],[],[],"[56, 57]",[71],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[49]
79,,[],[],[],[],[],[],[],[],[],[],[],[],[],[58],[],[63],[23],[],[],[],[50],[],"[82, 21]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[50],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
