driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59
2,,[],[],[],[],[],[],[15],[],[],[],[],[],[],[],[],[],[],[],[13],[30],[],[],[14],[],[],[],[],[],[4],[],[],[],[14],[],[],[],[],[],[],[],[],[],[],[],[],[],[4],[22],[],[],[],[],[],[],[],[],[],[]
4,,[],[],[],[],[],[],[13],[15],[],[],[],[13],[],[],[],[],[],[2],[8],[14],[],[],[],[],[],[],[],[],[],[],[2],[],[22],[],[],[],[],[],[],[],[],[],[2],[],[],[],[],[14],[],[22],[],[],[],[],[],[],[],[]
8,,[],[],[],[],[],[],[],[],[],[],[],[2],[],[],[],[],[],[],[],[14],[],[],[4],[],[],[],[],[],[],[4],[2],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[4],[],[],[2],[],[],[],[],[],[],[],[]
11,,[],[],[],[],[],[],[],[],[],[],[23],[40],[],[27],[],[],[],[],[],[],[33],[39],[],[35],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[35],[13],[],[],[],[]
13,,[],[],[],[],[],[],[24],[15],[],[],[22],[],[],[],[],[],[],[24],[],[31],[],[21],[18],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[24, 15]",[18],[],[],[],[],[],[],[],[],[],[],[],[]
14,,[],[],[],[],[],[],[15],[],[],[],[],[2],[],[],[],[],[],[8],[],[],[],[],[18],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[13],[],[],[30],[],[],[],[21],[],[],[],[],[],[],[],[]
15,,[],[],[],[],[],[],[],[],[],[18],[22],[],[],[],[],[],[],[],[],[33],[],[35],[21],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[18],"[24, 13]",[],[18],[],[],[],[],[24],[],[13],[],[],[],[],[]
18,,[],[],[],[],[],[],[],[],[],[],[22],[],[],[],[],[],[],[15],"[24, 13, 31]",[30],[],[21],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[24, 13]","[15, 31]",[],[],[],[],[],[],[],[13],[],[],[],[],[]
21,,[11],[27],"[40, 35]",[39],[],[],[],[],[],[],[33],[],[],[],[],[],[],[15],"[24, 13, 31]",[30],[],[],[],[35],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[24, 11]","[15, 13, 31]",[18],[],[],[],[],[],[],[],[],[],[],[],[]
22,,[33],[],[],[],[18],[],[31],[15],[],[],[],[],[],[],[],[],[],[33],"[24, 15, 31]",[30],[],[21],"[18, 13]",[],[],[],[],[],[],[],[14],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[14],[],[],[],[],[],[],[],[],[],[],[]
