driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45
2,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[64],[23],[],[],[],"[60, 55]",[],[],[],[23],[],[],[],[],[56],[60],[],[],[],[],[],[],[],[],[]
14,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[57],[],[],[],[],[],[],[],[49],[37],"[57, 15]",[],[],[],[63],[],[],[],[],[]
15,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[22],[],[],[],[],[],[],[],[],"[49, 22]",[14],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
18,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[64, 23]",[],[50],"[56, 2, 55]","[48, 25, 35, 63]",[41],[],[],"[50, 23]",[],[],[],[],[],"[50, 63]",[23],"[37, 15]",[],[],[],[],[63],[],[]
22,,"[41, 35]",[56],[],[50],[65],[],[],[],[],[],[37],[],[],[15],[],[],[],[49],[],[],[],[],[],[37],[15],[],[14],[],[],[],[],[],[],[15],[57],[],[],[],[],[],[],[],[],[]
23,,[],[],[],[],[],[],[],[],[],[41],[],[],[],[],[],[],[],[],[],[],[],[],[50],"[56, 2]","[35, 55, 25, 60, 63]","[48, 41]",[18],[],[],[],[],[2],"[56, 60]","[18, 35, 50]","[15, 37, 63]",[],[15],[],[],[],[],[],[],[]
25,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[23],[],"[56, 50]",[],[],[48],[18],[],"[50, 23, 63]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
35,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[56],[50],[],[],[],"[48, 41]",[18],[23],[],[],[],[],[],[],[],[],[15],[],[],[],[],[],[],[]
37,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[22],[],[],[],[],[],[],[],[],[49],[14],[],[],[],[],[],[],[],[],"[15, 23]",[],[],[],[],[],[],[],[]
41,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[23],[],"[56, 50]",[],[35],[],[18],[],[23],[],[],[],[],[35],"[57, 37, 15]",[],[],[],[],[],[],[],[],[]
48,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[64, 23]",[],"[2, 50]",[56],"[25, 35, 63]",[],[],[],"[50, 23]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
49,,[64],[63],[2],[],"[25, 23]",[41],[35],[56],[50],[65],[],[],[],[],[],[],[22],[],[],[],[],[],[],[],"[37, 15]",[],[14],[],[],[],[],[],[],[37],"[57, 15]",[],[],[],[],[],[],[],[],[]
50,,[56],[],[],[],[],[],[],[],[],[],[65],[],[],[],[],[],[],[],[],[],[],[],[],"[56, 2]","[25, 60, 55, 63]",[48],[18],[],[],[],[56],[],[],"[18, 35]",[],[],"[15, 23]",[],[],[],[],[],[],[]
55,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[64, 23]",[],[50],"[56, 2]",[],[],[],[2],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
56,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[50],[],[],"[60, 55]",[],[],[],"[50, 23]",[],[],[],[],[],[],[],[],[],[],[],[60],[],[],[]
57,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[14],[],[],[],[],[],[],[],[],[],[],"[49, 14]",[],[],[],[],[],[]
60,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[64, 23]",[],[50],"[56, 2]",[],[],[],[],"[2, 23]",[],[],[],[56],[],[],[],[],[],[],[],[],[],[],[]
63,,[],[],[],[],[],[],[],[],[],[],[2],[],[],[],[64],[],[],[],[],[],[23],[],"[56, 50]",[],[],[48],[18],[],"[50, 23]",[25],[],[],[],[35],[],[23],"[18, 37, 15]",[14],[],[],[],[],[],[]
64,,[],[],[],[],[],[],[],[],[],[63],[2],[],[],[],[],[],[],[],[],[],[],[],[],[2],"[60, 55]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
65,,[56],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
