driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53
1,,[],[20],[],[],[],[],[],[],[],[],[],[],[20],"[17, 13]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[18],[],[],[],"[18, 20]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
5,,[808],[807],[],[],[],[],[],[],[],[],[],[],"[37, 30]",[],[],[],[],[],[],[],[39],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[813],[]
8,,[],[],[],[],[],[],[],[],[],[],[],[],[],"[37, 30]",[155],[154],[18],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[154],[20],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
10,,[],[],[],[],[],[],[],[],[],[],[],[],[813],[],[],[],[811],"[39, 807]",[],[],[],[814],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[814],[]
13,,[],[],[],[],[],[],[],[],[],[],[],[13],[],[10],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
17,,[],[],[],[],[],[],"[818, 819]",[],[],[817],[815],[],[],[],[],[],"[808, 39, 807]","[37, 30]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[37],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
18,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[154],"[17, 18]",[],[],[],[],[],[],[],[],[],[],[],[],[],[13],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
20,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
154,,[],[],[818],[817],[],[],[],[],[],[],[],[],[],[],[],[818],[],"[817, 814]",[],[813],[],[],[],[],[],[],[],[],[814],[],[],[],[],[813],[811],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
155,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[20],"[17, 18]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[17],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
30,,[813],[],[],[811],[],[],[],[],[],[],[],[39],[808],[],[],[],[],"[811, 813, 39]",[],[808],[],[],[],[],[],"[37, 807]",[],[],[],[],[],[],[],[30],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
37,,[814],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[819],[],[],[],[],[],[],[],[],[818],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[817],[]
807,,[],[],[],[],[],[],[],[],[],[],[],[],[],[808],"[37, 807]",[],[155],[154],[],[],[],[],[],[],[],[],[],[],[],[20],[],[],[155],[154],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
808,,[817],[815],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[817],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
