driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61
1,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[3],[10],[],[4],[],[],[],[],[3],[],[],[],[],[],[],[],[],[],[],[],[],[20],[],[],[],[],[],[10],[],[],[],[],[4],[18],[],[],[],[],[],[],[],[],[]
2,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[24],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
3,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[20],[],[10],[],[4],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[67],[],[],[],[],[],[],[153],[24],[],[],[],[],[21],[],[],[],[],[],[],[],[],[]
4,,[],[],[],[],[22],[],[],[],[],[],[],[],[],[],[],[],"[17, 20]",[22],[10],[],[],[],[],[],[],[],[3],[],[],[],[],[],[],[],[],[],[],[],[20],[],[],[],[],[],[10],[22],[],[],[],[],[18],[],[],[],[],[],[],[],[],[]
5,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[17],"[9, 10, 22]",[],[],[],[],[],[],[],[3],[],[],[],[],[],[],[],[],[],[],[],[20],[],[],[],[],[],[],[6],[],[],[],[15],[],[8],[],[],[],[],[],[],[],[]
6,,[],[],[],[],[],[],[],[],[],[67],[],[],[],[],[],[],[],[17],"[8, 22]",[9],[],[],[],[],[],[],[3],[],[],[],[],[],[],[],[],[],[],[],[],[],[8],[9],"[8, 20]",[17],[],[],[],[],[],[],[15],[3],[],[],[],[],[],[],[],[]
8,,[],[],[],[],[],[],[],[],[],[153],[],[],[],[],[],[],[],[67],[],[],[],[],[],[],[],[],[3],[],[],[],[],[],[],[],[],[],[67],[],[],[],[],[9],[],[17],[],"[5, 6, 15]",[],[],[],[],[],[],[],[],[],[],[],[],[],[]
9,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[17],"[10, 22]",[],[8],[],[],[],[],[],[3],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[17],[],[21],[],[],[],[6],[15],[8],[],[],[],[],[],[],[],[]
10,,[],[],[],[],[17],[],[],[],[],[],[],[],[],[],[],[],[20],[3],[],"[9, 22]","[18, 5, 6]",[],[],[],[],[4],[3],[],[],[],[],[],[],[],[],[],[],[],[20],[],[],[],[],[],[],"[5, 22]",[],[],[],[20],[18],[],[],[],[],[],[],[],[],[]
15,,[],[154],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[24, 21]",[],[],[16],[153],[],[],[],[],[],[21],[],[],[],[],[],[],[3],[],[],[21],[67],[],[],[],[21],[],[17],[],[6],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
