driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55
1,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[3, 67, 155, 15]",[2],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
2,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[9, 22]","[1, 18, 3]","[17, 15]",[],[],[],[],[],[],[],[],[],[],[8],[155],[5],[],[],[],[],[],[],[],[],[17],[],[15],[],[],[],[],[],[],[],[],[],[],[],[]
3,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[9, 22]","[1, 18]",[67],[],[],[],[],[],[],[],[],[],[],[8],[155],"[5, 6]",[],[],[],[],[],[],[],[],[],[5],[],[],[],[],[],[],[],[],[],[],[],[],[]
4,,[],[],[153],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[21],[154],[8],[24],[6],[],[],[],[24],[],[],[],[],[16],[],[],[],[],[],[],[],[],[],[],[],[],[]
5,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[6],[],"[9, 67, 3]",[15],[],[],[],[],[],[],[],[],[2],[8],[155],[],[6],[],[4],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
6,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[24],[],[],[],[],[],[],[],[],[],[],[8],[155],[5],[],[],[24],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
8,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[9],[],"[67, 3, 15]",[2],[],[],[],[],[],[],[],[],[],[],[],[154],[24],[],[4],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
9,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[67, 6]",[],[],[],[],[],[],[],[],[],[],[8],[155],[5],[],[],[],[],[],[3],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
15,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[9, 22]","[1, 18]",[3],[],[],[],[],[],[],[],[],[],[],[8],[155],[5],[],[],[],[],[],[],[],[9],[67],"[2, 22]",[],[],[],[],[],[],[],[],[],[],[],[],[]
16,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[21],[],[],[],[],[154],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
17,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[1, 18]",[],"[2, 155]",[],[],[],[],[],[],[],[],[],[],[155],[],[],[],[],[],[],[],[],[],[],"[2, 67]","[22, 15]",[],[],[],[],[],[],[],[],[],[],[],[]
18,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[22],[],"[3, 67, 15]",[2],[],[],[],[],[],[],[],[],[],[],[155],[],[],[],[],[],[],[],[],[],[17],[22],[15],[],[],[],[],[],[],[],[],[],[],[],[]
20,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[17],[1],[17],[2],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[17],[],[18],[],[],[],[],[],[],[],[],[],[],[],[]
21,,[],[],[154],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[16],[154],[]
22,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[9],[],"[3, 67, 15]",[2],[],[],[],[],[],[],[],[],[8],[],[155],[5],[],[],[],[],[],[],[],[],[17],[],[15],[],[],[],[],[],[],[],[],[],[],[],[]
24,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[21],[8],[],[],[],[],[],[],[],[],[],[],[],[16],[],[],[],[],[],[],[],[],[],[],[154],[],[]
153,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
154,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[153],[],[],[],[],[],[],[],[],[],[],[16],[],[],[],[],[],[],[],[],[],[],[],[],[16],[],[],[],[],[],[],[],[],[],[],[],[],[]
155,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[8, 9]",[22],"[3, 67, 15]",[2],[],[],[],[],[],[],[],[],[],[],[],[5],[6],[],[4],[],[],[],[5],[3],[],[9],[67],[],[],[],[],[],[],[],[],[],[],[],[]
67,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[9, 22]","[18, 155]",[],[],[],[],[],[],[],[],[],[],[],[8],[24],"[155, 5]",[6],[],[],[],[],[155],[3],[9],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
