driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58
1,,[4],[7],[21],[],[67],[],[],[],[8],[],[],[],[],[],[],[],[],[7],[21],[],[],[],[],[10],[],[],[],[],[],[13],[],[15],[],[],[],[],[],[4],[8],[67],[],[],[],[],[],[],[],[21],[],[67],[4],[],[3],[],"[10, 20]",[],[]
2,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[17],[],[],[],[],[],[],[],[],[],[],[],[16],[17],[],[16],[],[],[],[],[],[8],[],[],[],[],[],[],[8],[],[],[],[],[],[],[],[]
3,,[],[],[],[],[],[],[],[],[8],[13],[9],[],[],[],[],[],"[10, 67, 22]","[4, 21]",[15],[],[],[],[],[],[],[],[],[],[],[13],[],[15],[],[],[],[],[],[8],[9],[67],[],[1],[],[],[],[],[],[21],[10],[4],[15],[],[],[],[],[],[]
4,,[],[],[],[10],[7],[],[],[],"[8, 15]","[1, 10]","[9, 13]",[],[],[],[3],[],"[10, 67, 22]",[21],[],[],[],[],[],[21],[],[],[],[],[],[13],[],[15],[],[],[],[],[],[],[10],[67],[],"[8, 1]",[3],[],[],[],[],[],[10],[],[],[],[],[67],[3],[],[]
6,,[],[],[],[],[12],[],[],[],[8],"[1, 13]",[9],[],[],[],[3],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
7,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[2],[],[],[],[16],[],[],[],[],[],[],[],[],[],[],[],[16],[],[],[],[],[],[],[],[],[8],[2],[],[],[],[],[21],[],[],[],[],[],[],[],[],[]
8,,[],[],[],[],[],[],[],[],[],[15],[1],[],[],[],[],[15],"[10, 67, 22]","[4, 21]",[12],[],[],[],[],[3],[],[],[],[],[],[13],[],[15],[],[],[],[],[],[],[],[67],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
9,,[],[],[],[],[],[],[],[],[8],[13],[],[],[],[],[8],[3],"[10, 67, 22]","[8, 4, 21]",[12],[],[],[],[],[],[],[],[],[],[],[13],[],[],[],[],[],[],[],[8],[],[67],[],[1],[3],[],[],[],[],[],[],[4],[22],[3],[],[],[],[],[]
10,,[],[],[],[],[2],[],[],[],"[7, 15]",[1],"[8, 13]",[9],[],[],[3],[],[],"[1, 21]",[4],[],[],[],[],[],[],[],[],[21],[],[13],[],[15],[16],[],[],[],[],[],[],[21],[67],"[8, 21]",[1],[],[],[],[],[],[],[],[67],[],[4],[3],[20],[],[]
12,,[],[],[67],[],[],[],[],[],[8],"[1, 13]",[9],[],[],[],[3],[],"[67, 22]",[21],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
