driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63,lap_64,lap_65,lap_66,lap_67,lap_68,lap_69,lap_70,lap_71,lap_72
14,,[49],[],[],[],[55],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
15,,[21],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[21],[],[],[],[44],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[57],[],[],[],[],[],[],[],[],[],[],[],[],[56],[41],[56],[],[23],[],[],[44],[],[],[],[],[41],[],[],[],[],[],[],[],[],[]
21,,[],[],[],[],[],[],[],[25],[],[],[],[],[],[],[],[],[],[],[],[],"[56, 25]","[41, 70]",[],[],[],[],[],[],[],[],[],[],[],[56],[],[],[41],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
22,,[55],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[55],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[57],[49],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[30],[],[49],[],[],[],[],[],[],[],[],[],[],[],[],[30],[],[]
23,,"[65, 41]",[],[],[],[],[],[],[35],[],[],[],[],[],[],[25],[56],[],[],[21],[56],[44],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[21],[],[],[],[57],[15],[],[],[],[],[],[],[56],[44],[],[],[56],[],[41],[],[56],[],[15],[],[44],[],[],[],[],[],[],[],"[56, 15]",[],[]
25,,[65],[],[],[],[],[],[],[],[],[],[],[35],[],[],[],[],[],[],[],[35],[],[69],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
30,,[],[],[],[44],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[44],[15],[23],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[57],[44],[],[],[],[],[49],[],[],[],[],[],[],[],[],[],[],[],[],[],[44],[],[15],[],[],[],[],[],[],[],[],[23],[],[],[]
35,,[65],[],[],[],[],[],[],[],[],[70],[],[],[],[],[70],[],[],[],[],[],[25],"[41, 70]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
37,,[],[],[65],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[68],[71],[69],[],[],[],[],[],[],[],[],[],[],[],[56],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
41,,[],[65],[],[],[],[],[],[71],[],[],[],[],[],[],[71],[],[],[],[],[70],"[56, 25, 35]",[],[],[],[],[],[],[],[],[],[],[],[],[56],[37],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[69],[],[],[69],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
44,,[],[15],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[56],"[41, 23]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[57],[],[],[],[15],[],[],[],[],[],[],[],[],[],[15],[23],[],[30],[],[],[],[],[15],[],[],[],[],[],[],[],[],[],[],[],[]
48,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[71],[68],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
49,,[],[],[],[],[],[],[],[],[30],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[57],[],[],[],[],[],[],[],[],[],[],[],[44],[],[23],[],[],[30],[],[],[44],[],[15],[],[],[],[],[30],[22],[],[],[],[],[],[]
55,,[],[],[],[],[],[],[],[],[],[],[],[],[],[49],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
56,,[],[37],[65],[],[],[],[],[37],[71],[41],[],[70],[],[],[35],[],[],[],[25],[],[],"[25, 70]",[],[],[],[],[],[],[],[],[],[],[],[],"[68, 37]",[],[69],[],[41],[],[21],[57],[],[15],[],[],[],[],[],[],[69],[],[],[],[69],[],[],[],[41],[],[15],[44],[],[],[],[],[],[15],[],[],[]
57,,[25],[21],[],[15],[],[],[],[],[44],[],[],[],[],[30],[],[],[],[49],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[21],[],[],[],[],[41],[],[],[],[],[15],[56],[23],[],[],[30],[],[44],[],[],[49],[],[],[],[],[22],[],[],[],[],[],[],[]
64,,"[65, 35]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
