driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63,lap_64
14,,[],[],[],[],[],[],[],[],[],[],[],[],[30],[],"[65, 57]","[49, 71]",[],"[56, 21]",[],[],[55],[],[],[],[44],[57],[],[],[],[30],[],[65],[],[],[],[],[],[],[],[],[],[],[],[57],[],[],[],[],[21],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
15,,[],[],[],[],[],[],[],[],[],[81],[],[81],[63],[],[],[],[76],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
21,,[],[],[],[],[],[],[],[],[],[63],[],[71],[],"[77, 14, 30]","[65, 57]","[49, 71]",[],[],[56],[50],[77],[75],[77],[],[49],[],[57],[77],[],[57],[],[],[],[],[],[],[],[77],[49],[77],[],[],[],[49],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
22,,[],[81],[],[],[],[],[],[],[81],[],[23],"[64, 63]",[],[76],[],[],[],[],[56],[],[],[81],[],[],[23],[],[],[56],[64],[],[50],[],[75],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
23,,"[15, 79]",[64],[81],[22],[],[],[],[],[],[],[],[],[63],[81],[],[15],[76],[],[],[],"[22, 15]",[64],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[76],[],[81],[50],[64],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
30,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[75],[49],[],[21],[56],[],[],[],[],[],[44],[65],[57],[],[65],[],[57],[21],[57],[],[],[],[],[],[65],[14],[],[],[65],[55],[44],[],[],[],[65],[],[],[],[],[],[],[],[],[],[],[],[],[],[14]
35,,[],[],[],[],[],[],[],[],[],[],[],[],[30],[14],[],[],[],[],[],[],[55],[],[],[],[],[],[],[],[14],[],[],[],[],[],[],[],[],[],[],[],[],[],[55],[44],[],[30],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
44,,[],[],[],[],[],[],[],[],[],[],[75],[63],[],"[75, 77]","[65, 30]",[49],[],"[56, 21]",[],[],[55],[],[],[],[],[49],"[57, 77]",[],[],[30],[21],[30],[65],[],[],[],[],[],[14],[],[],[],[55],[],[],[30],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
49,,[],[],[],[],[],[],[],[],[],[],[],[],[],"[14, 30]","[65, 57]",[],[],[21],[56],[],[75],[],[],[],[],[],[],[56],[77],[],[],[75],[],[],[],[],[],[],[],[77],[],[],[],[],[],[],[],[],[56],[],[],[],[],[],[],[],[],[],[],[],[],[],[77]
50,,[],[],[22],[],[],[],[],[],[],[],[23],[63],[],[77],[],[],[],[],[56],[],[],[64],[],[],[23],[],[],[56],[],[64],[],[],[75],[],[],[],[],[],[],[77],[],[76],[],[],[],[64],[],[],[23],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
55,,[],[],[],[],[],[],[],[],[],[],[],[],[30],[14],[57],[49],[],[21],[],[14],[],[],[],[],[44],[57],[],[],[14],[30],[],[],[],[],[],[],[],[],[14],[],[],[],[],[],[],[65],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
