driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63,lap_64,lap_65,lap_66,lap_67,lap_68,lap_69,lap_70
1,,[],[],[],[14],[],[],[],[],[],[],[],[],[],[],[],[],[],[6],[],[],[],[],[],[],[],[16],[7],[],[],[],[],[21],[],[22],[6],[],[],[],[],[3],[],[],[],[],[],[7],[],"[2, 20]","[10, 4]",[12],[],[],[2],[],[],[20],[],[],[],[],[],[],[],[],[],[],[],[],[]
2,,[],[],[],[],[],[],[],[],[],[],[],[],[6],[],[1],[],[],[4],[1],[],[10],[],[4],[17],"[12, 5]",[14],[],[],[],[],[21],[],[],[22],[6],[],[],[],[],[],[],[1],[],[],[],[4],[],[],[],[],[],[],[],[],[],[],[],[6],[],[],[],[],[],[],[],[],[],[],[]
3,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[16],[],[],[],[],[],[7],[],[],[],[],[],[21],[],[22],[6],[],[],[],[],[],[],[],[],[],[],[16],[],[],[],[],[],[],[],[21],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
4,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[1],[],[6],[],[],[10],"[12, 5]",[14],[],[],"[2, 20]",[],[],[],[],[],[],[],[],[],[],[],[17],[],[],[],[],[],[],"[2, 6]",[20],[10],[],"[1, 14]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
5,,[],[],[],[],[],[],[],[],[],[],[],[14],[1],[],[4],[],[],[],[],"[9, 15]",[10],[],[17],[],[],[14],[],[],"[2, 20]",[],[],[],[],[],[],[],[],[],[],[],[12],[4],[],[],[],[9],[],[],[17],[12],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
6,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[1],[],[],[],[],[],[],[7],[],[],"[2, 21]",[],[],[],[],[],[],[],[],[],[],[3],[],[],[],[],[],[7],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
7,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[1],[],[],[],[],[],[],[],[],[],[],[],[],[16],[],[21],[22],[],[],[],[],[3],[],[],[],[],[],[],[],[],[],[],[],[],[],[16],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
8,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[17],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[15],[],[5],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
9,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[4],[],[],[],[],[],[10],[],[17],[],"[12, 5]",[14],[],[],"[2, 20]",[],[],[],[],[],[],[],[],[],[],[],[],[4],[],[],[],[],[2],[20],"[17, 10]",[12],[],"[1, 14]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
10,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[4],[],[],[],[],"[9, 15]",[],[],[],[],[],[6],[],[],"[2, 20]",[],[],[],[],[],[],[],[],[],[],[],[],[4],[],[],[],[9],[],[],[],[],[],[1],[20],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
12,,[],[],[],[5],[],[],[],[],[],[],[],[1],[],[],[4],[],[],[],[],"[9, 15]",[10],[],[17],[],[],[14],[],[],"[2, 20]",[],[],[],[],[],[],[],[],[],[],[],[],[4],[],[],[],[9],[],[],"[17, 10]",[],[],"[1, 10]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[14],[],[]
13,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[15],[17],[],[],[],[12],[14],[],[],[],[],[],[],[],[],[],[],[],[15],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
14,,[],[],[],[],[],[],[],[],[],[],[],[],[1],[],[4],[],[],[],[],"[9, 20]",[10],[],[17],[],"[12, 5]",[],[],[],"[2, 20]",[],[],[],[],[6],[],[],[],[],[],[],[],[4],[],[],[],[9],[20],[],"[17, 10]",[12],[],[],[],[],[],[10],[],[],[],[],[],[],[],[],[],[],[],[],[]
15,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[4],[],[],[],[],[9],[10],[],[17],[],"[12, 5]",[14],[],[],[20],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[9],[],[],[],[],[],[14],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
16,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[1],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
17,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[4],[],[],[],[],"[9, 12, 15]",[10],[],[],[],"[10, 12]",[14],[],[],"[2, 20]",[],[],[],[],[],[],[],[],[],[],[],[],[4],[],[],[],[9],[],[],[],[12],[],"[1, 14]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[4],[],[]
18,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
20,,[],[],[],[],[],[],[],[],[],[],[],[],[1],[],[4],[],[],[],[],[2],[10],[],[17],[],"[12, 5]",[14],[],[],[],[],[],[],[],[2],[6],[],[],[],[],[],[],[4],[],[],[],[2],[],[],[],[],[],[2],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
21,,[16],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[1],[],[],[],[],[],[],[7],[],[],[],[],[],[],[],[],[],[],[],[],[],[3],[],[],[16],[],[],[7],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
