driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60
2,,[],[],[],[21],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[22],"[18, 35]",[],[26],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[26],[15],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
3,,[],[],"[33, 27, 36]",[],[11],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[33],"[32, 35]",[2],[26],[],[15],[21],[31],[23],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[15],"[2, 35, 21, 23]",[],[],[22],[31],[],[],[],[],[],[],[],[],[],[],[]
4,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[13],[],[18],[],[],[8],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[22],[],[],[],[8],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
8,,[],[],[15],[],[],[],[],[],[],[],[],[],[],[],[],[],"[4, 13]",[30],[],[18],[],[],[],[15],[],[],[31],[23],[],[],[],[],[3],[],[],[],[],[22],[],[13],[4],[],[],[],[],[],[31],[],[3],[],[],[],[],[],[],[],[],[],[]
11,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[36],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
13,,[],[],[18],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[18],[],[15],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[4],[],[],[],[],[],[22],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
14,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
15,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[22],[],"[18, 35]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[26],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
17,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
18,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[13, 15]",[30],[],[],[],[2],[26],[],[15],[21],[31],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
