driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53,lap_54,lap_55,lap_56,lap_57,lap_58,lap_59,lap_60,lap_61,lap_62,lap_63,lap_64,lap_65,lap_66,lap_67,lap_68,lap_69,lap_70
2,,[22],[],[],[],[],[50],[],[],[],[],[50],[],[],[],[],[49],[18],[21],[],[],"[18, 21]",[51],[],[],[],[],[],[],[],[],[],[21],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[50],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
4,,[22],[],[],[],[],[],[],[],[],[],[],[],[],[],[14],"[17, 15]",[],[35],[],[22],[],[],[],[],[],[],[],[],[],[],[17],[14],[],[15],[30],[],[],[],[],[],[],[15],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
8,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[4, 30]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[44],[],[15],[30],[4],[],[],[],[],[],[],[],[],[],[],[],[17],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
14,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[17, 35, 44]","[4, 15]",[],[],[],[],[],[],[],[],[],[],[],[],[],[8],[],[],[44],[15],[4],[],[],[],[],[],[],[],[],[],[],[8],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
15,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[14],[],[35],[],[],[],[],[],[],[],[],[],[],[],[],[],[8],[14],[],[],[],[17],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
17,,[22],[],[],[],[],[],[],[],[],[],[],[],[],[42],[14],[44],[18],[35],[43],[22],[],[],[],[],[],[],[],[],[],[42],[],[],[],[44],[],[35],[],[],[],[],[],[22],[],[15],[22],[],[],[],[],[],[],[44],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
18,,[22],[],[],[],[],[],[],[],[],[],[],[],[],[42],[],"[17, 44]",[],[49],"[2, 21]",[43],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
21,,[22],[],[52],[],[],[],[],[],[],[],"[50, 51]",[],[],[],[52],[51],[49],[],[2],[],[18],[51],[],[],[],[],[],[],[50],[],[],[],[],[],[],[],[],[],[],[52],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
22,,[],[],[52],[51],[21],[49],[],[50],[],[],[],[],[],[2],[],"[42, 44]",[18],"[17, 35]",[43],[],[18],[],[],[],[],[],[],[],[],[42],[],[],[],[43],[],[44],[35],[],[],[],[],[],[],[15],[],[],[],[],[],[],[],[35],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
23,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
30,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[14],"[8, 15]",[4],[],[],[],[],[],[],[],[],[],[],[],[],[],[8],[14],[],[15],[],[4],[],[],[],[],[],[15],[],[],[],[],[17],[14],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
31,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[8],[30],[],[],[],[],[],[],[],[],[],[],[],[],[],[8],[14],[],[],[30],[4],[],[],[],[],[],[],[],[],[],[],[8],[14],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
35,,[22],[],[],[],[],[],[],[],[],[],[],[],[],[42],[],"[17, 44]",[18],[],"[2, 43]",[22],[18],[],[],[],[],[],[],[],[],[42],[],[],[],[44],[],[],[],[],[],[],[],[],[49],[],[43],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
