driverId,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_9,lap_10,lap_11,lap_12,lap_13,lap_14,lap_15,lap_16,lap_17,lap_18,lap_19,lap_20,lap_21,lap_22,lap_23,lap_24,lap_25,lap_26,lap_27,lap_28,lap_29,lap_30,lap_31,lap_32,lap_33,lap_34,lap_35,lap_36,lap_37,lap_38,lap_39,lap_40,lap_41,lap_42,lap_43,lap_44,lap_45,lap_46,lap_47,lap_48,lap_49,lap_50,lap_51,lap_52,lap_53
2,,[],[],[],[],[],[],[],[],[],[],[],[15],"[13, 23]",[21],[],[18],[],[],[],"[9, 17]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[9],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
3,,[22],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[17, 37]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[17],[],[37],[],[],[],[],[],[],[],[],[],[],[],[]
4,,[],[],[],[],[],[],[],[],[],[],[],[23],[13],[],[],[18],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
8,,[],[],[],[],[],[],[],[],[],[],[],[15],[23],[21],[],[18],[2],[],[],[],[],[],[],[],[],[],[],[],[15],[23],[],[],[21],[],[],[],[18],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
9,,[22],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[18],[],[2],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[2],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
11,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[27],[24],[38],[],[],[],[33],[],[],[],[],[],[],[],[26],"[24, 14]",[],[],[],[],[33],[],[],[],[],[],[],[],[],[],[],[],[],[]
13,,[],[],[],[],[],[],[],[],[],[],[],[],[],[21],[],[18],[2],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[18],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
14,,[22],[24],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[27],[24],[38],[22],[26],[33],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
15,,[],[],[],[],[],[],[],[],[],[],[],[],[23],[21],[],[18],[],[2],[],[],[8],[],[],[],[],[],[],[],[],[23],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
17,,[22],[],[],[],[],[],[],[],[],[],[],[],[],[],[3],[],[],[2],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[3],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
18,,[],[],[],[],[],[],[],[],[],[],[],[15],"[13, 23]",[21],[4],[],[],[2],[],[9],[],[8],[],[],[],[],[],[],[15],[23],[],[],[21],[],[13],[],[],[],[],[],[8],[],[],[],[],[],[],[],[],[],[],[]
21,,[],[],[],[18],[],[],[],[],[],[],[15],[23],[13],[],[],[18],[],[2],[],[],[],[8],[],[],[],[],[],[],"[15, 23]",[],[],[],[],[],[],[],[18],[],[],[],[8],[],[],[],[],[],[],[],[],[],[],[]
22,,[],[],[],[],[],[],[],[29],[11],[],[],[],[],[],[33],[],[],[14],"[24, 27]",[38],[],[],[11],[],[33],[],[],"[24, 26]",[],[],[],[],[],"[38, 14]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
23,,[],[],[],[],[],[],[],[],[],[],[],[],[],[21],[],[18],[],[2],[],[],[],[8],[],[],[],[],[],[15],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
24,,[22],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[14],[],[],[],"[11, 22]",[],[],[33],[],[],[],[],[],[],[],[],[],[],[],[11],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
26,,[22],[24],[14],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[33],[],[],[],[],[],[],[],[],[],[14],[],[],[],[],[33],[],[],[],[],[],[],[],[],[],[],[],[],[]
27,,[22],[24],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[14],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
29,,[],[22],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
30,,[],[13],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
33,,[],"[11, 22]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[14],[27],[24],[38],[22],[26],[],[],[],[],[],[],[],[],[],[],[],[26],[],[],[11],[],[],[],[],[],[],[],[],[26],[],[],[],[],[]
37,,[22],[],[],[],[],[],[],[],[],[],[],[],[],[],[3],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[3],[],[],[],[17],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
38,,[11],[22],[24],[],[],[],[],[],[27],[],[],[],[],[],[],[],[14],[],[],[],[],"[11, 22]",[26],[33],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
